Date,ITALY GROWTH
1974-12-31,100.0
1975-01-31,119.5654
1975-02-28,128.0048
1975-03-31,127.712
1975-04-30,126.9401
1975-05-30,126.78851
1975-06-30,113.02484
1975-07-31,101.62085
1975-08-29,100.22626
1975-09-30,95.41032
1975-10-31,98.87443
1975-11-28,100.41916
1975-12-31,99.47443
1976-01-30,95.08222
1976-02-27,95.41647
1976-03-31,79.45371
1976-04-30,71.85399
1976-05-31,75.5427
1976-06-30,77.82171
1976-07-30,78.96818
1976-08-31,76.85367
1976-09-30,70.81046
1976-10-29,62.41419
1976-11-30,65.17061
1976-12-31,64.73223
1977-01-31,61.71831
1977-02-28,60.01552
1977-03-31,61.08415
1977-04-29,59.15928
1977-05-31,57.50621
1977-06-30,60.93386
1977-07-29,58.30858
1977-08-31,70.48047
1977-09-30,67.66463
1977-10-31,63.22379
1977-11-30,60.79108
1977-12-30,60.4816
1978-01-31,64.08661
1978-02-28,69.61663
1978-03-31,79.0405
1978-04-28,80.12883
1978-05-31,85.60073
1978-06-30,63.91233
1978-07-31,64.24387
1978-08-31,67.70433
1978-09-29,81.29351
1978-10-31,76.64167
1978-11-30,68.01794
1978-12-29,67.87171
1979-01-31,70.38663
1979-02-28,73.69608
1979-03-30,76.69161
1979-04-30,72.67772
1979-05-31,79.15339
1979-06-29,80.57983
1979-07-31,85.68994
1979-08-31,96.00884
1979-09-28,102.44543
1979-10-31,91.82192
1979-11-30,90.69636
1979-12-31,92.2153
1980-01-31,105.69498
1980-02-29,106.65254
1980-03-31,92.4772
1980-04-30,103.81966
1980-05-30,112.33288
1980-06-30,117.79141
1980-07-31,138.76782
1980-08-29,150.09483
1980-09-30,169.96882
1980-10-31,192.18625
1980-11-28,180.37521
1980-12-31,184.47663
1981-01-30,222.69266
1981-02-27,243.15901
1981-03-31,230.41593
1981-04-30,233.90562
1981-05-29,235.67095
1981-06-30,186.20636
1981-07-31,167.42806
1981-08-31,187.81626
1981-09-30,168.57773
1981-10-30,156.81624
1981-11-30,178.15725
1981-12-31,169.9262
1982-01-29,163.2999
1982-02-26,170.20904
1982-03-31,158.36859
1982-04-30,150.84072
1982-05-31,136.57021
1982-06-30,118.47806
1982-07-30,127.53063
1982-08-31,130.51762
1982-09-30,124.37059
1982-10-29,120.73555
1982-11-30,125.64047
1982-12-31,128.75258
1983-01-31,141.04906
1983-02-28,150.91164
1983-03-31,154.48847
1983-04-29,146.29219
1983-05-31,139.84891
1983-06-30,142.67013
1983-07-29,142.69522
1983-08-31,144.546
1983-09-30,143.65485
1983-10-31,135.91088
1983-11-30,134.50668
1983-12-30,132.23402
1984-01-31,149.72936
1984-02-29,154.22926
1984-03-30,157.07621
1984-04-30,148.83558
1984-05-31,140.92135
