Date,FINLAND GROWTH
1987-12-31,100.0
1988-01-29,95.4527
1988-02-29,93.8428
1988-03-31,104.97612
1988-04-29,103.54025
1988-05-31,108.89147
1988-06-30,104.19958
1988-07-29,103.17294
1988-08-31,95.33079
1988-09-30,91.25498
1988-10-31,101.20586
1988-11-30,111.52313
1988-12-30,105.75149
1989-01-31,105.20323
1989-02-28,109.8805
1989-03-31,119.1238
1989-04-28,123.65635
1989-05-31,115.30935
1989-06-30,114.68386
1989-07-31,118.30891
1989-08-31,106.72248
1989-09-29,99.10918
1989-10-31,95.04843
1989-11-30,87.41577
1989-12-29,91.28782
1990-01-31,96.34796
1990-02-28,92.36634
1990-03-30,83.07403
1990-04-30,75.6716
1990-05-31,76.75033
1990-06-29,73.19591
1990-07-31,76.76381
1990-08-31,71.04422
1990-09-28,59.59178
1990-10-31,59.40198
1990-11-30,59.93923
1990-12-31,59.1826
1991-01-31,57.76632
1991-02-28,62.14261
1991-03-29,66.39668
1991-04-30,64.29502
1991-05-31,61.05712
1991-06-28,52.14159
1991-07-31,57.84095
1991-08-30,55.40896
1991-09-30,52.45041
1991-10-31,49.18147
1991-11-29,44.80661
1991-12-31,44.08404
1992-01-31,48.49594
1992-02-28,48.72314
1992-03-31,44.50038
1992-04-30,44.7211
1992-05-29,46.09234
1992-06-30,45.31971
1992-07-31,41.85863
1992-08-31,37.35102
1992-09-30,34.76462
1992-10-30,36.60582
1992-11-30,38.37524
1992-12-31,36.1772
1993-01-29,35.84975
1993-02-26,36.22495
1993-03-31,40.33892
1993-04-30,48.70421
1993-05-31,50.7223
1993-06-30,47.2306
1993-07-30,50.54826
1993-08-31,54.23364
1993-09-30,56.91871
1993-10-29,65.70614
1993-11-30,60.88784
1993-12-31,63.7403
1994-01-31,79.26526
1994-02-28,77.7356
1994-03-31,79.86496
1994-04-29,87.45991
1994-05-31,80.48325
1994-06-30,82.29476
1994-07-29,93.54101
1994-08-31,105.17866
1994-09-30,110.02834
1994-10-31,133.65297
1994-11-30,120.44484
1994-12-30,127.41245
1995-01-31,126.90899
1995-02-28,122.95814
1995-03-31,122.363
1995-04-28,138.07698
1995-05-31,149.63169
1995-06-30,185.91345
1995-07-31,212.66662
1995-08-31,217.16441
1995-09-29,221.33629
1995-10-31,181.56187
1995-11-30,173.29509
1995-12-29,124.43036
1996-01-31,123.10929
1996-02-29,108.86145
1996-03-29,109.48613
1996-04-30,111.31411
1996-05-31,132.11619
1996-06-28,117.20141
1996-07-31,113.99937
1996-08-30,132.76722
1996-09-30,139.42063
1996-10-31,144.08377
1996-11-29,167.72038
1996-12-31,174.96866
1997-01-31,199.02844547742959
1997-02-28,185.41158889583394
1997-03-31,184.20104278914295
1997-04-30,190.4179844303454
1997-05-30,200.24298305385514
1997-06-30,225.65559932615827
1997-07-31,259.3394912110335
1997-08-29,233.063595834767
1997-09-30,285.9691817922766
1997-10-31,262.7457580247798
1997-11-28,242.19765149321157
1997-12-31,214.60562848468044
1998-01-30,236.54592532378678
1998-02-27,301.7998482586408
1998-03-31,324.3529420782526
1998-04-30,404.84630358563555
1998-05-29,397.0266454615878
1998-06-30,445.1080201037622
1998-07-31,531.231969663777
1998-08-31,433.05833114657406
1998-09-30,482.0408516296332
1998-10-30,552.7795143352773
1998-11-30,596.8809781665607
1998-12-31,744.413683974585
1999-01-29,887.4428723663135
1999-02-26,832.1784390138812
1999-03-31,979.7256329714502
1999-04-30,939.8468106889331
1999-05-31,876.6376910221246
1999-06-30,1068.2681976469391
1999-07-30,1056.873950006989
1999-08-31,1017.6682252082912
1999-09-30,1092.6659516583375
1999-10-29,1395.6295795109402
1999-11-30,1727.9821270882883
1999-12-31,2202.568776045609
2000-01-31,2214.672498159765
2000-02-29,2433.829218102506
2000-03-31,2583.2079713877583
2000-04-28,2810.0165174828057
2000-05-31,2529.503894379415
2000-06-30,2504.913198478183
2000-07-31,2166.4502349529466
2000-08-31,2146.995200039892
2000-09-29,1982.6481436226265
2000-10-31,2011.4199988224634
2000-11-30,2051.7829548867926
2000-12-29,2183.4432279973953
2001-01-01,2183.4432279973953
2001-01-02,2124.2922488390723
2001-01-03,1933.1506547265242
2001-01-04,2148.222079178648
2001-01-05,2164.4513335605957
2001-01-08,2085.5645573064694
2001-01-09,1886.1280305662162
2001-01-10,1858.5666994648611
2001-01-11,1997.3837384816482
2001-01-12,2035.8188064076594
2001-01-15,2014.9361565533989
2001-01-16,1906.148765710187
2001-01-17,1980.4406399482075
2001-01-18,2017.632719291666
2001-01-19,1973.6771492626854
2001-01-22,1928.1158504428872
2001-01-23,1899.0633116397232
2001-01-24,1891.107914426866
2001-01-25,1832.6774662111043
2001-01-26,1816.7038214793624
2001-01-29,1791.4587799650387
2001-01-30,1680.3369036844406
2001-01-31,1721.7738333811756
2001-02-01,1658.4110672068784
2001-02-02,1626.9565263498841
2001-02-05,1592.509810200321
2001-02-06,1647.8422051366185
2001-02-07,1555.7179921182849
2001-02-08,1501.298922476087
2001-02-09,1368.2479932941017
2001-02-12,1430.0258554009013
2001-02-13,1413.3956025375574
2001-02-14,1302.6639103222815
2001-02-15,1409.1239253525605
2001-02-16,1320.5871842072456
2001-02-19,1291.1700511210254
2001-02-20,1275.0643218422379
2001-02-21,1223.9654237985355
2001-02-22,1127.059981315587
2001-02-23,1047.1196686405422
2001-02-26,1080.882192144641
2001-02-27,1114.0482070415153
2001-02-28,1106.3782686566567
2001-03-01,1105.3256113090038
2001-03-02,1198.4552085012458
2001-03-05,1252.3858119505787
2001-03-06,1312.7068371557914
2001-03-07,1271.4757156223932
2001-03-08,1208.840717595148
2001-03-09,1178.9870121096105
2001-03-12,1063.7143406901666
2001-03-13,1099.5522188421362
2001-03-14,1094.7318741472948
2001-03-15,1231.766661150909
2001-03-16,1199.5492431670225
2001-03-19,1251.0834669242017
2001-03-20,1323.9497724081737
2001-03-21,1254.5451423526163
2001-03-22,1174.659031757425
2001-03-23,1295.7438376193911
2001-03-26,1362.1142417285284
2001-03-27,1300.0034224517926
2001-03-28,1260.8438595496402
2001-03-29,1183.2876703621973
2001-03-30,1184.1278446424847
2001-04-02,1182.9301152951923
2001-04-03,1101.9927591210087
2001-04-04,1115.3706679523277
2001-04-05,1193.415786035488
2001-04-06,1184.2129231629988
2001-04-09,1189.611628566258
2001-04-10,1254.6875976894225
2001-04-11,1312.7195787149076
2001-04-12,1325.7777738120549
2001-04-13,1325.7777738120549
2001-04-16,1312.200218682635
2001-04-17,1251.2469266991395
