Date,NETHERLANDS GROWTH
1974-12-31,100.0
1975-01-31,124.80466
1975-02-28,136.21367
1975-03-31,135.4796
1975-04-30,140.20297
1975-05-30,134.06189
1975-06-30,131.98589
1975-07-31,124.0507
1975-08-29,122.31141
1975-09-30,112.80848
1975-10-31,122.2639
1975-11-28,132.6009
1975-12-31,135.53435
1976-01-30,140.8952
1976-02-27,140.89079
1976-03-31,141.70053
1976-04-30,142.6456
1976-05-31,132.64156
1976-06-30,132.04587
1976-07-30,133.47735
1976-08-31,131.01637
1976-09-30,132.3553
1976-10-29,131.95543
1976-11-30,137.53501
1976-12-31,146.74661
1977-01-31,148.34142
1977-02-28,152.78927
1977-03-31,154.12436
1977-04-29,168.20424
1977-05-31,160.23983
1977-06-30,163.90326
1977-07-29,164.42587
1977-08-31,156.31223
1977-09-30,163.69581
1977-10-31,163.88998
1977-11-30,166.78572
1977-12-30,167.30784
1978-01-31,169.1341
1978-02-28,172.7487
1978-03-31,181.01223
1978-04-28,177.65949
1978-05-31,175.4427
1978-06-30,181.51541
1978-07-31,188.92693
1978-08-31,197.19784
1978-09-29,199.08345
1978-10-31,206.72146
1978-11-30,189.94398
1978-12-29,194.7893
1979-01-31,206.98257
1979-02-28,206.81448
1979-03-30,217.46667
1979-04-30,216.1599
1979-05-31,211.13254
1979-06-29,225.15958
1979-07-31,225.75527
1979-08-31,238.87124
1979-09-28,254.28586
1979-10-31,241.55801
1979-11-30,250.98592
1979-12-31,253.0313
1980-01-31,266.96443
1980-02-29,276.11302
1980-03-31,229.46235
1980-04-30,249.04839
1980-05-30,265.56594
1980-06-30,284.54117
1980-07-31,287.74072
1980-08-29,288.88055
1980-09-30,294.65879
1980-10-31,324.36527
1980-11-28,348.8614
1980-12-31,320.73498
1981-01-30,300.78892
1981-02-27,293.59927
1981-03-31,267.23357
1981-04-30,247.62697
1981-05-29,227.14189
1981-06-30,221.08461
1981-07-31,225.86307
1981-08-31,224.90984
1981-09-30,200.8402
1981-10-30,228.59087
1981-11-30,254.02338
1981-12-31,245.06361
1982-01-29,237.75701
1982-02-26,214.02505
1982-03-31,230.91827
1982-04-30,251.57324
1982-05-31,250.50326
1982-06-30,226.23249
1982-07-30,229.52871
1982-08-31,234.60895
1982-09-30,234.3601
1982-10-29,251.98149
1982-11-30,247.26726
1982-12-31,272.79534
1983-01-31,268.79866
1983-02-28,275.35735
1983-03-31,305.89066
1983-04-29,295.5048
1983-05-31,280.60593
1983-06-30,303.22743
1983-07-29,299.72235
1983-08-31,294.23063
1983-09-30,327.17496
1983-10-31,317.9224
1983-11-30,336.77525
1983-12-30,347.42685
1984-01-31,388.49087
1984-02-29,380.06605
1984-03-30,383.3237
1984-04-30,357.16361
1984-05-31,329.55661
1984-06-29,340.85392
1984-07-31,322.07126
1984-08-31,349.97124
1984-09-28,352.21519
1984-10-31,367.73639
1984-11-30,356.76969
1984-12-31,362.18046
1985-01-31,390.41866
1985-02-28,369.25841
1985-03-29,411.66237
1985-04-30,417.94519
1985-05-31,413.3194
1985-06-28,432.47934
1985-07-31,491.22019
1985-08-30,490.86006
1985-09-30,503.20865
1985-10-31,549.09312
1985-11-29,623.24733
1985-12-31,682.33327
1986-01-31,682.38953
1986-02-28,679.95824
1986-03-31,717.63895
1986-04-30,776.64438
1986-05-30,794.76522
1986-06-30,825.93667
1986-07-31,856.2846
1986-08-29,916.63158
1986-09-30,868.4139
1986-10-31,856.93643
1986-11-28,944.28331
1986-12-31,945.77448
1987-01-30,951.52656
1987-02-27,936.86926
1987-03-31,1021.30348
1987-04-30,1021.7602
1987-05-29,1032.61736
1987-06-30,1111.00118
1987-07-31,1147.11222
1987-08-31,1186.84382
1987-09-30,1154.65777
