Date,NEW ZEALAND GROWTH
1987-12-31,100.0
1988-01-29,99.74136
1988-02-29,89.15551
1988-03-31,107.24881
1988-04-29,109.95315
1988-05-31,112.02163
1988-06-30,110.55079
1988-07-29,114.15218
1988-08-31,109.06845
1988-09-30,104.21034
1988-10-31,106.2282
1988-11-30,105.46575
1988-12-30,99.17394
1989-01-31,103.66744
1989-02-28,105.31026
1989-03-31,105.7797
1989-04-28,106.39791
1989-05-31,95.76523
1989-06-30,96.43345
1989-07-31,97.00527
1989-08-31,121.01166
1989-09-29,117.05829
1989-10-31,108.97401
1989-11-30,109.63802
1989-12-29,105.29311
1990-01-31,97.41832
1990-02-28,89.33192
1990-03-30,83.05241
1990-04-30,81.71564
1990-05-31,93.2777
1990-06-29,93.39982
1990-07-31,98.92577
1990-08-31,90.83844
1990-09-28,80.30186
1990-10-31,75.04194
1990-11-30,66.48094
1990-12-31,58.03939
1991-01-31,63.19587
1991-02-28,69.92457
1991-03-29,67.48406
1991-04-30,75.08975
1991-05-31,75.50613
1991-06-28,72.10703
1991-07-31,71.90972
1991-08-30,69.04468
1991-09-30,66.7546
1991-10-31,71.8236
1991-11-29,70.84942
1991-12-31,67.1606
1992-01-31,67.38822
1992-02-28,68.8674
1992-03-31,64.51514
1992-04-30,62.63137
1992-05-29,66.68151
1992-06-30,65.80436
1992-07-31,72.23188
1992-08-31,71.37865
1992-09-30,72.48602
1992-10-30,68.20501
1992-11-30,74.29423
1992-12-31,71.04162
1993-01-29,69.59345
1993-02-26,75.55006
1993-03-31,80.97497
1993-04-30,81.7881
1993-05-31,86.96309
1993-06-30,90.69531
1993-07-30,109.75721
1993-08-31,113.32322
1993-09-30,116.11467
1993-10-29,131.24243
1993-11-30,114.04571
1993-12-31,130.87451
1994-01-31,145.23757
1994-02-28,133.75721
1994-03-31,125.05601
1994-04-29,126.6093
1994-05-31,128.61201
1994-06-30,118.05401
1994-07-29,125.09348
1994-08-31,134.88274
1994-09-30,135.25796
1994-10-31,147.70155
1994-11-30,145.40596
1994-12-30,141.07749
1995-01-31,146.60496
1995-02-28,149.09958
1995-03-31,162.13516
1995-04-28,179.11981
1995-05-31,173.11176
1995-06-30,163.92329
1995-07-31,173.81021
1995-08-31,171.83745
1995-09-29,170.772
1995-10-31,181.45956
1995-11-30,183.43657
1995-12-29,188.2508
1996-01-31,189.42416
1996-02-29,195.42206
1996-03-29,196.14848
1996-04-30,187.20769
1996-05-31,179.05716
1996-06-28,183.19481
1996-07-31,197.46069
1996-08-30,207.5056
1996-09-30,208.15716
1996-10-31,232.5102
1996-11-29,236.27278
1996-12-31,232.847
1997-01-31,230.96661412521178
1997-02-28,207.44379766973347
1997-03-31,211.11458368314447
1997-04-30,209.70369631012494
1997-05-30,224.74677478534414
1997-06-30,236.36560692328368
1997-07-31,239.37857462911776
1997-08-29,234.16460234881984
1997-09-30,250.38730482917
1997-10-31,240.80291329151257
1997-11-28,248.38547342925276
1997-12-31,227.67788361347237
1998-01-30,221.11762372957142
1998-02-27,231.2087893545602
1998-03-31,229.0296925173655
1998-04-30,228.76469483203067
1998-05-29,221.0759941864454
1998-06-30,194.92514082543266
1998-07-31,213.07184190118255
1998-08-31,180.92112892852893
1998-09-30,179.73151273414052
1998-10-30,193.18181231341163
1998-11-30,201.84016417263175
1998-12-31,206.41563349408298
1999-01-29,229.08342313277655
1999-02-26,242.0557495714936
1999-03-31,232.20678666554437
1999-04-30,249.1073400180718
1999-05-31,203.0005013443027
1999-06-30,206.84771397912925
1999-07-30,218.67870196598668
1999-08-31,217.36395092588288
1999-09-30,191.74025753978572
1999-10-29,196.25033530364513
1999-11-30,209.22560643516545
1999-12-31,230.59289398147692
2000-01-31,205.15890637534875
2000-02-29,204.35707119595338
2000-03-31,224.8304623648183
2000-04-28,210.96009378857585
2000-05-31,175.66975026618664
2000-06-30,179.9233830325486
2000-07-31,169.6030448168117
2000-08-31,148.88600815190927
2000-09-29,134.35288605034103
2000-10-31,123.00380467121109
2000-11-30,129.7640226423883
2000-12-29,121.49979955944016
2001-01-01,121.49979955944016
2001-01-02,121.30759648669076
2001-01-03,117.55285389975948
2001-01-04,121.86913142071586
2001-01-05,126.73444040694177
2001-01-08,126.51010684719944
2001-01-09,127.11526444836578
2001-01-10,123.29153774318918
2001-01-11,124.3478034885701
2001-01-12,128.05904674867008
2001-01-15,129.98769308603946
2001-01-16,133.972584032845
2001-01-17,135.017925805766
2001-01-18,137.0854850689529
