Date,EM LATAM ex BR QUALITY
1999-05-31,1000.0
1999-06-01,999.9708560566557
1999-06-02,999.5600534825509
1999-06-03,1003.1835334531557
1999-06-04,1016.6076561434035
1999-06-07,1029.1553551162021
1999-06-08,1017.5331376208368
1999-06-09,1000.9042648038425
1999-06-10,1002.6630081224566
1999-06-11,979.0647977086533
1999-06-14,963.809128445223
1999-06-15,984.2843577913712
1999-06-16,1036.111323301197
1999-06-17,1043.868225979449
1999-06-18,1049.1555987916765
1999-06-21,1057.5463781412432
1999-06-22,1052.7548104330194
1999-06-23,1031.0699297390292
1999-06-24,1021.9750357323335
1999-06-25,1016.0752776889578
1999-06-28,1031.000017214214
1999-06-29,1039.9603579863624
1999-06-30,1068.2813849696447
1999-07-01,1068.6077131246298
1999-07-02,1074.8004420081577
1999-07-05,1078.0645365230487
1999-07-06,1077.570225906377
1999-07-07,1079.1093385920767
1999-07-08,1069.1868363972515
1999-07-09,1066.433602254914
1999-07-12,1040.8099337414214
1999-07-13,1049.5107287438877
1999-07-14,1057.2495595769376
1999-07-15,1059.953794806441
1999-07-16,1069.1684987754868
1999-07-19,1074.6936523766674
1999-07-20,1053.728341805014
1999-07-21,1059.210660066936
1999-07-22,1044.3612740855071
1999-07-23,1024.7407126302141
1999-07-26,998.964400334071
1999-07-27,993.5283424432203
1999-07-28,1012.9646756894152
1999-07-29,977.8350235080952
1999-07-30,983.6993549658723
1999-08-02,962.147326700879
1999-08-03,961.4246029586018
1999-08-04,957.3691709163704
1999-08-05,953.5968775290942
1999-08-06,925.3589004359168
1999-08-09,933.6782860164138
1999-08-10,938.5182736150798
1999-08-11,962.8304772731414
1999-08-12,971.3487595723302
1999-08-13,994.0895703103758
1999-08-16,992.038962521451
1999-08-17,993.4381814045026
1999-08-18,972.2974163132102
1999-08-19,964.2515451509846
1999-08-20,951.090855120697
1999-08-23,966.6484989908107
1999-08-24,961.5922775563113
1999-08-25,977.2224583690471
1999-08-26,975.792762801866
1999-08-27,959.0497198825332
1999-08-30,950.8543350566148
1999-08-31,940.715383433411
1999-09-01,938.5892967383622
1999-09-02,936.7329177612257
1999-09-03,933.441809523359
1999-09-06,932.916902930396
1999-09-07,912.7810196583421
1999-09-08,903.6494788708379
1999-09-09,908.4561569426002
1999-09-10,928.1205195855289
1999-09-13,933.7442286923211
1999-09-14,933.6467223828013
1999-09-15,929.5395474600164
1999-09-16,926.1782236935751
1999-09-17,920.4364935291882
1999-09-20,935.0139635570054
1999-09-21,922.376246594699
1999-09-22,935.1325473306832
1999-09-23,931.3649156845916
1999-09-24,929.80809445849
1999-09-27,951.5000602218431
1999-09-28,955.6236761548057
1999-09-29,953.8911712529996
1999-09-30,949.85385720049
1999-10-01,934.8952834327764
1999-10-04,930.9608715021803
1999-10-05,925.4114265220976
1999-10-06,932.3082398902953
1999-10-07,936.3776759511575
1999-10-08,950.9286470215536
1999-10-11,962.7966397477882
1999-10-12,946.0520203671554
1999-10-13,923.317285608148
1999-10-14,911.1591924030381
1999-10-15,875.7235340272559
1999-10-18,873.9272901730982
1999-10-19,888.4945524324098
1999-10-20,894.1474838368009
1999-10-21,889.0864608857562
1999-10-22,898.1335132045193
1999-10-25,900.1430969518439
1999-10-26,905.082719837996
1999-10-27,899.9781620851941
1999-10-28,918.7233574140716
1999-10-29,943.9618786503842
1999-11-01,947.6297182692425
1999-11-02,951.4151261744468
1999-11-03,1006.1306288877705
1999-11-04,1008.6562308384393
1999-11-05,1020.1891009793698
1999-11-08,1029.7927911174793
1999-11-09,1018.7717127258873
1999-11-10,1035.2641085859218
1999-11-11,1048.1158892805292
1999-11-12,1051.9432650679466
1999-11-15,1068.204598041076
1999-11-16,1067.4894549191642
1999-11-17,1064.4659804193473
1999-11-18,1077.4430834248853
1999-11-19,1095.7902858557175
1999-11-22,1065.4537557418255
1999-11-23,1069.351529391596
1999-11-24,1079.7287886443144
1999-11-25,1092.6641663474963
1999-11-26,1082.9963927130336
1999-11-29,1081.7565377043722
1999-11-30,1064.3612606765255
1999-12-01,1064.2789190852877
1999-12-02,1081.224252830051
1999-12-03,1107.9205168808671
1999-12-06,1102.299550529511
1999-12-07,1102.8655630389098
1999-12-08,1145.3573512126682
1999-12-09,1143.727057862117
