Date,EM (EMERGING MARKETS) QUALITY
1994-06-30,240.96534341
1994-07-29,258.71024836
1994-08-31,283.33263111
1994-09-30,284.31880672
1994-10-31,278.99408715
1994-11-30,262.57165171
1994-12-30,240.17666078
1995-01-31,214.38086136
1995-02-28,216.32995977
1995-03-31,222.22659676
1995-04-28,226.50690798
1995-05-31,243.01933256
1995-06-30,241.77353543
1995-07-31,247.37627558
1995-08-31,232.20664613
1995-09-29,226.43681607
1995-10-31,221.82906727
1995-11-30,208.2527287
1995-12-29,218.32432618
1996-01-31,226.41578078
1996-02-29,236.90019288
1996-03-29,241.79518409
1996-04-30,248.58472127
1996-05-31,242.9957044
1996-06-28,248.61881409
1996-07-31,233.15377081
1996-08-30,241.57057985
1996-09-30,242.11339499
1996-10-31,236.51484704
1996-11-29,234.60867504
1996-12-31,233.55786328
1997-01-01,233.55786328
1997-01-02,235.2177501
1997-01-03,235.96303688
1997-01-06,236.7574127
1997-01-07,239.22580205
1997-01-08,242.05384855
1997-01-09,242.8731314
1997-01-10,243.96755138
1997-01-13,244.73492065
1997-01-14,246.02376937
1997-01-15,248.51560747
1997-01-16,248.15613163
1997-01-17,248.53395306
1997-01-20,248.06443343
1997-01-21,248.25358134
1997-01-22,248.5741318
1997-01-23,250.52272664
1997-01-24,252.08682948
1997-01-27,255.36933682
1997-01-28,253.28432912
1997-01-29,252.96631791
1997-01-30,253.05360828
1997-01-31,253.07460164
1997-02-03,253.53262152
1997-02-04,252.62421299
1997-02-05,254.38062654
1997-02-06,256.32391814
1997-02-07,257.06340577
1997-02-10,258.32464737
1997-02-11,258.93544138
1997-02-12,261.43420743
1997-02-13,262.72186499
1997-02-14,261.8842109
1997-02-17,262.24226691
1997-02-18,262.29845403
1997-02-19,263.59238965
1997-02-20,264.14235883
1997-02-21,262.96692819
1997-02-24,263.88963516
1997-02-25,264.78540794
1997-02-26,263.92716319
1997-02-27,263.48075164
1997-02-28,262.96848276
1997-03-03,263.4409588
1997-03-04,262.59389614
1997-03-05,261.86862216
1997-03-06,262.83756795
1997-03-07,262.59679829
1997-03-10,261.75181659
1997-03-11,261.75622681
1997-03-12,261.38317325
1997-03-13,262.19186632
1997-03-14,260.38940744
1997-03-17,262.75933958
1997-03-18,262.7122628
1997-03-19,261.72246366
1997-03-20,261.55047227
1997-03-21,259.87845397
1997-03-24,259.67090389
1997-03-25,259.95529146
1997-03-26,260.24021129
1997-03-27,259.43003024
1997-03-28,259.37926626
1997-03-31,256.86177443
1997-04-01,255.55656697
1997-04-02,255.19643038
1997-04-03,254.65822335
1997-04-04,254.51403645
1997-04-07,255.13448163
1997-04-08,255.44602194
1997-04-09,257.69369253
1997-04-10,255.66971239
1997-04-11,255.72631977
1997-04-14,252.8648806
1997-04-15,253.01235984
1997-04-16,252.95023305
1997-04-17,253.99268386
1997-04-18,253.44726853
1997-04-21,255.13871485
1997-04-22,254.33291983
1997-04-23,256.43612889
1997-04-24,254.82948997
1997-04-25,254.41809038
1997-04-28,253.46464762
1997-04-29,252.28344848
1997-04-30,253.71527091
1997-05-01,253.67746947
1997-05-02,253.06690112
1997-05-05,253.59388206
1997-05-06,253.98394154
1997-05-07,255.32749181
1997-05-08,255.56334162
1997-05-09,257.11038537
1997-05-12,254.88319889
1997-05-13,253.40980918
1997-05-14,253.28922749
1997-05-15,251.78197754
1997-05-16,252.17324121
1997-05-19,252.63633672
1997-05-20,252.39718677
1997-05-21,253.62485647
1997-05-22,254.01152986
1997-05-23,253.97048871
1997-05-26,254.55232219
1997-05-27,254.52220591
1997-05-28,255.93871032
1997-05-29,257.06020688
1997-05-30,258.93361924
1997-06-02,261.85768495
1997-06-03,264.35910729
1997-06-04,266.0180028
1997-06-05,265.6050012
1997-06-06,266.72117381
1997-06-09,267.30907462
1997-06-10,266.84997018
1997-06-11,266.73640648
1997-06-12,268.00498636
1997-06-13,267.77879577
1997-06-16,270.65515167
1997-06-17,271.46307072
1997-06-18,272.48105268
1997-06-19,274.13779146
1997-06-20,275.44841598
1997-06-23,277.64685819
1997-06-24,277.01070668
1997-06-25,278.25895283
1997-06-26,278.82298441
1997-06-27,280.46044492
1997-06-30,283.28278271
1997-07-01,284.1730366
1997-07-02,283.14916256
1997-07-03,283.91387731
1997-07-04,284.6190463
1997-07-07,285.2803948
1997-07-08,285.32903878
1997-07-09,286.04138415
1997-07-10,285.55012905
1997-07-11,284.75980057
1997-07-14,284.57325324
1997-07-15,283.08559185
1997-07-16,284.32505784
1997-07-17,283.78245469
1997-07-18,282.58367445
1997-07-21,281.3747177
1997-07-22,280.322342
1997-07-23,281.63328893
1997-07-24,283.87301422
1997-07-25,284.99072804
1997-07-28,285.66205248
1997-07-29,284.68279235
1997-07-30,284.19552013
1997-07-31,284.71333603
1997-08-01,282.7091892
1997-08-04,285.58365289
1997-08-05,284.63619292
1997-08-06,286.39255259
1997-08-07,284.23256256
1997-08-08,284.03513796
1997-08-11,279.68972577
1997-08-12,278.3403357
1997-08-13,276.06271269
1997-08-14,275.03282379
1997-08-15,274.05587061
1997-08-18,270.18368586
1997-08-19,268.41056477
1997-08-20,271.73786441
1997-08-21,273.19062258
1997-08-22,270.76045344
1997-08-25,270.36838525
1997-08-26,269.09346563
1997-08-27,268.08100016
1997-08-28,261.02221701
1997-08-29,257.35392692
1997-09-01,254.46281593
1997-09-02,254.60009694
1997-09-03,256.63460806
1997-09-04,256.17696428
1997-09-05,263.91648977
1997-09-08,266.18475036
1997-09-09,265.94020799
1997-09-10,264.033707
1997-09-11,260.64886333
1997-09-12,262.35159573
1997-09-15,259.95709068
1997-09-16,258.70876627
1997-09-17,260.59786924
1997-09-18,260.16974284
1997-09-19,260.00496628
1997-09-22,257.14661875
1997-09-23,256.99105391
1997-09-24,258.15445626
1997-09-25,258.1018925
1997-09-26,258.77832126
1997-09-29,259.96181166
1997-09-30,259.50056887
1997-10-01,259.10266946
1997-10-02,261.22839251
1997-10-03,261.7408778
1997-10-06,260.16940709
1997-10-07,261.06033455
1997-10-08,263.3265717
1997-10-09,265.85517793
1997-10-10,267.31448132
1997-10-13,268.84033
1997-10-14,270.06816552
1997-10-15,267.34798102
1997-10-16,265.47545896
1997-10-17,262.31952512
1997-10-20,255.75119759
1997-10-21,257.78130745
1997-10-22,256.70458657
1997-10-23,251.88128928
1997-10-24,248.44023804
1997-10-27,235.4260367
1997-10-28,224.87147744
1997-10-29,229.41675486
1997-10-30,223.25719069
1997-10-31,227.86624781
1997-11-03,236.41822047
1997-11-04,239.9749626
1997-11-05,242.69549669
1997-11-06,241.50615833
1997-11-07,234.38548059
1997-11-10,233.65530094
1997-11-11,232.65096649
1997-11-12,226.22169851
1997-11-13,221.96879544
1997-11-14,221.77375409
1997-11-17,224.36118124
1997-11-18,220.94422122
1997-11-19,219.7127452
1997-11-20,217.48155021
1997-11-21,222.35655153
1997-11-24,218.39335914
1997-11-25,217.2815282
1997-11-26,217.58477437
1997-11-27,221.00782272
1997-11-28,219.86268842
1997-12-01,217.65496522
1997-12-02,220.34053209
1997-12-03,221.42121342
1997-12-04,223.61769017
1997-12-05,223.10074897
1997-12-08,226.05404533
1997-12-09,223.60085959
1997-12-10,222.64820661
1997-12-11,214.1823821
1997-12-12,213.25347767
1997-12-15,214.18247653
1997-12-16,215.11911802
1997-12-17,219.76755734
1997-12-18,220.10712222
1997-12-19,218.6585987
1997-12-22,218.70504035
1997-12-23,218.77698646
1997-12-24,218.77745416
1997-12-25,218.77745416
1997-12-26,220.63696824
1997-12-29,222.39075048
1997-12-30,225.37437099
1997-12-31,225.71636329
1998-01-01,225.71636329
1998-01-02,225.10180819
1998-01-05,224.43966616
1998-01-06,218.91592976
1998-01-07,215.81775352
1998-01-08,210.46775114
1998-01-09,205.38861432
1998-01-12,195.99730743
1998-01-13,200.4466838
1998-01-14,204.36435154
1998-01-15,202.43305307
1998-01-16,206.07203075
1998-01-19,211.35491568
1998-01-20,210.61499
1998-01-21,210.96903945
1998-01-22,208.74702055
1998-01-23,207.73682462
1998-01-26,209.0269029
1998-01-27,210.07344449
1998-01-28,210.15394491
1998-01-29,211.04802528
1998-01-30,212.98110637
1998-02-02,218.76506326
1998-02-03,224.18203602
1998-02-04,222.50378541
1998-02-05,224.78234993
1998-02-06,225.9263712
1998-02-09,225.32415859
1998-02-10,227.64112142
1998-02-11,229.33060162
1998-02-12,225.31860296
1998-02-13,223.31462404
1998-02-16,222.65458279
1998-02-17,224.8023455
1998-02-18,225.56169524
1998-02-19,227.60671376
1998-02-20,227.31960462
1998-02-23,227.40768741
1998-02-24,228.6047437
1998-02-25,229.9381062
1998-02-26,233.54807532
1998-02-27,235.54800564
1998-03-02,238.83024461
1998-03-03,236.43061629
1998-03-04,233.22157845
1998-03-05,228.72490948
1998-03-06,230.57590892
1998-03-09,230.56305126
1998-03-10,232.18081747
1998-03-11,233.54364683
1998-03-12,234.08237859
1998-03-13,234.73182611
1998-03-16,235.45350081
1998-03-17,236.20347287
1998-03-18,235.74514598
1998-03-19,236.81582509
1998-03-20,237.19285491
1998-03-23,238.97572013
1998-03-24,238.07663268
1998-03-25,240.94996075
1998-03-26,241.30670396
1998-03-27,243.34207528
1998-03-30,242.07980299
1998-03-31,241.50375135
1998-04-01,240.71308207
1998-04-02,240.99008618
1998-04-03,241.2952102
1998-04-06,243.24687148
1998-04-07,243.36741714
1998-04-08,243.75353484
1998-04-09,245.22153724
1998-04-10,243.98256592
1998-04-13,243.76383489
1998-04-14,245.30074394
1998-04-15,248.44098435
1998-04-16,249.15603759
1998-04-17,249.5233749
1998-04-20,251.11867323
1998-04-21,253.65349358
1998-04-22,253.14950111
1998-04-23,251.25003019
1998-04-24,247.49174221
1998-04-27,242.99997255
1998-04-28,242.75674998
1998-04-29,242.98354819
1998-04-30,247.2186463
1998-05-01,247.90354635
1998-05-04,249.47049767
1998-05-05,246.9112923
1998-05-06,242.70106482
1998-05-07,240.59091899
1998-05-08,240.47368822
1998-05-11,239.3650423
1998-05-12,235.75081571
1998-05-13,234.05629727
1998-05-14,235.30279507
1998-05-15,235.92529454
1998-05-18,232.43987291
1998-05-19,232.95056785
1998-05-20,234.45890152
1998-05-21,236.19392622
1998-05-22,235.42499707
1998-05-25,231.25424379
1998-05-26,225.98991893
1998-05-27,217.58523601
1998-05-28,216.36081407
1998-05-29,216.81084464
1998-06-01,210.24800977
1998-06-02,211.82260125
1998-06-03,213.89277406
1998-06-04,213.74649883
1998-06-05,212.8464621
1998-06-08,212.3147166
1998-06-09,211.22726318
1998-06-10,203.36508622
1998-06-11,200.09903026
1998-06-12,197.1869619
1998-06-15,190.18881285
1998-06-16,191.7065781
1998-06-17,199.70216099
1998-06-18,200.15866919
1998-06-19,198.18864199
1998-06-22,192.30914198
1998-06-23,194.39526875
1998-06-24,196.73727663
1998-06-25,195.62948882
1998-06-26,190.15305133
1998-06-29,188.87243953
1998-06-30,190.39679335
1998-07-01,191.7395107
1998-07-02,193.54832722
1998-07-03,193.11573152
1998-07-06,194.1677835
1998-07-07,197.44459416
1998-07-08,197.41048709
1998-07-09,195.33885912
1998-07-10,192.53622174
1998-07-13,193.54608434
1998-07-14,198.1448554
1998-07-15,200.26468907
1998-07-16,203.49042059
1998-07-17,203.848131
1998-07-20,202.52948491
1998-07-21,200.26928485
1998-07-22,198.6889815
1998-07-23,196.44147536
1998-07-24,194.85462052
1998-07-27,193.36372253
1998-07-28,191.66082253
1998-07-29,192.20556927
1998-07-30,194.29017395
1998-07-31,193.45718917
1998-08-03,189.87541594
1998-08-04,188.62086298
1998-08-05,186.39017152
1998-08-06,183.83306854
1998-08-07,181.00383527
1998-08-10,177.24090544
1998-08-11,170.17638239
1998-08-12,169.94703738
1998-08-13,166.64018834
1998-08-14,167.8617144
1998-08-17,163.73477478
1998-08-18,165.45291099
1998-08-19,168.69245632
1998-08-20,169.16581884
1998-08-21,163.03935312
1998-08-24,160.54553541
1998-08-25,160.43429081
1998-08-26,154.82639817
1998-08-27,147.00300876
1998-08-28,146.51005732
1998-08-31,145.49663854
1998-09-01,143.06433196
1998-09-02,148.38687758
1998-09-03,144.73695783
1998-09-04,145.25390798
