Date,FM GCC COUNTRIES IMI
2014-05-30,1000.0
2014-06-02,999.232234480252
2014-06-03,1002.9201820184354
2014-06-04,1002.9049294602593
2014-06-05,1000.2379200238465
2014-06-06,1000.3747772996891
2014-06-09,991.4965456086917
2014-06-10,994.5052873916818
2014-06-11,993.1572152131506
2014-06-12,990.6899771800056
2014-06-13,990.2841265077861
2014-06-16,978.4892237079716
2014-06-17,971.8218723001144
2014-06-18,965.2869596964439
2014-06-19,965.1509652286101
2014-06-20,964.2357198845141
2014-06-23,960.8056579483547
2014-06-24,957.4048894135075
2014-06-25,967.9463861089271
2014-06-26,958.7277356487516
2014-06-27,959.247002755659
2014-06-30,959.0817688586135
2014-07-01,960.0252586059373
2014-07-02,975.5227415015397
2014-07-03,969.0542170552313
2014-07-04,969.0542170552311
2014-07-07,961.5841504577706
2014-07-08,969.0408317535104
2014-07-09,971.1123505936363
2014-07-10,979.8449462819207
2014-07-11,979.7126572116708
2014-07-14,988.2098324780155
2014-07-15,980.5733411807039
2014-07-16,984.507904840513
2014-07-17,977.542713125015
2014-07-18,977.542713125015
2014-07-21,980.5275348492212
2014-07-22,984.7102114471336
2014-07-23,982.3894671875133
2014-07-24,983.1909595524874
2014-07-25,982.6615575932249
2014-07-28,981.8095927148235
2014-07-29,981.016331234368
2014-07-30,980.2247489103368
2014-07-31,980.7199080500089
2014-08-01,980.9840213391551
2014-08-04,994.3014225873079
2014-08-05,996.0213130836963
2014-08-06,994.3723618040462
2014-08-07,1001.6202810659493
2014-08-08,1002.1594290162805
2014-08-11,997.2072995049439
2014-08-12,997.4091954502767
2014-08-13,1002.2962706755103
2014-08-14,1002.7327921115457
2014-08-15,1002.7327921115459
2014-08-18,1000.4886114658941
2014-08-19,1004.4014083630448
2014-08-20,1009.6128249968824
2014-08-21,1008.1309792461154
2014-08-22,1007.8541684773066
2014-08-25,997.9363538655623
2014-08-26,999.0272701439864
2014-08-27,999.1531647788113
2014-08-28,997.8375664815312
2014-08-29,997.837566481531
2014-09-01,998.1559902266047
2014-09-02,1001.7768087551834
2014-09-03,1005.1878471897364
2014-09-04,1004.0579505076778
2014-09-05,1004.0579505076778
2014-09-08,1002.4446861059179
2014-09-09,1003.1989133414785
2014-09-10,1005.1808262136382
2014-09-11,1002.0673124193453
2014-09-12,1001.8022177708251
2014-09-15,1003.1238843363923
2014-09-16,1006.3140198615824
2014-09-17,1009.913305426478
2014-09-18,1007.3688921710229
2014-09-19,1006.3038717194837
2014-09-22,1010.1052694886541
2014-09-23,1006.65956122701
2014-09-24,1005.3092128245944
2014-09-25,1006.7523361188894
2014-09-26,1006.0885919034331
2014-09-29,1001.437540857554
2014-09-30,1001.8206247022551
2014-10-01,1004.5222465835631
2014-10-02,1010.3986543256771
2014-10-03,1007.7474237121777
2014-10-06,1008.67326774652
2014-10-07,1010.1327041906521
2014-10-08,1010.2830826360107
2014-10-09,1009.5239760866432
2014-10-10,1008.3289733148196
2014-10-13,988.5279008312251
2014-10-14,988.2539018445697
2014-10-15,984.511429664561
2014-10-16,976.7245957301599
2014-10-17,976.9844347354721
2014-10-20,969.6294508120109
2014-10-21,963.781848418333
2014-10-22,960.3721744178499
