Date,FM (FRONTIER MARKETS) IMI
2010-11-30,1000.0
2010-12-01,1000.7443644273577
2010-12-02,1003.9543654250566
2010-12-03,1006.6599427636366
2010-12-06,1017.0322845652458
2010-12-07,1014.9630893065363
2010-12-08,1017.6313556671396
2010-12-09,1014.798479483113
2010-12-10,1016.0510441728012
2010-12-13,1016.7714704925583
2010-12-14,1020.6550363570384
2010-12-15,1023.6176749677487
2010-12-16,1020.9650950317442
2010-12-17,1020.4135271629617
2010-12-20,1015.4640853069036
2010-12-21,1018.9524221082972
2010-12-22,1022.9106389990463
2010-12-23,1024.984497997289
2010-12-24,1025.5500637235411
2010-12-27,1033.2910985987212
2010-12-28,1031.6492792690299
2010-12-29,1031.338287873426
2010-12-30,1036.1367212849525
2010-12-31,1039.201280306678
2011-01-03,1044.0919732795505
2011-01-04,1046.2577793058215
2011-01-05,1049.2437822613465
2011-01-06,1050.5292499910247
2011-01-07,1048.7326064586546
2011-01-10,1030.8889761674561
2011-01-11,1044.8813028288832
2011-01-12,1049.2797745060832
2011-01-13,1052.7281642747005
2011-01-14,1055.0948583625275
2011-01-17,1050.3028202645394
2011-01-18,1052.8575583736408
2011-01-19,1054.5751659163257
2011-01-20,1041.4122142966523
2011-01-21,1043.7604901347886
2011-01-24,1051.96701596982
2011-01-25,1052.722439513708
2011-01-26,1059.1852879372684
2011-01-27,1056.5330330033942
2011-01-28,1054.3126609280507
2011-01-31,1036.3846629950554
2011-02-01,1029.604595834432
2011-02-02,1039.2451108426085
2011-02-03,1035.7792793757474
2011-02-04,1034.786837499389
2011-02-07,1029.053628831232
2011-02-08,1037.829363738781
2011-02-09,1034.2579994091352
2011-02-10,1030.2123101251293
2011-02-11,1027.7075289848199
2011-02-14,1009.5903675158829
2011-02-15,1012.4112094460651
2011-02-16,1002.449330350459
2011-02-17,1001.5212598490876
2011-02-18,1001.2269345785581
2011-02-21,983.0182352132921
2011-02-22,978.1694099880701
2011-02-23,978.787965408984
2011-02-24,974.6971602936063
2011-02-25,974.1319589918223
2011-02-28,957.2429806790926
2011-03-01,955.4676580648708
2011-03-02,927.9075503873147
2011-03-03,934.1563307847607
2011-03-04,935.4364023698932
2011-03-07,938.2876109104725
2011-03-08,949.3224856619263
2011-03-09,962.1508297105737
2011-03-10,971.6389043234813
2011-03-11,972.1698283322158
2011-03-14,975.6280849483857
2011-03-15,957.2486056766296
2011-03-16,945.3757424638816
2011-03-17,954.1511243828443
2011-03-18,955.2101245088624
2011-03-21,963.1249812153682
2011-03-22,970.6005814970339
2011-03-23,969.6691279491416
2011-03-24,968.868192041763
2011-03-25,968.8515577859285
2011-03-28,968.3339885994636
2011-03-29,967.9575277393151
2011-03-30,967.4791573049035
2011-03-31,968.1427211394006
2011-04-01,971.1876494602759
2011-04-04,980.2451812402217
2011-04-05,983.6125053574375
2011-04-06,988.5210385771973
2011-04-07,992.1598993615838
2011-04-08,994.935110089034
2011-04-11,995.7779934641095
2011-04-12,993.5789859871801
2011-04-13,998.6030341419138
2011-04-14,998.2102056523794
2011-04-15,998.1366626583475
2011-04-18,991.789254338118
2011-04-19,990.1536726510701
2011-04-20,998.1859997630216
2011-04-21,1002.7298797428234
2011-04-22,1003.1004329679955
2011-04-25,999.025312526407
2011-04-26,997.9534048807938
2011-04-27,1002.633440658565
2011-04-28,1007.3468018759124
2011-04-29,1008.1833514861122
2011-05-02,1006.2157413865733
2011-05-03,1004.0319265894439
2011-05-04,1001.5040376191344
2011-05-05,998.1195000913955
2011-05-06,996.6965381723999
2011-05-09,991.1811478446074
2011-05-10,996.9247095186822
2011-05-11,991.0753604981398
2011-05-12,990.2888495189916
2011-05-13,990.475659971357
2011-05-16,982.3240825669234
2011-05-17,981.0219126469691
2011-05-18,981.0279479398627
2011-05-19,979.2836232857658
2011-05-20,977.5072364682396
2011-05-23,961.5316490701309
2011-05-24,959.3048827633831
2011-05-25,952.3562262201331
2011-05-26,957.1370765839574
2011-05-27,961.299620237252
2011-05-30,963.3702829583976
2011-05-31,970.5293150697397
2011-06-01,970.0719565659997
2011-06-02,965.481768680213
2011-06-03,966.5253627001791
2011-06-06,964.1863182548614
2011-06-07,967.8081842732099
2011-06-08,966.2658513048887
2011-06-09,971.0499025885349
2011-06-10,969.1834687459462
2011-06-13,967.944309631196
2011-06-14,969.7012461405203
2011-06-15,971.5759060095032
2011-06-16,966.0117160960992
2011-06-17,967.99313917968
2011-06-20,956.466315730064
2011-06-21,960.4350107137229
2011-06-22,959.9402252184743
2011-06-23,956.32184020137
2011-06-24,955.731716585258
2011-06-27,954.9735844302656
2011-06-28,952.9160896478581
2011-06-29,957.8780597162483
2011-06-30,962.8384252111492
2011-07-01,963.3454269041407
2011-07-04,965.448023723642
2011-07-05,970.3682602565675
2011-07-06,965.8141555284527
2011-07-07,968.7866701211719
2011-07-08,967.6576080025034
2011-07-11,958.9801728524168
2011-07-12,952.1980962242052
2011-07-13,957.1813209727334
2011-07-14,955.86329095509
2011-07-15,959.4732700198442
2011-07-18,940.270839740942
2011-07-19,942.9550195021053
2011-07-20,944.6802473860922
2011-07-21,953.4464892280306
2011-07-22,954.722229578982
2011-07-25,950.0849265840966
2011-07-26,951.8778745235949
2011-07-27,946.8461923699757
2011-07-28,940.3488564143215
2011-07-29,940.4805770557397
2011-08-01,938.0114578213428
2011-08-02,938.8254167959271
2011-08-03,937.0529428393057
2011-08-04,931.1712562551581
2011-08-05,925.1345289229637
2011-08-08,892.7400661091373
2011-08-09,875.9408500516289
2011-08-10,881.6192099632874
2011-08-11,880.1300034255647
2011-08-12,884.9847068978098
2011-08-15,888.3608999944338
2011-08-16,887.0201627290411
2011-08-17,888.5540515016239
2011-08-18,884.0531491458021
2011-08-19,879.2096694508003
2011-08-22,874.3957885332433
2011-08-23,874.9947447367213
2011-08-24,877.6514874552297
2011-08-25,877.9912245124896
2011-08-26,877.4996309042504
2011-08-29,886.680633333571
2011-08-30,889.1202418890456
2011-08-31,891.6096515859392
2011-09-01,888.9208014677957
2011-09-02,888.8396241778047
2011-09-05,883.4818647892923
2011-09-06,878.421842658579
2011-09-07,887.123998068223
2011-09-08,890.9475745855444
