Date,IRELAND SMALL VALUE
1998-12-31,156.08339726003456
1999-01-01,156.08234399497698
1999-01-04,159.75657425603274
1999-01-05,162.81359676704085
1999-01-06,168.12673709633015
1999-01-07,167.6370246507503
1999-01-08,168.2617461298667
1999-01-11,169.02680000687695
1999-01-12,170.00530817220323
1999-01-13,164.7469131969337
1999-01-14,165.17244302755353
1999-01-15,164.81143691109747
1999-01-18,164.80076280636072
1999-01-19,166.39395155266308
1999-01-20,167.6658551089125
1999-01-21,168.3023456004504
1999-01-22,165.68963962436288
1999-01-25,165.02203272050696
1999-01-26,164.87124429590418
1999-01-27,164.37164718028527
1999-01-28,163.09439198256996
1999-01-29,160.9010001190212
1999-02-01,159.8454860108641
1999-02-02,158.76829199703468
1999-02-03,159.23654312064727
1999-02-04,157.32189360796352
1999-02-05,157.41494085786553
1999-02-08,158.24251922566032
1999-02-09,157.48454050522284
1999-02-10,156.50390790458522
1999-02-11,156.88100103346417
1999-02-12,159.9108578938914
1999-02-15,158.8788063933123
1999-02-16,159.4274759382505
1999-02-17,158.99826776742628
1999-02-18,159.74685251748957
1999-02-19,161.41766446750202
1999-02-22,162.35798646594674
1999-02-23,165.16603678157534
1999-02-24,168.12513210502846
1999-02-25,170.10539721077834
1999-02-26,168.85273964539445
1999-03-01,170.11070662702681
1999-03-02,170.35691309179177
1999-03-03,170.74495705903004
1999-03-04,170.86960123132408
1999-03-05,171.8338805602007
1999-03-08,172.8247334992726
1999-03-09,172.22329369481787
1999-03-10,171.36169258691703
1999-03-11,171.69977363545487
1999-03-12,171.46512389150038
1999-03-15,171.14166873990814
1999-03-16,170.5940904535123
1999-03-17,170.5940904535123
1999-03-18,170.3268443796087
1999-03-19,170.94790130290855
1999-03-22,169.72744214812747
1999-03-23,169.89902716320645
1999-03-24,169.2604044361075
1999-03-25,168.66387553205578
1999-03-26,168.95358125983006
1999-03-29,168.94744178082084
1999-03-30,168.11100577527344
1999-03-31,167.93965738585254
1999-04-01,168.49656694678032
1999-04-02,168.49656694678032
1999-04-05,168.49656694678035
1999-04-06,168.71090191143847
1999-04-07,168.6922750315399
1999-04-08,168.64100460457678
1999-04-09,168.05633562489274
1999-04-12,167.74637552513107
1999-04-13,167.89627703819278
1999-04-14,168.82450241920048
1999-04-15,168.6894297635275
