Date,DENMARK SMALL VALUE
1998-12-31,169.49400361464672
1999-01-01,169.49400361464672
1999-01-04,173.16751408651356
1999-01-05,173.97753155168584
1999-01-06,176.21128903373844
1999-01-07,176.22372500157428
1999-01-08,176.4544862561701
1999-01-11,179.98716801759502
1999-01-12,180.74755588328918
1999-01-13,176.52999615704036
1999-01-14,176.04496680576509
1999-01-15,176.63993806150975
1999-01-18,178.53499688336657
1999-01-19,179.50801990029478
1999-01-20,180.80550627622338
1999-01-21,180.6077243792777
1999-01-22,178.88211832157992
1999-01-25,179.77083460268966
1999-01-26,181.13690551555106
1999-01-27,182.52733321789904
1999-01-28,182.32275540026015
1999-01-29,182.56751666904827
1999-02-01,182.70227808318526
1999-02-02,181.35500330224608
1999-02-03,180.83180737438155
1999-02-04,179.7484896272538
1999-02-05,179.8232690377986
1999-02-08,179.278142934092
1999-02-09,178.87479179565977
1999-02-10,178.0957182009613
1999-02-11,178.95052214095165
1999-02-12,178.71835238108198
1999-02-15,177.4256075333571
1999-02-16,177.1219353941514
1999-02-17,176.3464523225635
1999-02-18,176.04559361812187
1999-02-19,175.83629379368375
1999-02-22,176.00804965065808
1999-02-23,176.8654101828945
1999-02-24,177.11264695917828
1999-02-25,176.96716321803456
1999-02-26,176.51487200768904
1999-03-01,175.6250056743216
1999-03-02,175.69251909311967
1999-03-03,175.3296112056853
1999-03-04,174.3221644737242
1999-03-05,172.20513675497762
1999-03-08,171.0978509098818
1999-03-09,169.4853107485389
1999-03-10,169.9116774121427
1999-03-11,169.61831616717305
1999-03-12,169.8833758749252
1999-03-15,168.08720160264545
1999-03-16,167.815637520339
1999-03-17,168.8116615062795
1999-03-18,168.58516874586388
1999-03-19,169.43399350966826
1999-03-22,168.94838586430208
1999-03-23,168.8150712373708
1999-03-24,168.8413966627263
1999-03-25,169.2119903765174
1999-03-26,168.45280527371926
1999-03-29,169.70481798431868
1999-03-30,169.65231611277426
1999-03-31,170.759559938188
1999-04-01,170.75285308415735
1999-04-02,170.78495821958387
1999-04-05,170.80920430217566
1999-04-06,171.7081993161878
1999-04-07,173.47008972419897
1999-04-08,174.09115278987434
1999-04-09,173.94432936704527
1999-04-12,173.73514465046344
1999-04-13,173.91333372265692
1999-04-14,174.32055574630158
1999-04-15,174.07023165146106
1999-04-16,175.15429066338464
1999-04-19,175.59560204325092
1999-04-20,174.4436536669325
1999-04-21,175.88240221707377
1999-04-22,177.02923583919426
1999-04-23,176.99999052997688
1999-04-26,178.12253400941208
1999-04-27,177.35753513425524
1999-04-28,179.09665300217918
1999-04-29,179.2703407767646
1999-04-30,179.41662754284135
1999-05-03,179.8789116064324
1999-05-04,180.88507182643534
1999-05-05,179.67641732572378
1999-05-06,179.6872377464587
1999-05-07,180.3260884257018
1999-05-10,180.19742682106303
1999-05-11,181.13152228082575
1999-05-12,180.66675359341124
1999-05-13,180.68724368163583
1999-05-14,181.2939623446585
1999-05-17,180.8309363287756
1999-05-18,181.68460528958053
1999-05-19,183.10001154845003
1999-05-20,184.13665365664957
1999-05-21,183.82863877051267
1999-05-24,183.79964724266262
1999-05-25,184.31997036440492
1999-05-26,185.03644539571005
1999-05-27,184.34920290792502
1999-05-28,184.2180651674155
1999-05-31,184.93894050798482
1999-06-01,184.50181683646
1999-06-02,184.01686021442367
1999-06-03,184.99474336712984
1999-06-04,184.44123379527161
1999-06-07,184.64302633495916
1999-06-08,184.87286253990828
1999-06-09,184.50674160692967
1999-06-10,184.68343638164515
1999-06-11,184.6518918470678
1999-06-14,184.78191436791406
1999-06-15,184.58003550012947
1999-06-16,186.42102931836143
1999-06-17,187.24650665408558
1999-06-18,187.71685195479898
1999-06-21,189.08187720061235
1999-06-22,189.3317366100491
1999-06-23,189.9032684181603
1999-06-24,189.11831940535427
1999-06-25,189.84029450679012
1999-06-28,190.4845270412185
1999-06-29,188.6870200496127
1999-06-30,189.68839705765262
