Date,SPAIN SMALL VALUE
1998-12-31,218.49574668422437
1999-01-01,218.42016207018048
1999-01-04,223.71939045715393
1999-01-05,223.04322422547253
1999-01-06,223.04322382126324
1999-01-07,222.12758475064183
1999-01-08,222.30309948129354
1999-01-11,220.35921499271188
1999-01-12,220.49859469911098
1999-01-13,213.92148371313692
1999-01-14,215.61192223835403
1999-01-15,214.8511658660534
1999-01-18,219.22069626122376
1999-01-19,218.21150380989596
1999-01-20,217.43229534762995
1999-01-21,218.03079546012435
1999-01-22,216.33774480884242
1999-01-25,215.43060103888467
1999-01-26,214.65139155986756
1999-01-27,215.35505156204047
1999-01-28,215.8449553216221
1999-01-29,216.9800345108846
1999-02-01,217.7744439850368
1999-02-02,217.1933428180915
1999-02-03,218.3768284017755
1999-02-04,218.68134873988137
1999-02-05,217.75779369853524
1999-02-08,215.8100206176666
1999-02-09,215.7019964252154
1999-02-10,217.28654461091614
1999-02-11,217.96893669814594
1999-02-12,218.10811507581747
1999-02-15,217.44509347625126
1999-02-16,216.77714457939237
1999-02-17,216.5372699494224
1999-02-18,215.80041402470977
1999-02-19,217.30354708817677
1999-02-22,216.71104027367912
1999-02-23,219.8386530420055
1999-02-24,220.4664826103961
1999-02-25,218.560337684054
1999-02-26,219.36721443350024
1999-03-01,219.07523041456915
1999-03-02,218.39641159673602
1999-03-03,217.84875295924962
1999-03-04,217.9944165693109
1999-03-05,218.8753431855965
1999-03-08,218.12855382831017
1999-03-09,218.01026943552836
1999-03-10,218.13659347922197
1999-03-11,219.6038465298881
1999-03-12,219.67798510091285
1999-03-15,219.19027096499937
1999-03-16,219.50890613142835
1999-03-17,218.85462484364658
1999-03-18,218.6132857158046
1999-03-19,218.05851258534128
1999-03-22,218.7671916065106
1999-03-23,216.45079745585645
1999-03-24,214.72197893258328
1999-03-25,215.08353770984567
1999-03-26,213.64030019376665
1999-03-29,213.487547398472
1999-03-30,212.714296504063
1999-03-31,214.43447268890677
1999-04-01,214.4344721204855
1999-04-02,214.43447018739153
1999-04-05,214.64035921799365
1999-04-06,214.02565446310993
1999-04-07,214.8543787707929
1999-04-08,214.6433006618922
1999-04-09,214.9004485698977
1999-04-12,214.35761531514797
1999-04-13,213.73856013025554
1999-04-14,212.38543210936737
1999-04-15,211.33235574458436
1999-04-16,209.72007471702133
1999-04-19,209.7059090543256
1999-04-20,207.68071004489732
1999-04-21,208.9805741993098
1999-04-22,209.79780491468384
1999-04-23,210.44315245728797
1999-04-26,210.7251382715398
1999-04-27,211.75205016517944
1999-04-28,211.4151142464885
1999-04-29,211.22303989231605
1999-04-30,211.46764516661787
1999-05-03,210.3679018130081
1999-05-04,209.99794335554873
1999-05-05,209.5719231217286
1999-05-06,210.2028982549369
1999-05-07,210.84267687252688
1999-05-10,209.9087642285104
1999-05-11,210.94697412191346
1999-05-12,210.90441469924536
1999-05-13,211.35602104502033
1999-05-14,210.91174483965605
1999-05-17,209.07242220016894
1999-05-18,208.63814756533966
1999-05-19,210.162339423233
1999-05-20,210.8415099636749
1999-05-21,210.6232995538404
1999-05-24,211.15066267781262
1999-05-25,210.01552295872955
1999-05-26,210.14058700002397
1999-05-27,211.3603472002147
1999-05-28,210.9618510654527
1999-05-31,211.51477920727848
1999-06-01,211.12027743549731
1999-06-02,210.32844255053877
1999-06-03,210.58552291378095
1999-06-04,210.39400261259954
1999-06-07,209.7842108811233
1999-06-08,208.69440603436448
1999-06-09,209.0174900268699
1999-06-10,208.52658574144172
1999-06-11,209.4710171539776
1999-06-14,208.81712692351752
1999-06-15,207.7652656274565
1999-06-16,207.25065679271526
1999-06-17,207.2948836633271
1999-06-18,207.1229334073875
1999-06-21,207.48644317577276
1999-06-22,206.61188107810727
1999-06-23,206.40143073350305
1999-06-24,206.23827411923395
1999-06-25,206.4849768363338
1999-06-28,205.88845895628975
1999-06-29,206.41321668746764
1999-06-30,206.6901177685594
1999-07-01,207.03813276839722
1999-07-02,206.45649807419304
1999-07-05,206.43598783639163
1999-07-06,205.98163489700488
1999-07-07,205.46063741517648
1999-07-08,204.81683868809557
1999-07-09,204.60459104232072
1999-07-12,205.19772232956083
1999-07-13,203.85601505513452
1999-07-14,203.643903871527
1999-07-15,204.03149112421167
1999-07-16,202.9489267474599
1999-07-19,205.63175655328482
1999-07-20,204.44422468240336
1999-07-21,204.85332055118332
1999-07-22,202.91933454389908
1999-07-23,202.73919872641446
1999-07-26,202.03389540013586
1999-07-27,202.41702134505027
1999-07-28,202.06926614853148
1999-07-29,200.64510445171345
1999-07-30,200.59787486109158
1999-08-02,201.03707964126647
1999-08-03,201.83319075580704
1999-08-04,200.83622990578314
1999-08-05,200.267147199451
1999-08-06,199.91574240999302
1999-08-09,199.73425760372956
1999-08-10,199.1708072299143
1999-08-11,199.39247983799896
1999-08-12,200.1268216893731
1999-08-13,199.99611349464547
1999-08-16,200.5751941424179
