Date,AUSTRALIA SMALL VALUE
1998-12-31,242.16704240049242
1999-01-01,242.16704240049242
1999-01-04,242.75666019768673
1999-01-05,244.18095572293706
1999-01-06,249.8514287610151
1999-01-07,254.17297554961976
1999-01-08,256.4556075592383
1999-01-11,259.97498112989337
1999-01-12,261.39704391427034
1999-01-13,252.8145184742656
1999-01-14,253.70711097721656
1999-01-15,257.1035582718937
1999-01-18,258.66487067881036
1999-01-19,261.36706810546326
1999-01-20,263.0304732717749
1999-01-21,261.5431459820338
1999-01-22,258.60536009779264
1999-01-25,256.9367654525534
1999-01-26,256.1126372382855
1999-01-27,258.1005891237736
1999-01-28,259.00359571448536
1999-01-29,262.61815543651034
1999-02-01,265.9625285340648
1999-02-02,265.94289106607715
1999-02-03,268.4828555786036
1999-02-04,272.5975570279433
1999-02-05,273.78631467615367
1999-02-08,274.46852923699987
1999-02-09,272.1368626213315
1999-02-10,268.226900632547
1999-02-11,271.02046860442294
1999-02-12,271.377668742137
1999-02-15,271.0447515900372
1999-02-16,268.271782654759
1999-02-17,266.13143791082564
1999-02-18,268.2800697062035
1999-02-19,273.6934447585312
1999-02-22,276.51237627288555
1999-02-23,278.0140814748525
1999-02-24,274.8274914864375
1999-02-25,267.3658370177087
1999-02-26,267.4835332318725
1999-03-01,266.53004172186445
1999-03-02,267.9563924447341
1999-03-03,271.17836486992417
1999-03-04,272.2238170674839
1999-03-05,274.8651520774717
1999-03-08,277.5562939322568
1999-03-09,279.56469516286836
1999-03-10,277.517741886064
1999-03-11,280.3683374872324
1999-03-12,279.6318739508655
1999-03-15,278.44631757186846
1999-03-16,275.5284800251827
1999-03-17,272.8305145812155
1999-03-18,274.8283756996881
1999-03-19,276.7631193153812
1999-03-22,278.7022462887744
1999-03-23,280.99140374319234
1999-03-24,279.10915081229643
1999-03-25,278.9973717630521
1999-03-26,282.6075221997879
1999-03-29,283.93080349748703
1999-03-30,280.2045575190482
1999-03-31,278.92995995460103
1999-04-01,280.83764392355107
1999-04-02,280.04950878852094
1999-04-05,281.04952624925556
1999-04-06,279.4454777235625
1999-04-07,277.62208047539383
1999-04-08,276.4548183493105
1999-04-09,281.08121833829784
1999-04-12,280.0435796034867
1999-04-13,283.47715870037285
1999-04-14,285.6244477706892
1999-04-15,286.7252599307792
1999-04-16,293.64517227311006
1999-04-19,300.73990672799505
1999-04-20,296.8846043457581
1999-04-21,296.7864588932025
1999-04-22,300.57990583351574
1999-04-23,298.96377627833874
1999-04-26,298.7829896780999
1999-04-27,297.3216755023295
1999-04-28,297.5063397935592
1999-04-29,301.21987417825306
1999-04-30,303.9217952156972
1999-05-03,304.23706922086757
1999-05-04,304.2939611088864
1999-05-05,301.30124366939725
1999-05-06,303.2579577940265
1999-05-07,300.68740582930593
1999-05-10,299.39504026515044
1999-05-11,301.3629349818523
1999-05-12,300.67095022967095
1999-05-13,301.8411071130622
1999-05-14,302.44187542895435
1999-05-17,298.83727910914536
1999-05-18,304.4402252175307
1999-05-19,300.6844467728913
1999-05-20,299.04236776451745
1999-05-21,300.10637982368416
1999-05-24,299.39559379767286
1999-05-25,296.29319531494104
1999-05-26,294.55496391308026
1999-05-27,293.5750770653277
1999-05-28,294.6031424168245
1999-05-31,293.591680412977
1999-06-01,289.26159644024887
1999-06-02,289.882885538275
1999-06-03,292.4329058607012
1999-06-04,295.4552752865744
1999-06-07,299.0906968269529
1999-06-08,297.71583333891476
1999-06-09,299.5182984188672
1999-06-10,298.03952268996187
1999-06-11,298.8594928494668
1999-06-14,299.81845650784174
1999-06-15,297.18043862566776
1999-06-16,300.5474788483883
1999-06-17,302.7246242469176
1999-06-18,299.59936590081844
1999-06-21,299.9632905794329
1999-06-22,303.0875946007959
1999-06-23,305.1193586926886
1999-06-24,302.30884514721004
1999-06-25,299.2452988585075
1999-06-28,301.18385480737925
1999-06-29,299.66746245889436
1999-06-30,304.2519455351978
1999-07-01,310.5302688291673
1999-07-02,314.484485342758
1999-07-05,314.44784402010964
1999-07-06,315.02089378473056
1999-07-07,313.40761215456166
1999-07-08,316.8381651507627
1999-07-09,316.04334508638954
1999-07-12,317.97121086414893
1999-07-13,315.3371163773062
1999-07-14,315.76598843734007
1999-07-15,315.6558779496477
1999-07-16,313.7934275044873
1999-07-19,313.75978054750817
