Date,PORTUGAL SMALL VALUE
1998-12-31,220.22380025065974
1999-01-01,220.23403608123763
1999-01-04,224.2500158814611
1999-01-05,222.5827685478919
1999-01-06,223.77183999120598
1999-01-07,222.65305225208047
1999-01-08,223.37330996534456
1999-01-11,221.83033998734246
1999-01-12,221.04152149025578
1999-01-13,217.7208281301857
1999-01-14,218.10099870198724
1999-01-15,218.18010137473675
1999-01-18,220.26397436904938
1999-01-19,219.02761344880125
1999-01-20,219.71645699827673
1999-01-21,220.97771838832503
1999-01-22,219.25808498175002
1999-01-25,218.4666186248181
1999-01-26,218.285438032558
1999-01-27,216.9560361098856
1999-01-28,217.20015165164457
1999-01-29,217.80626933126624
1999-02-01,219.18709484318336
1999-02-02,218.63419559714254
1999-02-03,217.60699981443054
1999-02-04,219.31974191284073
1999-02-05,221.71675813371152
1999-02-08,219.16969825617494
1999-02-09,216.60196031662596
1999-02-10,217.36754576529773
1999-02-11,219.50647918227526
1999-02-12,219.7541305995573
1999-02-15,218.72030018997165
1999-02-16,218.7202987864207
1999-02-17,217.72583926855756
1999-02-18,217.67858144571926
1999-02-19,217.4274958819337
1999-02-22,217.02357294768896
1999-02-23,216.56442968958336
1999-02-24,216.163765777207
1999-02-25,214.68047081489092
1999-02-26,216.03269161495368
1999-03-01,214.09598508879418
1999-03-02,211.66527280940554
1999-03-03,210.02788728865647
1999-03-04,207.4681527215838
1999-03-05,209.5418013993441
1999-03-08,210.0608108275627
1999-03-09,207.38400240402189
1999-03-10,204.6365088760504
1999-03-11,206.88179021934542
1999-03-12,208.0532625998273
1999-03-15,209.03737758488026
1999-03-16,207.60949891054202
1999-03-17,204.696636272211
1999-03-18,202.62130681017194
1999-03-19,202.27920925899653
1999-03-22,201.71113230654942
1999-03-23,201.97671019644275
1999-03-24,203.78285930504614
1999-03-25,207.8239914992648
1999-03-26,207.7572969565348
1999-03-29,207.48280098448683
1999-03-30,207.37554877653088
1999-03-31,208.5749324313558
1999-04-01,209.28972374471294
1999-04-02,209.28972392633582
1999-04-05,209.28972534096388
1999-04-06,209.1528504632239
1999-04-07,209.4106949310666
1999-04-08,210.18282305987302
1999-04-09,211.33035491018944
1999-04-12,211.20514291155524
1999-04-13,211.9792967254239
1999-04-14,209.56967079836218
1999-04-15,210.10972436129984
1999-04-16,210.05737563178593
1999-04-19,207.71507089921764
1999-04-20,204.65228484376073
1999-04-21,204.09004611094252
1999-04-22,205.6699075556758
1999-04-23,203.44884403018165
1999-04-26,203.36200132526247
1999-04-27,203.55198081470843
1999-04-28,204.32566513858518
1999-04-29,203.6312270878374
1999-04-30,202.50051483186454
1999-05-03,202.60734821141435
1999-05-04,197.3838679927531
1999-05-05,194.75754360304086
1999-05-06,195.21381873059946
1999-05-07,198.5848888918767
1999-05-10,203.56217856212686
1999-05-11,205.72521581962516
1999-05-12,205.81498145980265
1999-05-13,205.36914438176856
1999-05-14,204.87765030499966
1999-05-17,200.6605381718791
1999-05-18,202.75737706220565
1999-05-19,204.20991778143127
1999-05-20,203.49372172847995
1999-05-21,201.54894543549523
1999-05-24,201.1478132351849
1999-05-25,200.38851558538832
1999-05-26,200.39076999928938
1999-05-27,200.60124809722697
1999-05-28,200.9330579444365
1999-05-31,201.54587670673178
1999-06-01,200.79066614403627
1999-06-02,200.6300996748978
1999-06-03,200.6301000278625
1999-06-04,202.02061855004425
1999-06-07,202.04247323032095
1999-06-08,200.5140786832865
1999-06-09,200.70126453039998
1999-06-10,200.70126445814103
1999-06-11,200.4183556791642
1999-06-14,199.37820612972502
1999-06-15,198.17824647414002
1999-06-16,197.77225373466973
1999-06-17,197.68335389769794
1999-06-18,198.09125341039095
1999-06-21,196.4093995281846
1999-06-22,194.8203731660122
1999-06-23,192.79225648606385
1999-06-24,190.43119467159337
1999-06-25,192.02916149147245
1999-06-28,191.11010718062312
1999-06-29,193.58747368237567
1999-06-30,193.09062459332526
1999-07-01,192.84031754672128
1999-07-02,192.4657509371712
1999-07-05,192.70246628448564
1999-07-06,191.81782749634212
1999-07-07,192.32611384667942
1999-07-08,191.9343116897571
1999-07-09,192.04298994010338
1999-07-12,190.41491810125194
1999-07-13,188.57145731133588
1999-07-14,186.2951606398974
1999-07-15,185.88249360275856
1999-07-16,186.92325218526156
1999-07-19,186.80407353342008
1999-07-20,187.20871966070226
1999-07-21,188.70219832529042
1999-07-22,190.0428130746593
1999-07-23,190.36007213295463
1999-07-26,191.59752326636323
1999-07-27,191.037014416378
1999-07-28,192.82882687299514
1999-07-29,191.36881713463606
1999-07-30,193.5183273052367
1999-08-02,192.95919070914246
1999-08-03,190.65708986490174
1999-08-04,188.8659614495858
1999-08-05,187.35073791637146
1999-08-06,187.13958227638068
1999-08-09,187.05453362957925
1999-08-10,186.66903212297993
1999-08-11,186.37804607871408
1999-08-12,188.2954959465693
1999-08-13,192.7766328917401
1999-08-16,196.03324996045566
1999-08-17,195.34303650694835
1999-08-18,196.79366291208177
1999-08-19,197.7741295595817
1999-08-20,198.49595161681825
1999-08-23,199.05877467506846
1999-08-24,201.35959963047847
1999-08-25,202.40659163208989
1999-08-26,204.47750532650278
1999-08-27,205.10228656184856
1999-08-30,205.45243382637412
1999-08-31,204.60799558410469
1999-09-01,205.4057673663913
1999-09-02,204.36900977685116
1999-09-03,206.05987085479313
1999-09-06,207.41511492968834
1999-09-07,209.00131865504244
1999-09-08,207.84735820933727
1999-09-09,208.0597175273012
1999-09-10,207.59123606279945
1999-09-13,206.78239872543992
