Date,SWEDEN SMALL VALUE
1998-12-31,142.51848918758355
1999-01-01,142.51848918758355
1999-01-04,144.50178246857942
1999-01-05,145.95990986441186
1999-01-06,147.70020182304881
1999-01-07,148.90771522479926
1999-01-08,150.69016740108557
1999-01-11,152.33802307574337
1999-01-12,150.9979705888861
1999-01-13,146.49312972003443
1999-01-14,146.49478825891273
1999-01-15,146.30673867052985
1999-01-18,148.0644002827408
1999-01-19,149.86002337304086
1999-01-20,151.03706698217894
1999-01-21,150.37051761874503
1999-01-22,149.38958534274255
1999-01-25,149.02793613532344
1999-01-26,148.85089165146118
1999-01-27,149.9207815207753
1999-01-28,149.9661239703967
1999-01-29,149.94614699302727
1999-02-01,152.56941637015993
1999-02-02,151.04018001650167
1999-02-03,151.56080292901356
1999-02-04,152.12835271574727
1999-02-05,154.18448462321075
1999-02-08,154.74470652974085
1999-02-09,152.95915206729669
1999-02-10,152.08677287029727
1999-02-11,153.27076489425826
1999-02-12,154.0195933896354
1999-02-15,155.4436369327241
1999-02-16,155.65273737052397
1999-02-17,154.27345918536113
1999-02-18,154.3570524155096
1999-02-19,155.1728616883441
1999-02-22,157.78081289806707
1999-02-23,158.3596033813572
1999-02-24,159.04781982742125
1999-02-25,157.08220040733966
1999-02-26,156.90508698838028
1999-03-01,156.9926646703338
1999-03-02,158.36972854632177
1999-03-03,159.6629447917652
1999-03-04,160.46102279407583
1999-03-05,162.69771607229953
1999-03-08,163.848621971793
1999-03-09,164.31045731567067
1999-03-10,164.37444818039975
1999-03-11,165.11632493753507
1999-03-12,164.0839128835723
1999-03-15,162.74785254368234
1999-03-16,161.77970856717832
1999-03-17,161.0000049519108
1999-03-18,159.30920004918036
1999-03-19,160.8609489505703
1999-03-22,160.03855956371945
1999-03-23,159.1659224220453
1999-03-24,156.55192279676226
1999-03-25,157.539434009589
1999-03-26,158.19882427013914
1999-03-29,158.97606745013647
1999-03-30,159.5584323377854
1999-03-31,161.00962614224508
1999-04-01,160.2487010497033
1999-04-02,160.28346545936571
1999-04-05,160.42020637477222
1999-04-06,160.95966908463865
1999-04-07,161.16505489578694
1999-04-08,162.01092105408657
1999-04-09,163.53876381365174
1999-04-12,162.177327718936
1999-04-13,163.65554727862704
1999-04-14,164.35322277771465
1999-04-15,165.13744657055298
1999-04-16,166.546226914232
1999-04-19,167.92479916114607
1999-04-20,166.11697012623605
1999-04-21,166.8273974212358
1999-04-22,166.3041557892356
1999-04-23,166.59816397491295
1999-04-26,168.1280007025425
1999-04-27,167.5774542337968
1999-04-28,166.7619762565309
1999-04-29,167.63360583638504
1999-04-30,168.7356099355218
