Date,BELGIUM SMALL VALUE
1998-12-31,344.2259162995388
1999-01-01,344.22044934109925
1999-01-04,346.4935923249779
1999-01-05,347.2129521046799
1999-01-06,349.4344884097045
1999-01-07,347.91698906404804
1999-01-08,348.90746315555003
1999-01-11,354.45496550122243
1999-01-12,352.1808591112021
1999-01-13,342.87444651467484
1999-01-14,344.0134007035777
1999-01-15,344.31225836568507
1999-01-18,344.8257510417351
1999-01-19,345.34697338586284
1999-01-20,345.599596399882
1999-01-21,345.05763398812013
1999-01-22,340.49297037103474
1999-01-25,339.4945385577943
1999-01-26,340.10572964536954
1999-01-27,339.9902616765653
1999-01-28,337.52130803641666
1999-01-29,339.42132653551664
1999-02-01,341.7583598887253
1999-02-02,343.2320241954765
1999-02-03,346.9319596163743
1999-02-04,350.57227891710477
1999-02-05,353.0913327171387
1999-02-08,352.0440343034111
1999-02-09,349.5538115383176
1999-02-10,347.82739015042523
1999-02-11,349.85263223461743
1999-02-12,350.8180385199128
1999-02-15,352.5263158323686
1999-02-16,351.85723811859333
1999-02-17,352.06077612946206
1999-02-18,351.19449243266416
1999-02-19,352.3051540161408
1999-02-22,355.30067431657943
1999-02-23,356.3779934378101
1999-02-24,353.2853244367688
1999-02-25,353.7000644276064
1999-02-26,351.6747770799167
1999-03-01,349.0399996783704
1999-03-02,348.44690626100964
1999-03-03,349.33420689857275
1999-03-04,346.14151116943304
1999-03-05,346.1012801680772
1999-03-08,345.2495619130073
1999-03-09,345.7665400176341
1999-03-10,344.12839857566723
1999-03-11,345.60454183641133
1999-03-12,342.4501162672553
1999-03-15,344.7504538412893
1999-03-16,347.9629118778739
1999-03-17,348.0197952076723
1999-03-18,344.9461360448123
1999-03-19,346.82594560802585
1999-03-22,345.3552112938132
1999-03-23,340.252942698181
1999-03-24,335.2817450967167
1999-03-25,338.061625453269
1999-03-26,339.60423529775267
1999-03-29,340.14688354730066
1999-03-30,342.00367637562357
1999-03-31,342.583915685644
1999-04-01,340.9860473914813
1999-04-02,340.98604805407535
1999-04-05,340.98604771354104
1999-04-06,341.20826628352245
1999-04-07,343.2166815550721
1999-04-08,345.3525072577967
1999-04-09,348.5014698245598
1999-04-12,349.9440769769649
1999-04-13,354.31873489593136
1999-04-14,357.5754487974198
1999-04-15,359.19040097500357
1999-04-16,357.4830956870934
1999-04-19,357.77710281136393
1999-04-20,356.99312074916185
1999-04-21,356.2161411226572
1999-04-22,353.3647666081305
1999-04-23,352.2753404525977
1999-04-26,352.27819322970896
1999-04-27,354.87535919764593
1999-04-28,353.42335895192525
1999-04-29,353.94764927755506
1999-04-30,353.7808756654358
1999-05-03,353.4170410870333
1999-05-04,353.19719975638634
1999-05-05,351.82883380732886
1999-05-06,350.9084601834204
1999-05-07,353.25002004038697
1999-05-10,355.7405810615171
1999-05-11,356.49202504647576
1999-05-12,355.1223245157914
1999-05-13,355.12232397114235
1999-05-14,351.9677088323328
1999-05-17,351.6634816305267
1999-05-18,350.26374480142124
1999-05-19,350.1541104994632
1999-05-20,350.62330703496986
1999-05-21,352.1734419724017
1999-05-24,352.173441688262
1999-05-25,352.2442801420323
1999-05-26,350.6033022722962
1999-05-27,351.2384881158554
1999-05-28,348.8437589774589
1999-05-31,348.18904136674024
1999-06-01,345.66173596892475
1999-06-02,344.0516908453685
1999-06-03,342.84529310280334
1999-06-04,343.00082192551696
1999-06-07,343.662590575057
1999-06-08,343.54646937404937
1999-06-09,340.206955992482
1999-06-10,340.16896751639155
1999-06-11,343.23130708510445
1999-06-14,341.6230541533237
1999-06-15,339.75612560678064
1999-06-16,340.4635460000036
1999-06-17,343.5360876800124
1999-06-18,344.3242715073945
1999-06-21,346.7984414451483
1999-06-22,347.54280506050935
1999-06-23,343.99795458725856
1999-06-24,344.93125393170374
1999-06-25,342.5271212089235
1999-06-28,344.44409968919797
1999-06-29,345.24985123432856
1999-06-30,346.11122551301685
1999-07-01,344.34913343609554
1999-07-02,345.746515865498
1999-07-05,346.4061135033648
1999-07-06,347.7885249311439
1999-07-07,346.2243344029765
1999-07-08,343.9048736371541
1999-07-09,344.3887760893653
1999-07-12,342.7747681024369
1999-07-13,343.21977369246036
1999-07-14,344.79863988921306
1999-07-15,344.3825264620798
1999-07-16,346.4091023344533
1999-07-19,345.42088300721207
1999-07-20,346.0249169131407
1999-07-21,346.0249169131407
1999-07-22,343.5396977516013
1999-07-23,342.099688342831
1999-07-26,339.79799792824286
1999-07-27,338.3767098840904
1999-07-28,337.7076562581166
1999-07-29,332.58755416805025
1999-07-30,334.3663218762724
1999-08-02,333.0220281550269
1999-08-03,331.61909248316994
1999-08-04,332.78002544787597
1999-08-05,330.9190797331424
1999-08-06,330.93860591878627
1999-08-09,329.76458060021906
1999-08-10,328.38943539474496
1999-08-11,330.5080269716988
1999-08-12,333.0659162226144
1999-08-13,334.7581284102633
1999-08-16,335.6800041571326
1999-08-17,336.6270609481371
1999-08-18,337.57332442259724
1999-08-19,338.97262595071663
1999-08-20,340.7584776071544
1999-08-23,343.8877009875858
1999-08-24,343.1563108160199
1999-08-25,344.75920264397104
