Date,AUSTRIA SMALL VALUE
1998-12-31,158.5336885723235
1999-01-01,158.5342309352878
1999-01-04,159.28904953519506
1999-01-05,159.4597227970107
1999-01-06,159.4937503779505
1999-01-07,158.26852124138807
1999-01-08,158.67940027469822
1999-01-11,158.217951993606
1999-01-12,157.59468573988394
1999-01-13,156.44702173335182
1999-01-14,156.5413895880698
1999-01-15,157.1063118435998
1999-01-18,157.4455285637068
1999-01-19,156.08877685072096
1999-01-20,154.80080555585423
1999-01-21,153.62083498883123
1999-01-22,151.39614000339404
1999-01-25,151.96442446417228
1999-01-26,153.46248464143332
1999-01-27,154.20863672228
1999-01-28,153.95254613528397
1999-01-29,153.87863796267646
1999-02-01,154.38245798784516
1999-02-02,154.27150490119897
1999-02-03,154.45449506939448
1999-02-04,156.45841679315714
1999-02-05,156.97878446013638
1999-02-08,157.82294994987313
1999-02-09,157.23879387951214
1999-02-10,155.56157982478754
1999-02-11,154.66079719848645
1999-02-12,154.37885908932856
1999-02-15,154.68761229618354
1999-02-16,156.04753149268197
1999-02-17,156.4928504534899
1999-02-18,157.08567468157864
1999-02-19,156.8654642871319
1999-02-22,156.46490693073105
1999-02-23,157.66170276604302
1999-02-24,157.98176805733647
1999-02-25,157.71897357751536
1999-02-26,158.12095349818566
1999-03-01,158.04428187743406
1999-03-02,157.95874953693743
1999-03-03,157.57272769723332
1999-03-04,157.8140361348133
1999-03-05,158.45913167166188
1999-03-08,158.39673264051305
1999-03-09,158.22515564075826
1999-03-10,157.99990551768067
1999-03-11,156.6832157895913
1999-03-12,157.0853734112114
1999-03-15,157.90213018651752
1999-03-16,157.90941881800146
1999-03-17,158.24188486197178
1999-03-18,157.78137340462132
1999-03-19,158.2201500622254
1999-03-22,157.8251659094607
1999-03-23,156.7113429165251
1999-03-24,155.94056915516947
1999-03-25,156.5191465979628
1999-03-26,156.67316416998452
1999-03-29,157.07029623392722
1999-03-30,156.09245710577585
1999-03-31,157.18489427161393
1999-04-01,157.93685530306507
1999-04-02,157.93686081429706
1999-04-05,157.93685278862014
1999-04-06,157.94549100043304
1999-04-07,158.17071222374122
1999-04-08,158.06506117703822
1999-04-09,158.17765447448522
1999-04-12,157.89453339911978
1999-04-13,158.38767039396163
1999-04-14,159.00420496391868
1999-04-15,159.6413846069329
1999-04-16,159.64865727012042
1999-04-19,161.98250023243162
1999-04-20,162.15819215084247
1999-04-21,162.11587397938348
1999-04-22,162.36788225287899
1999-04-23,163.16422248773324
1999-04-26,163.41066030661466
1999-04-27,164.0035343291105
1999-04-28,163.0803675547013
1999-04-29,163.123143034126
1999-04-30,163.89276283316192
1999-05-03,164.54220085088178
1999-05-04,166.0325965855387
1999-05-05,165.30038434418842
1999-05-06,165.29567592222247
1999-05-07,165.00326217510752
1999-05-10,164.1099937280141
1999-05-11,163.9152948048034
1999-05-12,163.2868564010097
1999-05-13,163.28684075447856
1999-05-14,163.91350876717033
1999-05-17,163.58080721138606
1999-05-18,163.5179368797434
1999-05-19,163.1640948226806
1999-05-20,163.53689319415548
1999-05-21,162.8090771543049
1999-05-24,162.80909905801428
1999-05-25,162.39831769997812
1999-05-26,163.08627832990774
1999-05-27,163.52854247835543
1999-05-28,161.4196293848591
1999-05-31,161.25211066556915
1999-06-01,162.17914521268003
1999-06-02,163.00550364521447
1999-06-03,163.00552339843458
1999-06-04,163.93382191850384
1999-06-07,163.68711308530632
1999-06-08,164.03289213119643
1999-06-09,163.46077174856137
1999-06-10,162.91086002731834
1999-06-11,163.18622501885153
1999-06-14,162.09689746191845
1999-06-15,162.30618704734144
1999-06-16,162.1104587783638
1999-06-17,161.72924251882912
1999-06-18,162.37186047543403
1999-06-21,162.775399611958
1999-06-22,163.17903238874874
1999-06-23,163.16804190333988
1999-06-24,163.77603606924797
1999-06-25,163.41000455061302
1999-06-28,163.32370771703194
1999-06-29,164.14729809711687
1999-06-30,164.13886829937206
1999-07-01,164.76645067771963
1999-07-02,164.70161795171268
1999-07-05,164.9553276872744
1999-07-06,165.38521458926994
1999-07-07,165.20961329828708
1999-07-08,164.8009317695046
1999-07-09,165.47621213782278
