Date,EUROPE SMALL CAP VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,999.7298201767732
1999-01-04,1011.1835844837448
1999-01-05,1012.6936855963768
1999-01-06,1021.0629651869893
1999-01-07,1017.6618159711527
1999-01-08,1022.9754857933302
1999-01-11,1025.5659252423302
1999-01-12,1020.534717381841
1999-01-13,997.3968994484181
1999-01-14,1002.1752327951173
1999-01-15,1000.3821710324322
1999-01-18,1007.01945928503
1999-01-19,1007.9301512934011
1999-01-20,1004.6523673823136
1999-01-21,1000.3034021520918
1999-01-22,992.8200128863895
1999-01-25,993.5349523541419
1999-01-26,997.9506033880047
1999-01-27,1002.9297112562476
1999-01-28,1008.2154184252106
1999-01-29,1014.6733781527137
1999-02-01,1024.5916712157768
1999-02-02,1027.6558401415527
1999-02-03,1027.425966322673
1999-02-04,1034.782497743329
1999-02-05,1037.2584344533843
1999-02-08,1040.3190900383133
1999-02-09,1036.4961652436232
1999-02-10,1029.3828453822548
1999-02-11,1033.1968121620725
1999-02-12,1039.8560546953254
1999-02-15,1039.2736722676511
1999-02-16,1043.087326922023
1999-02-17,1037.0700526998896
1999-02-18,1033.9289016207165
1999-02-19,1038.275802857704
1999-02-22,1042.4514334698918
1999-02-23,1045.0201410437253
1999-02-24,1045.9025984963873
1999-02-25,1042.9179870514045
1999-02-26,1045.4819734156895
1999-03-01,1049.0571042625486
1999-03-02,1049.2247264029409
1999-03-03,1051.0933228387412
1999-03-04,1052.0481057217494
1999-03-05,1058.8964477988186
1999-03-08,1060.1728416821084
1999-03-09,1061.6579015822601
1999-03-10,1061.3387315533448
1999-03-11,1071.376102961057
1999-03-12,1074.5343349757195
1999-03-15,1072.5757449664002
1999-03-16,1075.323031891128
1999-03-17,1071.6684714380715
1999-03-18,1071.3410948764633
1999-03-19,1077.9517092160988
1999-03-22,1077.449251659524
1999-03-23,1076.1970645050937
1999-03-24,1069.1701717098488
1999-03-25,1074.0114348590005
1999-03-26,1077.5082452097438
1999-03-29,1081.8205935452963
1999-03-30,1079.5936423969465
1999-03-31,1080.635028390713
1999-04-01,1078.3547590289647
1999-04-02,1078.833027446653
1999-04-05,1080.2567846757743
1999-04-06,1079.9487990605026
1999-04-07,1082.4402949422233
1999-04-08,1086.1644865868989
1999-04-09,1090.7420806823184
1999-04-12,1090.0601895205564
1999-04-13,1097.323264111995
1999-04-14,1104.333974708671
1999-04-15,1110.9954090472943
1999-04-16,1120.999554898838
1999-04-19,1134.5818166380177
1999-04-20,1126.7000543724923
1999-04-21,1130.0979582790762
1999-04-22,1135.8138044992186
1999-04-23,1138.6580303122607
1999-04-26,1143.4225189150236
1999-04-27,1146.7630313634304
1999-04-28,1147.9951750828807
1999-04-29,1150.6703528862317
1999-04-30,1156.6613448428063
1999-05-03,1159.612340685482
1999-05-04,1167.256459324395
1999-05-05,1162.4292263346267
1999-05-06,1163.9340361676143
1999-05-07,1162.7361321521673
1999-05-10,1163.7976895938457
1999-05-11,1165.749155768145
1999-05-12,1165.2575630978165
1999-05-13,1169.2355584149204
1999-05-14,1164.393108922664
1999-05-17,1156.4504983449283
1999-05-18,1157.0703990823042
1999-05-19,1157.9274840133244
1999-05-20,1161.6228084564718
1999-05-21,1163.8308262503963
1999-05-24,1162.6636954596247
1999-05-25,1156.2546947746205
1999-05-26,1157.9638094146117
1999-05-27,1158.256587076738
1999-05-28,1156.387964903689
1999-05-31,1160.7748004840346
1999-06-01,1161.0222628451706
1999-06-02,1162.8285595903985
1999-06-03,1165.3504561293926
1999-06-04,1171.6399705394579
1999-06-07,1175.1949341788677
1999-06-08,1173.9493062631416
1999-06-09,1174.4604854283489
1999-06-10,1172.9339830564
1999-06-11,1176.7835031121656
1999-06-14,1178.0103866343802
1999-06-15,1175.2158626786038
1999-06-16,1181.0514597774336
1999-06-17,1184.585818694372
1999-06-18,1185.220376910678
1999-06-21,1192.3527142681453
1999-06-22,1190.5589199980489
1999-06-23,1187.2069136728367
1999-06-24,1184.9271121695206
1999-06-25,1179.9289042117134
1999-06-28,1181.6720802747152
1999-06-29,1183.592917090974
1999-06-30,1184.8116098588753
1999-07-01,1191.0680161639875
1999-07-02,1194.2260319559475
1999-07-05,1201.623496044549
1999-07-06,1201.0198838974409
1999-07-07,1200.6629803841274
1999-07-08,1202.3786753173292
1999-07-09,1204.159333379289
1999-07-12,1210.117024439528
1999-07-13,1205.621194897037
1999-07-14,1208.5960708148514
1999-07-15,1209.5708474342948
1999-07-16,1211.0990553951706
1999-07-19,1213.0183840943669
1999-07-20,1202.7482038896633
1999-07-21,1191.46426960806
1999-07-22,1190.1948167857154
1999-07-23,1187.5673331415755
1999-07-26,1179.6367119396689
1999-07-27,1178.2813496769263
1999-07-28,1181.0601013349915
1999-07-29,1176.5983784736943
1999-07-30,1179.3030126650517
1999-08-02,1175.2555201794844
1999-08-03,1176.079914107413
1999-08-04,1175.2798417956155
1999-08-05,1165.8254062113683
1999-08-06,1167.7776527039487
1999-08-09,1170.912506878006
1999-08-10,1167.1791997726643
1999-08-11,1171.505695332582
1999-08-12,1179.879983518043
1999-08-13,1185.6458208634567
1999-08-16,1189.1373674120957
1999-08-17,1192.910684474779
1999-08-18,1193.8930092252021
1999-08-19,1192.877604875163
1999-08-20,1195.754291444784
1999-08-23,1200.9972584123022
1999-08-24,1200.4696402870431
1999-08-25,1206.2536244340906
1999-08-26,1209.8404041289496
1999-08-27,1210.2580212715814
1999-08-30,1212.7871602662522
1999-08-31,1210.5905343174188
1999-09-01,1213.6460519315115
1999-09-02,1206.428714787588
1999-09-03,1212.7340928200074
1999-09-06,1219.0625416260084
1999-09-07,1221.313487654462
1999-09-08,1221.8162256426338
1999-09-09,1227.146577454351
1999-09-10,1231.6477674653968
1999-09-13,1230.2882188342433
1999-09-14,1225.1149284598796
1999-09-15,1221.1042182836718
1999-09-16,1215.3984518205077
1999-09-17,1216.2251078208665
1999-09-20,1218.7615784258278
1999-09-21,1213.4765627065444
1999-09-22,1205.3570371554265
1999-09-23,1209.4091065965997
1999-09-24,1198.9386039489818
1999-09-27,1202.2282295570533
1999-09-28,1200.4817401270093
1999-09-29,1191.6594993738188
1999-09-30,1190.361418758362
1999-10-01,1191.6115231194565
1999-10-04,1193.661536823294
1999-10-05,1195.2596516458511
1999-10-06,1195.8594479985234
1999-10-07,1198.624674790086
1999-10-08,1201.6405787348492
1999-10-11,1202.2359671559727
1999-10-12,1196.5105354706623
1999-10-13,1187.9030370582077
1999-10-14,1186.4078062802378
1999-10-15,1175.569283257653
1999-10-18,1163.059693641095
1999-10-19,1170.3275306491207
1999-10-20,1172.3652778073463
1999-10-21,1168.7564778209812
1999-10-22,1172.8695627787472
1999-10-25,1176.5050382675763
1999-10-26,1177.7180116616648
1999-10-27,1179.056272404065
1999-10-28,1180.8778069791742
1999-10-29,1186.3792780052368
1999-11-01,1188.39989347639
1999-11-02,1191.2782947964615
1999-11-03,1194.782451132751
1999-11-04,1197.6284510287037
1999-11-05,1198.976797041546
1999-11-08,1201.0238829916757
1999-11-09,1202.7190005234027
1999-11-10,1202.7162533217174
1999-11-11,1206.1782724357215
1999-11-12,1208.8105609529068
1999-11-15,1216.2068378482354
1999-11-16,1218.848085303981
1999-11-17,1221.4135293670545
1999-11-18,1223.1826951069197
1999-11-19,1225.908147463908
1999-11-22,1226.8315575206452
1999-11-23,1226.2944684702154
1999-11-24,1225.854193911567
1999-11-25,1232.876490635749
1999-11-26,1236.2711533342497
1999-11-29,1239.1331272920854
1999-11-30,1233.9541246815156
1999-12-01,1234.691384220276
1999-12-02,1242.90065911663
1999-12-03,1252.7521955852292
1999-12-06,1252.6392147111108
1999-12-07,1252.800115982723
1999-12-08,1252.51735891855
1999-12-09,1255.609196686629
1999-12-10,1256.7917881616054
1999-12-13,1263.1816004700415
1999-12-14,1263.4548243964414
1999-12-15,1255.6353678253552
1999-12-16,1258.147410833388
1999-12-17,1266.3427392575713
1999-12-20,1268.9716646463014
1999-12-21,1269.090817049887
1999-12-22,1276.6082281568138
1999-12-23,1280.0185230682725
1999-12-24,1283.9634668221968
1999-12-27,1290.3735922148132
1999-12-28,1292.498460029511
1999-12-29,1300.8880898508735
1999-12-30,1310.310373455134
1999-12-31,1310.4645896479349
2000-01-03,1313.2917670398815
2000-01-04,1294.9078018230502
2000-01-05,1278.000573891921
2000-01-06,1287.2025101909196
2000-01-07,1304.0140234106318
2000-01-10,1319.5443963252653
2000-01-11,1321.207197521699
2000-01-12,1320.5877883289568
2000-01-13,1326.9232737703476
2000-01-14,1336.8805101662886
2000-01-17,1345.7191388857682
2000-01-18,1339.4753596857252
2000-01-19,1337.0598030815397
2000-01-20,1343.3570772072267
2000-01-21,1342.6341914552547
2000-01-24,1348.5285993878394
2000-01-25,1335.2943820963635
2000-01-26,1338.548554496971
2000-01-27,1345.0422008069972
2000-01-28,1342.677218768344
2000-01-31,1330.414467931112
2000-02-01,1333.3744857887948
2000-02-02,1333.8249232124376
2000-02-03,1335.438052902749
2000-02-04,1338.2073465683727
2000-02-07,1342.7698112125327
2000-02-08,1351.5290022574343
2000-02-09,1350.146313192832
2000-02-10,1344.2216962909456
2000-02-11,1350.8571049238667
2000-02-14,1353.2339745366737
2000-02-15,1348.9000929710053
2000-02-16,1348.4796114620967
2000-02-17,1353.463588094811
2000-02-18,1360.7487221150534
2000-02-21,1357.2163725887694
2000-02-22,1353.4806760095953
2000-02-23,1362.6063686347604
2000-02-24,1370.4636630371683
2000-02-25,1384.3189750298604
2000-02-28,1381.195840138479
2000-02-29,1386.913516462614
2000-03-01,1400.4498564840117
2000-03-02,1408.6205395769612
2000-03-03,1420.632766752075
2000-03-06,1425.235864335667
2000-03-07,1422.1775003931484
2000-03-08,1414.1792545128342
2000-03-09,1413.7365622875109
2000-03-10,1424.7136565426629
2000-03-13,1408.6006838813635
2000-03-14,1410.536519644161
2000-03-15,1391.3945198328345
2000-03-16,1393.0473284457562
2000-03-17,1405.1488900636944
2000-03-20,1410.7183420202862
2000-03-21,1399.5289657792441
2000-03-22,1404.4563041313186
2000-03-23,1395.456773416597
2000-03-24,1403.3439646723562
2000-03-27,1408.332866068598
2000-03-28,1410.3632108765714
2000-03-29,1412.6015160067202
2000-03-30,1395.357703639809
2000-03-31,1392.2855082685298
2000-04-03,1385.8162044649043
2000-04-04,1373.743195754737
2000-04-05,1348.1138448724905
2000-04-06,1370.7300225779663
2000-04-07,1379.811974198013
2000-04-10,1383.928187413903
2000-04-11,1371.264610812384
2000-04-12,1372.9094055381938
2000-04-13,1366.5469828163752
2000-04-14,1356.5362945555871
2000-04-17,1326.5276279554114
2000-04-18,1337.8109674951636
2000-04-19,1348.3774295395494
2000-04-20,1355.5385470622925
2000-04-21,1355.450884497432
2000-04-24,1355.7351365051265
2000-04-25,1364.793635829155
2000-04-26,1377.883189148871
2000-04-27,1376.4982848232685
2000-04-28,1383.8900401563212
2000-05-01,1384.144078393761
2000-05-02,1401.1258128533207
2000-05-03,1407.3073685535717
2000-05-04,1403.796712647719
2000-05-05,1406.4988044824618
2000-05-08,1407.136657602815
2000-05-09,1399.223288609152
2000-05-10,1384.609281286664
2000-05-11,1381.2609803340342
2000-05-12,1392.7654687313718
2000-05-15,1390.0620050338591
2000-05-16,1400.5136040301672
2000-05-17,1401.5912656397606
2000-05-18,1397.9768760176762
2000-05-19,1384.1324062837884
2000-05-22,1367.455621220773
2000-05-23,1359.965693303214
2000-05-24,1345.747709516097
2000-05-25,1357.3061942000047
2000-05-26,1346.928122968217
2000-05-29,1351.2567321402676
2000-05-30,1355.8088459042717
2000-05-31,1364.5416931129523
2000-06-01,1367.3503303787063
2000-06-02,1375.9028438861471
2000-06-05,1379.5607461995494
2000-06-06,1376.7201757504447
2000-06-07,1376.821003160333
2000-06-08,1377.7871318046152
2000-06-09,1378.4578082697246
2000-06-12,1381.9375691647106
2000-06-13,1375.2867094571795
2000-06-14,1377.0426648146304
2000-06-15,1380.2602791817174
2000-06-16,1378.334543928763
2000-06-19,1379.1445451698064
2000-06-20,1381.415996255984
2000-06-21,1381.7827561008573
2000-06-22,1388.6140031793075
2000-06-23,1387.1829874732734
2000-06-26,1386.3234514769367
2000-06-27,1380.2432886891174
2000-06-28,1379.9039775923388
2000-06-29,1372.9619215080443
2000-06-30,1372.2283385777284
2000-07-03,1379.6549212895766
2000-07-04,1384.3047082176124
2000-07-05,1381.3021737283725
2000-07-06,1380.433730280705
2000-07-07,1387.299131780225
2000-07-10,1386.1268179509268
2000-07-11,1387.224438218966
2000-07-12,1393.1434276439215
2000-07-13,1396.8051099968409
2000-07-14,1403.0314093029529
2000-07-17,1404.7415435471223
2000-07-18,1405.3137225474627
2000-07-19,1407.700428571863
2000-07-20,1414.2769895962404
