Date,MSCI World IMI Private Equity Select Fixed Basket 20 Index
2020-12-01,1015.0176536894293
2020-12-02,1019.9731999690677
2020-12-03,1033.7087045305518
2020-12-04,1038.4382450942758
2020-12-07,1037.2461682508824
2020-12-08,1037.4271992591234
2020-12-09,1032.6264370092351
2020-12-10,1034.8550898811595
2020-12-11,1033.1593008139237
2020-12-14,1027.583109863466
2020-12-15,1039.474704967833
2020-12-16,1044.7689975004544
2020-12-17,1057.5714642523394
2020-12-18,1045.7951630174925
2020-12-21,1035.4949669529217
2020-12-22,1033.8971429779215
2020-12-23,1043.9797090593017
2020-12-24,1047.1354107003963
2020-12-25,1047.8303023781766
2020-12-28,1047.6696980444838
2020-12-29,1059.9249227677963
2020-12-30,1062.1922447380705
2020-12-31,1061.558044776736
2021-01-01,1061.5580447767359
2021-01-04,1053.2902970764674
2021-01-05,1050.2233745167916
2021-01-06,1054.8631424842804
2021-01-07,1058.9479565060656
2021-01-08,1070.1538532772195
2021-01-11,1056.9442036196563
2021-01-12,1061.6183736387752
2021-01-13,1063.3126164889513
2021-01-14,1070.8068356422818
2021-01-15,1063.0919137767357
2021-01-18,1063.3390341797378
2021-01-19,1073.169937008249
2021-01-20,1084.9426954119172
2021-01-21,1088.8315423491895
2021-01-22,1080.777964350045
2021-01-25,1079.5225365803497
2021-01-26,1089.2098395865053
2021-01-27,1066.6328175990611
2021-01-28,1080.541515932206
2021-01-29,1069.5218127977578
2021-02-01,1092.0019260613926
2021-02-02,1112.3468127745693
2021-02-03,1113.6917154027717
2021-02-04,1129.1317598541737
2021-02-05,1133.6931746918415
2021-02-08,1137.6533670494425
2021-02-09,1141.199313008072
2021-02-10,1146.8253786463497
2021-02-11,1157.8650713563793
2021-02-12,1158.7634105151485
2021-02-15,1166.652945943987
2021-02-16,1167.3600436396705
2021-02-17,1162.3108539623013
2021-02-18,1153.504788280869
2021-02-19,1156.8333963447574
2021-02-22,1143.7367580940656
2021-02-23,1136.2071649938691
2021-02-24,1138.5251154500834
2021-02-25,1130.1984683500636
2021-02-26,1111.3760518256622
2021-03-01,1131.5437698259836
2021-03-02,1134.8126322449345
2021-03-03,1136.6062340021722
2021-03-04,1118.9326559870335
2021-03-05,1101.5543521708507
2021-03-08,1109.669583999507
2021-03-09,1126.767870370069
2021-03-10,1135.949248456062
2021-03-11,1160.5955095218026
2021-03-12,1154.461023952226
