date,open,high,low,close,volume,marketCap,timestamp
01/04/2013,105.57595,112.68949,101.22606,105.57497,,1203872510.767,2013-04-01T00:00:00.000Z
01/05/2013,105.59101,106.21061,60.49713,99.26895,,1099871011.851,2013-05-01T00:00:00.000Z
01/06/2013,99.12659,99.86918,66.96935,74.27846,,844138338.861,2013-06-01T00:00:00.000Z
01/07/2013,74.96156,83.98250,51.07647,79.76691,,936944828.951,2013-07-01T00:00:00.000Z
01/08/2013,79.86540,106.58144,76.62856,102.39050,,1184052974.848,2013-08-01T00:00:00.000Z
01/09/2013,102.23164,110.86726,89.90589,98.35823,,1184687514.184,2013-09-01T00:00:00.000Z
01/10/2013,98.13609,157.72216,75.28346,150.22091,,1800043491.124,2013-10-01T00:00:00.000Z
01/11/2013,150.16939,850.79109,149.53652,831.13552,,10031219119.753,2013-11-01T00:00:00.000Z
01/12/2013,830.76021,850.90159,305.80322,548.61031,15378099.934,6763798181.801,2013-12-01T00:00:00.000Z
01/01/2014,549.30877,747.66245,549.30877,615.43936,12447540.745,7449368320.722,2014-01-01T00:00:00.000Z
01/02/2014,614.46792,632.94032,305.95299,397.95682,20820244.716,5074789709.677,2014-02-01T00:00:00.000Z
01/03/2014,398.43500,511.61655,322.37693,331.78525,20470946.240,4167725284.053,2014-03-01T00:00:00.000Z
01/04/2014,331.83270,391.80668,252.84100,322.81315,11069488.818,4132159573.686,2014-04-01T00:00:00.000Z
01/05/2014,322.80450,458.33824,304.97983,457.57667,10894281.387,5774319373.823,2014-05-01T00:00:00.000Z
01/06/2014,457.58840,495.56055,406.01166,467.34624,34058987.528,6086649849.362,2014-06-01T00:00:00.000Z
01/07/2014,468.44215,480.50396,421.37119,437.88093,16409509.202,5602425509.334,2014-07-01T00:00:00.000Z
01/08/2014,437.85631,448.09412,331.52899,363.95445,33337541.082,4715268867.456,2014-08-01T00:00:00.000Z
01/09/2014,364.00045,380.85281,293.35644,306.41749,26441642.542,3930078717.660,2014-09-01T00:00:00.000Z
01/10/2014,306.79997,323.89112,231.15940,270.13815,9934589.800,3603019522.054,2014-10-01T00:00:00.000Z
01/11/2014,270.40083,367.26096,256.00927,304.01849,7341456.404,4092908156.619,2014-11-01T00:00:00.000Z
01/12/2014,304.18094,308.81151,246.96160,264.70982,11212625.653,3520314109.111,2014-12-01T00:00:00.000Z
01/01/2015,264.90989,264.90989,145.49541,192.68475,19302414.021,2478250918.155,2015-01-01T00:00:00.000Z
01/02/2015,192.15577,233.34006,187.85664,227.14222,12359826.334,3129343111.598,2015-02-01T00:00:00.000Z
01/03/2015,227.16009,278.92908,216.46989,227.50256,20253707.343,3055309001.251,2015-03-01T00:00:00.000Z
01/04/2015,227.39572,238.47514,197.53079,210.59931,31488454.376,3102508849.516,2015-04-01T00:00:00.000Z
01/05/2015,210.47190,221.31285,201.20863,210.14242,13140767.172,2920389317.797,2015-05-01T00:00:00.000Z
01/06/2015,210.14330,240.30412,202.59636,236.32051,40647864.184,3441246368.748,2015-06-01T00:00:00.000Z
01/07/2015,236.54451,281.68982,228.48581,259.10249,21224377.975,3693604132.983,2015-07-01T00:00:00.000Z
01/08/2015,259.13527,262.31638,172.42699,205.02273,18851902.421,3049194807.937,2015-08-01T00:00:00.000Z
01/09/2015,205.14611,230.03640,201.33888,211.39070,17590431.219,3085910334.105,2015-09-01T00:00:00.000Z
01/10/2015,211.30271,304.01110,211.30271,285.44974,43511594.592,4159267836.288,2015-10-01T00:00:00.000Z
01/11/2015,286.21207,454.31061,279.89307,357.10866,65147737.598,5109209519.308,2015-11-01T00:00:00.000Z
01/12/2015,357.12907,427.15625,328.93919,396.61660,43524413.323,6123407920.780,2015-12-01T00:00:00.000Z
01/01/2016,396.75848,425.41260,325.31073,340.72531,34906319.086,5146696159.939,2016-01-01T00:00:00.000Z
01/02/2016,341.26398,402.62939,339.56903,402.14718,56079368.013,6173375870.831,2016-02-01T00:00:00.000Z
01/03/2016,402.53423,404.20430,358.08343,366.32296,55349940.252,5891224210.911,2016-03-01T00:00:00.000Z
01/04/2016,366.31802,414.71552,364.79603,391.37319,60932231.696,6104298597.302,2016-04-01T00:00:00.000Z
01/05/2016,391.51812,498.47928,390.49103,477.39285,120864251.419,7239664561.371,2016-05-01T00:00:00.000Z
01/06/2016,477.09935,689.76859,472.69423,606.50061,124847287.100,9507301293.029,2016-06-01T00:00:00.000Z
01/07/2016,605.81480,632.93950,552.84538,559.49936,99827042.609,8883764014.918,2016-07-01T00:00:00.000Z
01/08/2016,559.42856,560.88777,473.68635,515.79455,67927358.710,8165791506.225,2016-08-01T00:00:00.000Z
01/09/2016,515.99966,560.14430,509.51618,542.32410,50315940.470,8690334185.100,2016-09-01T00:00:00.000Z
01/10/2016,542.49668,656.04406,542.49668,639.04821,86333185.093,9945612443.387,2016-10-01T00:00:00.000Z
01/11/2016,639.43926,714.44213,610.78628,704.27935,76650984.683,10889438940.828,2016-11-01T00:00:00.000Z
01/12/2016,704.61468,938.65916,704.61468,916.71548,93629678.882,14632181925.009,2016-12-01T00:00:00.000Z
01/01/2017,916.63466,1123.89128,710.69774,898.43812,156550936.935,14895069452.297,2017-01-01T00:00:00.000Z
01/02/2017,899.01943,1134.26251,889.49636,1116.76128,171255555.556,17688597037.778,2017-02-01T00:00:00.000Z
01/03/2017,1116.61624,1218.18274,837.00381,1006.47013,423246601.060,16478352391.843,2017-03-01T00:00:00.000Z
01/04/2017,1006.39493,1236.02936,996.42217,1236.02936,387937842.051,20635838960.372,2017-04-01T00:00:00.000Z
01/05/2017,1236.40536,2463.41916,1236.40536,2034.35351,1416625357.176,34309778303.530,2017-05-01T00:00:00.000Z
01/06/2017,2036.06200,2662.09061,1985.25160,2172.17414,765435558.324,36244401365.780,2017-06-01T00:00:00.000Z
