DATE,PPIACOE
1999-01,108.0819629
1999-02,111.2323784
1999-03,113.434493
1999-04,117.0011359
1999-05,119.6507388
1999-06,121.4354995
1999-07,117.5425472
1999-08,119.9319535
1999-09,120.2668421
1999-10,121.4109146
1999-11,127.3196388
1999-12,126.9116187
2000-01,131.4953367
2000-02,134.6054133
2000-03,136.6200125
2000-04,143.800198
2000-05,141.0806175
2000-06,140.1781037
2000-07,144.2909562
2000-08,149.6958774
2000-09,152.4272943
2000-10,159.5569173
2000-11,155.2795031
2000-12,145.078824
2001-01,150.408251
2001-02,149.1532783
2001-03,154.5371844
2001-04,153.70746
2001-05,161.7977528
2001-06,159.9008733
2001-07,152.4223035
2001-08,146.7546755
2001-09,146.4996153
2001-10,144.8904704
2001-11,144.8984148
2001-12,143.9164139
2002-01,149.522923
2002-02,148.3021483
2002-03,148.9044396
2002-04,145.3010442
2002-05,140.057822
2002-06,132.8125
2002-07,133.9322172
2002-08,134.1015705
2002-09,133.9204373
2002-10,134.8041696
2002-11,134.0112767
2002-12,126.7525036
2003-01,125.9893845
2003-02,127.6556267
2003-03,129.5412844
2003-04,122.3613596
2003-05,116.18222
2003-06,119.9791341
2003-07,122.6070697
2003-08,125.6144184
2003-09,118.8841202
2003-10,119.9931088
2003-11,115.7982493
2003-12,110.7406525
2004-01,113.5560553
2004-02,114.2191142
2004-03,116.4171819
2004-04,120.9185804
2004-05,120.1604322
2004-06,120.8637819
2004-07,122.5066489
2004-08,121.4807519
2004-09,118.9498269
2004-10,117.6839793
2004-11,114.1865902
2004-12,110.9469641
2005-01,115.6410453
2005-02,114.2082266
2005-03,118.5133781
2005-04,119.9783265
2005-05,124.9493886
2005-06,127.5417424
2005-07,128.8647044
2005-08,127.8183293
2005-09,134.5165036
2005-10,138.5577324
2005-11,138.8464801
2005-12,137.645668
2006-01,135.1373581
2006-02,135.6813417
2006-03,133.6189142
2006-04,130.1489227
2006-05,129.198161
2006-06,129.9788716
2006-07,130.6800376
2006-08,131.2436489
2006-09,130.3696697
2006-10,126.9866124
2006-11,124.1233693
2006-12,125.4830643
2007-01,126.1732574
2007-02,126.0770975
2007-03,126.5889038
2007-04,125.4758419
2007-05,128.8188508
2007-06,128.5502959
2007-07,127.70768
2007-08,126.3836962
2007-09,122.0198326
2007-10,120.7492397
2007-11,121.8681917
2007-12,122.3036362
2008-01,121.9594367
2008-02,120.3002568
2008-03,118.8864283
2008-04,122.6233299
2008-05,126.3496144
2008-06,127.3177546
2008-07,131.8237219
2008-08,135.6602359
2008-09,139.8338186
2008-10,146.9799716
2008-11,139.2783992
2008-12,122.781809
2009-01,133.7082162
2009-02,133.7071553
2009-03,126.7626876
2009-04,127.6804591
2009-05,120.9117939
2009-06,124.1797432
2009-07,120.8067792
2009-08,121.9172356
2009-09,119.0020506
2009-10,118.7394104
2009-11,118.3139923
2009-12,124.2673737
2010-01,131.146359
2010-02,132.5036603
2010-03,135.5167825
2010-04,138.6257706
2010-05,149.4057725
2010-06,149.296233
2010-07,140.8677022
2010-08,145.5447103
2010-09,135.9458863
2010-10,134.3025767
2010-11,143.9858852
2010-12,142.9648052
2011-01,140.5030988
2011-02,141.9560647
2011-03,140.4498343
2011-04,137.0352878
2011-05,141.9727323
2011-06,140.3979894
2011-07,142.2018349
2011-08,141.0523393
2011-09,151.4610752
2011-10,144.1887144
2011-11,149.7063852
2011-12,154.0121791
2012-01,153.7577568
2012-02,150.9094992
2012-03,153.1423429
2012-04,153.9798927
2012-05,163.2966677
2012-06,157.72024
2012-07,162.4847747
2012-08,161.1543966
2012-09,158.9919104
2012-10,157.0458404
2012-11,155.1114527
2012-12,152.8135902
2013-01,149.0724382
2013-02,156.2046028
2013-03,159.17603
2013-04,154.5413123
2013-05,157.145057
2013-06,157.0330515
2013-07,153.8924861
2013-08,154.7438618
2013-09,150.6464721
2013-10,148.9627777
2013-11,147.8759371
2013-12,146.5998984
2014-01,150.962963
2014-02,148.9931914
2014-03,150.2504174
2014-04,150.1802451
2014-05,152.4926686
2014-06,152.1548576
2014-07,155.3398058
2014-08,157.4144487
2014-09,163.4463098
2014-10,162.330407
2014-11,161.5211449
2014-12,162.7964631
2015-01,170.0620018
2015-02,170.6707154
2015-03,178.2887999
2015-04,171.0266977
2015-05,175.914135
2015-06,174.645867
2015-07,175.8251723
2015-08,171.4311238
2015-09,169.4140835
2015-10,169.8061945
2015-11,175.8189737
2015-12,168.9842527
2016-01,168.5745938
2016-02,166.8200221
2016-03,159.8770852
2016-04,160.1258631
2016-05,166.4122137
2016-06,170.0507614
2016-07,168.0694842
2016-08,167.414319
2016-09,166.3107314
2016-10,170.3156358
2016-11,176.1202496
2016-12,178.3548143
2017-01,176.6722253
2017-02,180.4482953
2017-03,179.0054216
2017-04,177.1454796
2017-05,171.5913136
2017-06,169.6608536
2017-07,163.6225266
2017-08,162.9392971
2017-09,164.9030729
2017-10,167.3248626
2017-11,164.6495209
2017-12,163.2839794
2018-01,159.2372063
2018-02,163.213496
2018-03,161.7694805
2018-04,165.8936558
2018-05,174.1216795
2018-06,174.8736833
2018-07,174.5258842
2018-08,175.4053122
2018-09,175.184994
