DATE,IQ12260E
1999-01,91.10896139
1999-02,92.86039109
1999-03,94.55958549
1999-04,96.27035214
1999-05,96.43062752
1999-06,95.53831232
1999-07,86.02954928
1999-08,86.47575843
1999-09,86.72366814
1999-10,90.03612854
1999-11,110.1518309
1999-12,104.2701092
2000-01,103.8228964
2000-02,105.8799129
2000-03,111.7610194
2000-04,112.5536363
2000-05,107.2041166
2000-06,102.8810896
2000-07,109.864019
2000-08,112.9758955
2000-09,111.0105239
2000-10,115.2486448
2000-11,110.7660455
2000-12,101.1930124
2001-01,104.211431
2001-02,102.9092488
2001-03,106.5499204
2001-04,105.8147397
2001-05,110.1123596
2001-06,114.7037999
2001-07,108.2038391
2001-08,103.850385
2001-09,105.3961974
2001-10,110.9752029
2001-11,111.0739004
2001-12,109.4259072
2002-01,113.1021643
2002-02,114.3451143
2002-03,119.3071011
2002-04,115.0855365
2002-05,114.3591391
2002-06,112.4188312
2002-07,115.6594528
2002-08,112.7880889
2002-09,110.8411783
2002-10,113.854873
2002-11,112.3640757
2002-12,107.200763
2003-01,108.9486917
2003-02,117.2650524
2003-03,116.6972477
2003-04,106.7978533
2003-05,97.82423933
2003-06,108.2420449
2003-07,111.1210044
2003-08,111.8696523
2003-09,108.1545064
2003-10,114.5662848
2003-11,110.8795331
2003-12,108.3591331
2004-01,114.760681
2004-02,116.3089784
2004-03,115.0341686
2004-04,119.0814196
2004-05,115.331096
2004-06,110.682322
2004-07,114.5279255
2004-08,114.5038168
2004-09,113.1513248
2004-10,111.5644124
2004-11,111.3206124
2004-12,113.5322795
2005-01,118.4765116
2005-02,112.0235046
2005-03,114.3496029
2005-04,117.4239492
2005-05,121.7912382
2005-06,122.3342701
2005-07,124.4125649
2005-08,120.7623682
2005-09,127.3843092
2005-10,133.6390163
2005-11,139.5250212
2005-12,141.107921
2006-01,146.8169107
2006-02,160.9224319
2006-03,159.4035753
2006-04,154.7845374
2006-05,167.3030468
2006-06,183.6606933
2006-07,163.8201191
2006-08,173.6105683
