DATE,DGS1PTRE
1999-01,117.1840647
1999-02,121.2187358
1999-03,124.0007402
1999-04,127.2907989
1999-05,129.3033967
1999-06,131.1251212
1999-07,126.8748831
1999-08,128.5700784
1999-09,128.4788124
1999-10,130.3099449
1999-11,136.2806391
1999-12,136.653426
2000-01,141.3139285
2000-02,143.8660168
2000-03,145.5400042
2000-04,154.1643745
2000-05,150.8040309
2000-06,148.5489785
2000-07,153.8096266
2000-08,161.106105
2000-09,162.9172796
2000-10,170.4336554
2000-11,167.5063262
2000-12,156.763954
2001-01,159.8947142
2001-02,162.3751628
2001-03,171.3554696
2001-04,170.6333108
2001-05,180.2010645
2001-06,180.1864527
2001-07,175.3199269
2001-08,169.4939494
2001-09,171.3265194
2001-10,174.4134327
2001-11,175.4186202
2001-12,176.6543085
2002-01,183.0812195
2002-02,182.1436821
2002-03,180.4519904
2002-04,175.7387247
2002-05,169.7398008
2002-06,161.5868506
2002-07,163.2707227
2002-08,163.4509484
2002-09,162.810001
2002-10,163.1009007
2002-11,162.2935965
2002-12,154.2966142
2003-01,150.8334109
2003-02,150.542722
2003-03,149.0917431
2003-04,145.4651163
2003-05,138.4837668
2003-06,141.8535907
2003-07,145.1340041
2003-08,148.4252685
2003-09,140.3948498
2003-10,140.8045482
2003-11,136.3151313
2003-12,130.1182821
2004-01,131.7459043
2004-02,132.0954907
2004-03,133.84315
2004-04,137.0521921
2004-05,134.1409511
2004-06,134.4199031
2004-07,136.2450133
2004-08,134.9831733
2004-09,132.3749698
2004-10,129.1071709
2004-11,123.9233728
2004-12,121.495051
2005-01,126.0786267
2005-02,123.9566069
2005-03,127.025985
2005-04,127.896896
2005-05,134.1809053
2005-06,137.1714333
2005-07,136.754885
2005-08,134.9878345
2005-09,138.1489468
2005-10,138.9328887
2005-11,141.8150975
2005-12,141.6483702
2006-01,138.2052969
2006-02,141.2410901
2006-03,139.1795041
2006-04,134.2601394
2006-05,132.4008416
2006-06,133.3437671
2006-07,134.2055782
2006-08,134.5970453
2006-09,136.4152282
2006-10,135.9430048
2006-11,131.5436242
2006-12,132.6513602
2007-01,135.1207878
2007-02,133.4769463
2007-03,132.6603858
2007-04,130.4245974
2007-05,132.8922917
2007-06,132.8254438
2007-07,131.5877762
2007-08,133.6338978
2007-09,128.8135593
2007-10,127.0389826
2007-11,126.4978214
2007-12,127.4806547
2008-01,127.2960043
2008-02,125.0279845
2008-03,120.5757672
2008-04,122.2122302
2008-05,122.0244216
2008-06,120.6248412
2008-07,122.2015524
2008-08,130.2338264
2008-09,136.4391734
2008-10,152.3655575
2008-11,153.0565622
2008-12,140.4267548
2009-01,152.4914089
2009-02,153.9409256
2009-03,147.296584
2009-04,147.6744186
2009-05,138.5388645
2009-06,139.5149786
2009-07,137.1594649
2009-08,136.5612373
2009-09,134.0738209
2009-10,133.0193155
2009-11,131.072429
2009-12,136.8825007
2010-01,141.7375631
2010-02,143.9238653
2010-03,145.2609789
2010-04,147.7597354
2010-05,159.0670224
2010-06,160.1578391
2010-07,150.7077818
2010-08,155.1322418
2010-09,144.9011102
2010-10,141.9533612
2010-11,151.2503836
2010-12,148.5944683
2011-01,143.8425082
2011-02,143.072573
2011-03,139.096101
2011-04,133.2501181
2011-05,137.4513077
2011-06,136.0669283
2011-07,137.3575202
2011-08,137.3455505
2011-09,147.0815674
2011-10,141.8584642
2011-11,147.0824351
2011-12,152.5398905
2012-01,151.604995
2012-02,148.0799461
2012-03,148.3650817
2012-04,149.5502306
2012-05,160.0695568
2012-06,156.20461
2012-07,160.7876573
2012-08,157.449515
2012-09,154.0525825
2012-10,152.8476617
2012-11,152.2598002
2012-12,150.2730168
2013-01,145.9069494
2013-02,151.5329918
2013-03,154.7050562
2013-04,150.6379101
2013-05,152.6870958
2013-06,152.4365872
2013-07,149.3901521
2013-08,150.3485905
2013-09,146.6420392
2013-10,146.0203031
2013-11,145.8621197
2013-12,144.0452863
2014-01,147.0814815
2014-02,143.7997972
2014-03,144.1024897
2014-04,143.186734
2014-05,145.6231672
2014-06,145.0913075
2014-07,148.3420463
2014-08,151.1102662
2014-09,157.3012354
2014-10,158.5794094
2014-11,159.736292
2014-12,164.0112387
2015-01,175.9521701
2015-02,177.3689381
2015-03,184.8524346
2015-04,177.9609389
2015-05,180.6803711
2015-06,178.0885781
2015-07,180.0779833
2015-08,177.3450063
2015-09,178.0236517
2015-10,179.9855099
2015-11,187.9000189
2015-12,182.5858735
2016-01,183.4656573
2016-02,182.6555024
2016-03,174.4337138
2016-04,173.7872564
2016-05,178.4373597
2016-06,180.6200145
2016-07,178.3936246
2016-08,178.6291046
2016-09,177.291333
2016-10,181.7186645
2016-11,188.1546606
2016-12,188.6561789
2017-01,184.5747638
2017-02,187.6907139
2017-03,186.1469434
2017-04,182.8636989
2017-05,177.2961908
2017-06,174.6297432
2017-07,168.6876374
2017-08,167.8997814
2017-09,169.0849065
2017-10,171.4629121
2017-11,167.7508825
2017-12,166.0123108
