Date,WORLD SRI
2007-09-28,1309.26657169
2007-10-01,1323.44087629
2007-10-02,1323.96231056
2007-10-03,1320.95395009
2007-10-04,1320.07404834
2007-10-05,1331.0053733
2007-10-08,1325.16429608
2007-10-09,1336.32636275
2007-10-10,1337.84216112
2007-10-11,1340.94200167
2007-10-12,1338.56484497
2007-10-15,1328.3898391
2007-10-16,1314.50392678
2007-10-17,1317.45083132
2007-10-18,1321.45255353
2007-10-19,1302.23400328
2007-10-22,1291.68192952
2007-10-23,1307.65038753
2007-10-24,1303.06899591
2007-10-25,1311.37663284
2007-10-26,1328.25699461
2007-10-29,1338.78215186
2007-10-30,1333.86628102
2007-10-31,1349.4871827
2007-11-01,1329.84064936
2007-11-02,1328.80528012
2007-11-05,1321.68707427
2007-11-06,1334.37646208
2007-11-07,1318.4945203
2007-11-08,1309.01222883
2007-11-09,1290.80860229
2007-11-12,1278.51119354
2007-11-13,1296.93765157
2007-11-14,1304.64027235
2007-11-15,1288.65281278
2007-11-16,1288.43702976
2007-11-19,1269.6257234
2007-11-20,1281.49508733
2007-11-21,1258.62938771
2007-11-22,1261.5144149
2007-11-23,1276.99001789
2007-11-26,1269.41119775
2007-11-27,1277.82896534
2007-11-28,1299.99993629
2007-11-29,1308.29659134
2007-11-30,1314.21845613
2007-12-03,1310.95522469
2007-12-04,1305.27637247
2007-12-05,1317.0824442
2007-12-06,1324.90984898
2007-12-07,1329.29614772
2007-12-10,1339.0791389
2007-12-11,1325.71149843
2007-12-12,1327.65100641
2007-12-13,1310.21959348
2007-12-14,1294.46450065
2007-12-17,1271.05766415
2007-12-18,1274.31185608
2007-12-19,1270.06028735
2007-12-20,1271.93939479
2007-12-21,1288.21560159
2007-12-24,1294.78377931
2007-12-25,1297.71496633
2007-12-26,1301.86011159
2007-12-27,1296.46162261
2007-12-28,1300.4009645
2007-12-31,1295.74298415
2008-01-01,1295.74298415
2008-01-02,1285.37490601
2008-01-03,1281.25354329
2008-01-04,1253.91349504
2008-01-07,1247.5391788
2008-01-08,1243.56801386
2008-01-09,1244.74517147
2008-01-10,1245.77587024
2008-01-11,1234.51321493
2008-01-14,1247.82989974
2008-01-15,1218.6359129
2008-01-16,1198.758316
2008-01-17,1186.65132455
2008-01-18,1179.39895852
2008-01-21,1143.8450771
2008-01-22,1142.60679257
2008-01-23,1147.05516248
2008-01-24,1180.95704847
2008-01-25,1182.54600328
2008-01-28,1183.59617943
2008-01-29,1194.7997697
2008-01-30,1188.08774672
2008-01-31,1202.60467531
2008-02-01,1219.26686641
2008-02-04,1216.84456753
2008-02-05,1179.09294657
2008-02-06,1171.12884086
2008-02-07,1163.94063377
2008-02-08,1160.85371324
2008-02-11,1162.02298562
2008-02-12,1182.94696779
2008-02-13,1188.46653487
2008-02-14,1189.99673358
2008-02-15,1182.65272551
2008-02-18,1187.65747401
2008-02-19,1194.36206266
2008-02-20,1188.71396953
2008-02-21,1195.57811946
2008-02-22,1196.60445527
2008-02-25,1216.19014468
2008-02-26,1230.56815446
2008-02-27,1242.79381018
2008-02-28,1231.62245756
2008-02-29,1210.36312612
2008-03-03,1199.29901484
2008-03-04,1193.25573093
2008-03-05,1203.20603426
2008-03-06,1194.65830679
2008-03-07,1179.01473073
2008-03-10,1164.84654401
2008-03-11,1189.6345408
2008-03-12,1200.204046
2008-03-13,1195.74072924
2008-03-14,1181.46193154
2008-03-17,1161.23679257
2008-03-18,1196.95648127
2008-03-19,1179.57221879
2008-03-20,1179.62127886
2008-03-21,1182.34936641
2008-03-24,1188.91955564
2008-03-25,1217.23575922
2008-03-26,1216.15781769
2008-03-27,1215.19171888
2008-03-28,1208.57726128
2008-03-31,1205.6613702
2008-04-01,1225.14443233
2008-04-02,1235.46037727
2008-04-03,1239.29422509
2008-04-04,1244.68773491
2008-04-07,1249.07715082
2008-04-08,1238.74388946
2008-04-09,1229.33046066
2008-04-10,1230.75772435
2008-04-11,1220.98210266
2008-04-14,1210.65629864
2008-04-15,1213.50579309
2008-04-16,1239.70022202
2008-04-17,1235.79357404
2008-04-18,1246.52992837
2008-04-21,1256.3048114
2008-04-22,1248.07554571
2008-04-23,1246.86776099
2008-04-24,1244.18630741
2008-04-25,1258.80526747
2008-04-28,1260.94631249
2008-04-29,1250.86984119
2008-04-30,1250.3049449
2008-05-01,1257.24088743
2008-05-02,1270.56798938
2008-05-05,1270.46400259
2008-05-06,1275.62762954
2008-05-07,1264.41071084
2008-05-08,1266.25337885
2008-05-09,1254.52608844
2008-05-12,1264.45753383
2008-05-13,1263.96614616
2008-05-14,1267.12135016
2008-05-15,1281.59479281
2008-05-16,1288.21422595
2008-05-19,1290.65709825
2008-05-20,1279.74009046
2008-05-21,1267.57759794
