Date,EMU REGION SRI
2012-05-31,1000.0
2012-06-01,975.6289268816536
2012-06-04,985.080882906794
2012-06-05,983.1273759688012
2012-06-06,1012.1165943864434
2012-06-07,1026.0296940134858
2012-06-08,1016.1939482067448
2012-06-11,1017.856233506811
2012-06-12,1010.6714563198774
2012-06-13,1020.3188710363219
2012-06-14,1025.476972749782
2012-06-15,1045.3256205412085
2012-06-18,1036.0115082229913
2012-06-19,1066.1497843673476
2012-06-20,1075.4307583311665
2012-06-21,1059.9919387510574
2012-06-22,1045.0253453546104
2012-06-25,1019.1470429260557
2012-06-26,1016.6796005669187
2012-06-27,1029.3541797790142
2012-06-28,1025.6102746527454
2012-06-29,1094.7111564259587
2012-07-02,1098.149680646222
2012-07-03,1108.8188227136773
2012-07-04,1098.763604261687
2012-07-05,1077.1154640463658
2012-07-06,1049.1716787537464
2012-07-09,1048.069173531351
2012-07-10,1052.9297722268625
2012-07-11,1053.4584280714748
2012-07-12,1043.5558933948569
2012-07-13,1065.6958534826313
2012-07-16,1069.4427650468022
2012-07-17,1066.9530623357075
2012-07-18,1085.392135100737
2012-07-19,1092.7172138836374
2012-07-20,1063.7373526683998
2012-07-23,1027.8651911453355
2012-07-24,1017.0989377767722
2012-07-25,1025.312296062505
2012-07-26,1077.1024560105363
2012-07-27,1100.55469023507
2012-07-30,1102.3910051647704
2012-07-31,1098.693493853882
2012-08-01,1097.7611198454151
2012-08-02,1058.6444019915825
2012-08-03,1113.6267456356743
2012-08-06,1135.107367869089
2012-08-07,1147.8553940815525
2012-08-08,1140.0373167804185
2012-08-09,1139.6267004936171
2012-08-10,1132.7546040779034
2012-08-13,1134.6568882579015
2012-08-14,1138.4440635193068
2012-08-15,1132.3491626403838
2012-08-16,1150.4353444633314
2012-08-17,1152.1602004594367
2012-08-20,1151.0770387076384
2012-08-21,1176.9653463466277
2012-08-22,1161.0176646227335
2012-08-23,1163.5326043085738
2012-08-24,1157.9453404058956
2012-08-27,1169.1981405217985
2012-08-28,1164.523208231417
2012-08-29,1158.4181239867366
2012-08-30,1145.9330608323496
2012-08-31,1169.6125372683684
2012-09-03,1177.5493815011068
2012-09-04,1167.1555311650136
2012-09-05,1174.563434158036
2012-09-06,1209.3000672543758
2012-09-07,1231.6886171142537
2012-09-10,1228.8419464107292
2012-09-11,1239.1168215367672
2012-09-12,1250.911519436647
2012-09-13,1245.456448079862
2012-09-14,1288.2275140937556
2012-09-17,1282.9759304014624
2012-09-18,1262.2645520215294
2012-09-19,1269.4842399432357
2012-09-20,1255.5603820060944
2012-09-21,1269.7208347697492
2012-09-24,1252.4895791665062
2012-09-25,1268.0317297498495
2012-09-26,1228.8813923953496
2012-09-27,1233.5825717848063
2012-09-28,1216.5752238484426
2012-10-01,1241.1159301051116
2012-10-02,1238.9139361765915
2012-10-03,1233.3931734942196
2012-10-04,1241.3595927430024
2012-10-05,1265.1079915786197
2012-10-08,1242.3173679297254
2012-10-09,1227.6479709657945
2012-10-10,1217.774493679974
2012-10-11,1233.3421775962036
2012-10-12,1229.3378035678452
2012-10-15,1236.0876295768821
2012-10-16,1265.4392310293415
2012-10-17,1284.1076427632017
2012-10-18,1283.142850397465
2012-10-19,1264.1967097986455
2012-10-22,1262.9452933380346
2012-10-23,1227.3510279887857
2012-10-24,1236.9790482964968
2012-10-25,1234.4994581451026
2012-10-26,1234.9286747494007
2012-10-29,1226.4330385795529
2012-10-30,1245.8161183667098
2012-10-31,1241.4545903852452
2012-11-01,1252.1023477498725
2012-11-02,1248.5265452131373
2012-11-05,1230.4587978176437
2012-11-06,1240.0875401131461
2012-11-07,1213.1171558239453
2012-11-08,1204.8916391886403
2012-11-09,1204.609304607595
2012-11-12,1204.7490579948792
2012-11-13,1213.0813445353945
2012-11-14,1211.0897135658258
2012-11-15,1206.7947159896796
2012-11-16,1182.1554341280414
2012-11-19,1219.5180596512807
2012-11-20,1226.5597278807645
2012-11-21,1235.4063425533795
2012-11-22,1251.6091264800866
