Date,PACIFIC ex JAPAN SRI
2007-09-28,1000.0
2007-10-01,1006.1580231607203
2007-10-02,1015.7381681435224
2007-10-03,1020.1025877784111
2007-10-04,1009.1503447949754
2007-10-05,1029.6096736635616
2007-10-08,1033.1661737524491
2007-10-09,1043.4025556115664
2007-10-10,1046.2042510709357
2007-10-11,1051.3597576519712
2007-10-12,1044.6535368737082
2007-10-15,1040.408188496347
2007-10-16,1011.8925243749567
2007-10-17,1018.4201795715118
2007-10-18,1032.6049465875685
2007-10-19,1023.9300736269639
2007-10-22,995.5942508796065
2007-10-23,1026.3440601381644
2007-10-24,1028.8412101913495
2007-10-25,1040.3848046179705
2007-10-26,1065.6180759733365
2007-10-29,1082.304225139692
2007-10-30,1075.030210992334
2007-10-31,1087.9562490139344
2007-11-01,1088.4749561498822
2007-11-02,1071.6095879145284
2007-11-05,1053.237549293699
2007-11-06,1062.4611944090568
2007-11-07,1083.0600660420475
2007-11-08,1051.8458965853333
2007-11-09,1041.541788579033
2007-11-12,989.1247054733776
2007-11-13,1007.6527098117432
2007-11-14,1038.0492190054583
2007-11-15,1019.0727581780503
2007-11-16,1000.1933261518101
2007-11-19,1003.1883526454025
2007-11-20,992.5871592125885
2007-11-21,960.4045075395048
2007-11-22,951.1100417241103
2007-11-23,953.1162599252616
2007-11-26,976.0978100399902
2007-11-27,971.6243207154154
2007-11-28,975.2080054226371
2007-11-29,985.8333476167292
2007-11-30,998.5246752987277
2007-12-03,1000.1722625223966
2007-12-04,993.261013187252
2007-12-05,991.7123519228418
2007-12-06,1003.2430063700516
2007-12-07,1012.3719558948466
2007-12-10,1010.8569432247001
2007-12-11,1022.2209362942357
2007-12-12,1015.7673861938026
2007-12-13,1002.0657454410864
2007-12-14,976.9586427999756
2007-12-17,945.1028846573074
2007-12-18,950.117891055451
2007-12-19,942.7384370020466
2007-12-20,933.792920793406
2007-12-21,956.6737977883379
2007-12-24,967.2362431473867
2007-12-25,967.2362431473867
2007-12-26,969.5545055334256
2007-12-27,970.756559793829
2007-12-28,967.9440335379434
2007-12-31,976.0645645277707
2008-01-01,976.0645645277707
