Date,EUROPE & MIDDLE EAST SRI
2010-05-26,899.55721052
2010-05-27,929.17772442
2010-05-28,931.85187023
2010-05-31,931.01033915
2010-06-01,937.37405273
2010-06-02,933.02634536
2010-06-03,946.43658518
2010-06-04,915.74741005
2010-06-07,898.73220819
2010-06-08,890.01579929
2010-06-09,917.09122646
2010-06-10,937.4824809
2010-06-11,937.77748448
2010-06-14,966.09067891
2010-06-15,976.92703037
2010-06-16,980.48316213
2010-06-17,983.17491374
2010-06-18,990.96156677
2010-06-21,1000.87809618
2010-06-22,987.62753379
2010-06-23,976.68357898
2010-06-24,965.48000355
2010-06-25,960.70049864
2010-06-28,972.33942078
2010-06-29,932.42605047
2010-06-30,932.83105616
2010-07-01,927.99171058
2010-07-02,941.78032601
2010-07-05,935.50305445
2010-07-06,967.66099315
2010-07-07,980.58828091
2010-07-08,991.16782657
2010-07-09,995.74004553
2010-07-12,994.30771772
2010-07-13,1018.41197875
2010-07-14,1023.49881141
2010-07-15,1026.77335795
2010-07-16,1013.05935924
2010-07-19,1007.02406602
2010-07-20,999.91707875
2010-07-21,1004.17858935
2010-07-22,1031.57540146
2010-07-23,1030.27337948
2010-07-26,1042.61695253
2010-07-27,1050.00841886
2010-07-28,1048.29490222
2010-07-29,1049.35846973
2010-07-30,1041.71814197
2010-08-02,1080.43972286
2010-08-03,1086.5817244
2010-08-04,1075.9236759
2010-08-05,1073.21565184
2010-08-06,1072.75477551
2010-08-09,1082.3090017
2010-08-10,1061.35509889
2010-08-11,1025.36901237
2010-08-12,1019.96747157
2010-08-13,1012.71426153
2010-08-16,1021.68742563
2010-08-17,1037.44321885
2010-08-18,1035.78521907
2010-08-19,1022.71879772
2010-08-20,1001.26932801
2010-08-23,1004.34294777
2010-08-24,991.59420127
2010-08-25,978.59531434
2010-08-26,996.31849304
2010-08-27,1001.67710814
2010-08-30,998.37760396
2010-08-31,1000.0
2010-09-01,1036.27365790674
2010-09-02,1037.415726179859
2010-09-03,1048.246699531116
2010-09-06,1051.893956233673
2010-09-07,1033.8102158828442
2010-09-08,1046.72851176548
2010-09-09,1058.8989902633487
2010-09-10,1054.8631125824559
2010-09-13,1073.7689707118652
2010-09-14,1082.399799386822
2010-09-15,1083.3751929645146
2010-09-16,1080.9897623492009
2010-09-17,1075.7997046339392
2010-09-20,1091.8074468080513
2010-09-21,1092.7410281016707
2010-09-22,1100.902121925607
2010-09-23,1094.4973769000303
2010-09-24,1119.2690204544156
2010-09-27,1112.4265770554393
2010-09-28,1116.613235263188
2010-09-29,1115.210930091221
2010-09-30,1114.85778147921
2010-10-01,1119.2373063251416
2010-10-04,1107.0306017447865
2010-10-05,1135.1297017773147
2010-10-06,1142.7921886409033
2010-10-07,1146.5176726063921
2010-10-08,1145.2556787422818
2010-10-11,1146.2236931408409
2010-10-12,1137.5705405361512
2010-10-13,1164.3761518392625
2010-10-14,1173.9257746328235
2010-10-15,1169.9317373402569
2010-10-18,1167.3437812836698
2010-10-19,1149.100308304915
2010-10-20,1169.0778963706157
2010-10-21,1179.5582212585625
2010-10-22,1169.3504443577674
2010-10-25,1176.3341763261262
2010-10-26,1165.6737488952353
2010-10-27,1150.0980481788872
2010-10-28,1164.7365009795562
2010-10-29,1164.6885865802496
2010-11-01,1164.5585699200146
2010-11-02,1181.1346191526143
2010-11-03,1173.9700240191517
2010-11-04,1211.429520393647
2010-11-05,1197.9183214220884
2010-11-08,1185.8312016862255
2010-11-09,1193.9078522431093
2010-11-10,1169.102909933077
2010-11-11,1166.1965396127882
2010-11-12,1164.5021099471187
2010-11-15,1164.394204057682
2010-11-16,1134.3232537149083
2010-11-17,1137.921995003573
2010-11-18,1157.9329930379672
2010-11-19,1156.1087248239808
2010-11-22,1144.1683019017007
2010-11-23,1113.3606017918394
2010-11-24,1121.2167569079231
2010-11-25,1124.2528706528938
2010-11-26,1105.9811815098444
2010-11-29,1077.0578602074868
2010-11-30,1068.929438060095
2010-12-01,1096.058236383938
2010-12-02,1125.592549272798
2010-12-03,1143.1824488139464
2010-12-06,1135.3542738052308
2010-12-07,1149.5967967499196
2010-12-08,1144.228210072616
2010-12-09,1143.3150809301603
2010-12-10,1146.5064976948363
2010-12-13,1163.860441306394
2010-12-14,1165.9538713117904
2010-12-15,1153.7657663959196
2010-12-16,1146.225417490863
2010-12-17,1138.3679001348964
2010-12-20,1142.6458035780097
2010-12-21,1156.0490960271811
2010-12-22,1153.0178055036324
2010-12-23,1152.4640234347967
2010-12-24,1156.8332495471166
2010-12-27,1150.1083760280453
2010-12-28,1150.5375231690634
2010-12-29,1154.3651921880548
2010-12-30,1152.9470764186797
2010-12-31,1160.4022043629145
2011-01-03,1164.1777459516488
2011-01-04,1167.1053034328631
2011-01-05,1148.8857151846014
2011-01-06,1139.8336749424113
2011-01-07,1133.2358021782306
2011-01-10,1118.5750123420364
2011-01-11,1132.269466247948
2011-01-12,1158.6993631793243
2011-01-13,1175.772122799106
2011-01-14,1177.458550592602
2011-01-17,1174.211913463073
2011-01-18,1195.7906721087186
2011-01-19,1190.3833009326618
2011-01-20,1170.4003288156491
2011-01-21,1189.7693781853027
2011-01-24,1199.2993855139111
2011-01-25,1195.1365709961713
2011-01-26,1209.1788074670312
2011-01-27,1214.913453774191
2011-01-28,1195.1901355047828
2011-01-31,1204.1848342893447
2011-02-01,1228.139674489375
2011-02-02,1231.5750023392002
2011-02-03,1214.9111430178168
2011-02-04,1212.0416784686586
2011-02-07,1220.4114079257656
2011-02-08,1230.1838302246238
2011-02-09,1229.7256409196834
2011-02-10,1218.6100636280491
2011-02-11,1223.0321500139892
2011-02-14,1219.774292042094
2011-02-15,1225.3110225469202
2011-02-16,1231.075286708159
2011-02-17,1236.7748539011884
2011-02-18,1241.0517477614158
2011-02-21,1227.9066228891224
2011-02-22,1221.9625090355514
2011-02-23,1215.7373233852925
2011-02-24,1211.5245126305526
2011-02-25,1224.4518442628491
2011-02-28,1240.8117559313196
2011-03-01,1235.0499808607394
2011-03-02,1232.2221984300409
2011-03-03,1240.53116439648
2011-03-04,1241.4512704515632
2011-03-07,1238.84703846836
2011-03-08,1231.4874338509985
2011-03-09,1234.2623750500286
2011-03-10,1209.1614158694956
2011-03-11,1202.4782068203845
2011-03-14,1207.6979770798825
2011-03-15,1181.4475396726111
2011-03-16,1159.9247945527065
2011-03-17,1188.3613758232896
2011-03-18,1203.3321915786746
2011-03-21,1224.2243411181228
2011-03-22,1225.1570923959534
2011-03-23,1221.7955786931311
2011-03-24,1242.646143066455
2011-03-25,1236.6281960810284
2011-03-28,1234.1678786059965
2011-03-29,1230.807755161054
2011-03-30,1243.3759612946449
2011-03-31,1240.1389030469354
2011-04-01,1253.5758140401126
2011-04-04,1263.403298414144
2011-04-05,1264.502963889587
2011-04-06,1283.0934210079788
2011-04-07,1272.8787492033402
2011-04-08,1288.3786515286629
2011-04-11,1287.1050565349537
2011-04-12,1269.6459963228356
2011-04-13,1280.5290400687734
2011-04-14,1269.5993117431221
2011-04-15,1269.1635495571936
2011-04-18,1231.274810394444
2011-04-19,1247.2506638780471
2011-04-20,1285.0422382395252
2011-04-21,1300.5052112648455
2011-04-22,1300.5052112648455
2011-04-25,1297.9063929803624
2011-04-26,1305.6298866753477
2011-04-27,1310.8617684538126
2011-04-28,1328.3587087711082
2011-04-29,1335.5405220785237
2011-05-02,1344.701452533718
2011-05-03,1333.01059006455
2011-05-04,1318.4871240241855
2011-05-05,1291.7024378431386
2011-05-06,1299.8587966865637
2011-05-09,1274.0237876621618
2011-05-10,1292.370657581383
2011-05-11,1292.1323939049275
2011-05-12,1273.9423086320005
2011-05-13,1271.2111700810462
2011-05-16,1273.8325798978958
2011-05-17,1254.565475696041
2011-05-18,1266.731138848825
2011-05-19,1276.1601667161071
2011-05-20,1263.7908397675048
2011-05-23,1231.633969724386
2011-05-24,1241.6903013862227
2011-05-25,1250.5147214616825
2011-05-26,1250.415878705849
2011-05-27,1273.6983403882293
2011-05-30,1273.1261180527297
2011-05-31,1295.8045164691855
2011-06-01,1286.73245789224
2011-06-02,1274.1480427701604
2011-06-03,1281.1935769450815
2011-06-06,1277.608113673974
2011-06-07,1283.232901296827
2011-06-08,1261.7662221984772
2011-06-09,1263.4729841658834
2011-06-10,1234.0560749105027
2011-06-13,1239.21523713271
2011-06-14,1256.5438850701585
2011-06-15,1227.1663287581248
2011-06-16,1209.8496721986298
2011-06-17,1224.958387107555
2011-06-20,1219.9435703336237
2011-06-21,1240.8930206486739
2011-06-22,1235.8747161435147
2011-06-23,1195.7330685884378
2011-06-24,1193.8395449682716
2011-06-27,1204.852033550138
2011-06-28,1215.7457265447156
2011-06-29,1238.9097414502044
2011-06-30,1260.2290923010237
2011-07-01,1266.8968848557233
2011-07-04,1272.3829782111175
2011-07-05,1271.9610700693838
2011-07-06,1252.655945438083
2011-07-07,1262.900784709987
2011-07-08,1244.0116590145606
2011-07-11,1207.8066247029526
2011-07-12,1201.3620146721353
2011-07-13,1226.4479961662341
2011-07-14,1214.4866014694614
2011-07-15,1210.7737684060783
2011-07-18,1185.0002699177478
2011-07-19,1210.0613783526226
2011-07-20,1223.8346874838776
2011-07-21,1250.5233090682243
2011-07-22,1256.7645051578909
2011-07-25,1253.2079047630216
2011-07-26,1265.3819096977804
2011-07-27,1244.7828884248315
2011-07-28,1239.3328692441116
2011-07-29,1241.6204313081919
2011-08-01,1212.50690343362
2011-08-02,1187.8758437716472
2011-08-03,1177.7858722402282
2011-08-04,1125.769660658948
2011-08-05,1108.851566082956
2011-08-08,1065.0697722453
