Date,EMU SRI
2007-09-28,1000.0
2007-10-01,1011.5030599628269
2007-10-02,1013.1988270685688
2007-10-03,1013.6092095109631
2007-10-04,1010.1118719378825
2007-10-05,1018.3539943341578
2007-10-08,1008.773316593119
2007-10-09,1015.0850633889673
2007-10-10,1019.0568397216323
2007-10-11,1027.7517832825056
2007-10-12,1024.357231598716
2007-10-15,1013.6618199867756
2007-10-16,1003.6864514184565
2007-10-17,1010.1130111152936
2007-10-18,1010.6731094572203
2007-10-19,1005.5468415129328
2007-10-22,985.5171608112013
2007-10-23,1000.5927038223284
2007-10-24,993.554246302603
2007-10-25,1011.6077605135924
2007-10-26,1020.6877816298647
2007-10-29,1029.31180592144
2007-10-30,1029.1368746102212
2007-10-31,1040.1107659586467
2007-11-01,1023.3181395914698
2007-11-02,1027.7814938542315
2007-11-05,1023.7822200357658
2007-11-06,1032.1700358705987
2007-11-07,1030.8284639226742
2007-11-08,1019.77638037626
2007-11-09,1004.1999026008169
2007-11-12,999.7030899538146
2007-11-13,1008.0018134584552
2007-11-14,1021.33331424223
2007-11-15,1009.7352135957443
2007-11-16,1008.1548201775529
2007-11-19,991.9454729697912
2007-11-20,1010.8365787437509
2007-11-21,989.1516494660933
2007-11-22,990.7456396522593
2007-11-23,1004.6885816728159
2007-11-26,1001.0599786946192
2007-11-27,1001.6336754690097
2007-11-28,1015.8093257210569
2007-11-29,1020.8702618547193
2007-11-30,1028.126841454049
2007-12-03,1026.5733932931914
2007-12-04,1023.0466264887548
2007-12-05,1030.6534511659856
2007-12-06,1026.1050508708624
2007-12-07,1036.7760212836015
2007-12-10,1045.4581922377638
2007-12-11,1039.2991963954103
2007-12-12,1039.8520773734117
2007-12-13,1013.5515931709446
2007-12-14,1006.4995906756342
2007-12-17,985.9422765715655
2007-12-18,989.6695586394494
2007-12-19,983.6628434619137
2007-12-20,981.0496930096468
2007-12-21,995.1539752637292
2007-12-24,998.8378480864924
2007-12-25,998.8378480864924
2007-12-26,1005.7031896326833
2007-12-27,1011.419473269411
2007-12-28,1021.8439124806278
2007-12-31,1015.4606717211922
2008-01-01,1015.4606717211922
2008-01-02,1009.904691458452
2008-01-03,1000.9252611754027
2008-01-04,987.4173366462283
