Date,NORTH AMERICA SRI
2007-09-28,1207.25587943
2007-10-01,1223.24147144
2007-10-02,1219.07035675
2007-10-03,1212.13677511
2007-10-04,1214.25029353
2007-10-05,1228.71627789
2007-10-08,1226.3263601
2007-10-09,1236.07718247
2007-10-10,1233.3493706
2007-10-11,1228.38920477
2007-10-12,1232.10079184
2007-10-15,1222.45558601
2007-10-16,1214.23168748
2007-10-17,1215.85527215
2007-10-18,1218.41569929
2007-10-19,1192.5516583
2007-10-22,1198.23768224
2007-10-23,1208.17981267
2007-10-24,1206.20667829
2007-10-25,1208.7121285
2007-10-26,1223.37593578
2007-10-29,1230.47534593
2007-10-30,1222.92659235
2007-10-31,1238.82125059
2007-11-01,1210.58652419
2007-11-02,1216.26277452
2007-11-05,1214.73848291
2007-11-06,1228.78301374
2007-11-07,1197.39614267
2007-11-08,1190.65951819
2007-11-09,1170.44135781
2007-11-12,1164.84529978
2007-11-13,1194.83095241
2007-11-14,1188.90262688
2007-11-15,1173.33614188
2007-11-16,1183.77206298
2007-11-19,1165.62958899
2007-11-20,1167.94543468
2007-11-21,1148.80743576
2007-11-22,1149.97540941
2007-11-23,1166.2494608
2007-11-26,1145.3271501
2007-11-27,1161.10424614
2007-11-28,1192.67554303
2007-11-29,1193.22275031
2007-11-30,1196.61943091
2007-12-03,1190.74257465
2007-12-04,1186.49927923
2007-12-05,1201.00394039
2007-12-06,1214.67859009
2007-12-07,1211.46066163
2007-12-10,1221.3837633
2007-12-11,1195.90626111
2007-12-12,1203.8180598
2007-12-13,1203.81101991
2007-12-14,1188.54252961
2007-12-17,1172.78211708
2007-12-18,1177.64069997
2007-12-19,1177.88379708
2007-12-20,1183.05785444
2007-12-21,1200.55826503
2007-12-24,1210.35478746
2007-12-25,1210.35478746
2007-12-26,1209.01936579
2007-12-27,1194.31869405
2007-12-28,1197.10756586
2007-12-31,1187.89175228
2008-01-01,1187.89175228
2008-01-02,1168.09146228
2008-01-03,1166.57188189
2008-01-04,1137.96102201
2008-01-07,1138.57136965
2008-01-08,1122.62265473
2008-01-09,1134.48314223
2008-01-10,1143.66550229
2008-01-11,1126.55378513
2008-01-14,1139.79953174
2008-01-15,1112.63518575
2008-01-16,1106.85518352
2008-01-17,1076.54517064
2008-01-18,1072.06466178
2008-01-21,1065.85625211
2008-01-22,1064.60773974
2008-01-23,1087.07634265
2008-01-24,1099.23718921
2008-01-25,1083.58236396
2008-01-28,1098.55613632
2008-01-29,1101.41241677
2008-01-30,1097.38450524
2008-01-31,1114.0888327
2008-02-01,1127.73846341
2008-02-04,1116.73676174
2008-02-05,1086.44507479
2008-02-06,1081.28313354
2008-02-07,1087.89034036
2008-02-08,1085.05260721
2008-02-11,1094.69986137
2008-02-12,1105.73804777
2008-02-13,1119.00311731
2008-02-14,1102.55184353
2008-02-15,1100.99723899
2008-02-18,1100.38722515
2008-02-19,1100.37643585
2008-02-20,1114.68953813
2008-02-21,1103.62730576
2008-02-22,1114.10366913
2008-02-25,1130.9829771
2008-02-26,1141.74096081
2008-02-27,1141.83309508
2008-02-28,1132.57832411
2008-02-29,1105.43577755
2008-03-03,1106.37573639
2008-03-04,1104.40327616
2008-03-05,1111.23234237
2008-03-06,1091.77061284
2008-03-07,1083.45068513
2008-03-10,1069.26038101
2008-03-11,1109.78986327
2008-03-12,1104.2147584
2008-03-13,1109.45770987
2008-03-14,1088.52926931
2008-03-17,1082.47410482
2008-03-18,1122.89700413
2008-03-19,1094.48281005
2008-03-20,1113.58284586
2008-03-21,1113.58284586
2008-03-24,1131.3172725
2008-03-25,1136.9792851
2008-03-26,1124.985314
2008-03-27,1115.39804977
2008-03-28,1104.6671147
2008-03-31,1102.88414717
2008-04-01,1135.23757683
2008-04-02,1130.792864
2008-04-03,1133.26436186
2008-04-04,1136.13682286
2008-04-07,1136.65479651
2008-04-08,1132.66189201
2008-04-09,1123.84226546
2008-04-10,1130.76709244
2008-04-11,1112.83483937
2008-04-14,1110.80225958
2008-04-15,1116.80674058
2008-04-16,1141.63285766
2008-04-17,1139.12173118
2008-04-18,1156.0967633
2008-04-21,1156.71636728
2008-04-22,1147.43397114
2008-04-23,1145.15298987
2008-04-24,1152.51358124
2008-04-25,1162.21183369
2008-04-28,1157.75167625
2008-04-29,1147.79154504
2008-04-30,1143.68285955
2008-05-01,1163.70299831
2008-05-02,1168.44900284
2008-05-05,1164.44590668
2008-05-06,1172.25245496
2008-05-07,1156.84929933
2008-05-08,1158.88551148
2008-05-09,1153.10356793
2008-05-12,1164.34472451
2008-05-13,1162.20430877
2008-05-14,1167.47561377
2008-05-15,1182.53487654
2008-05-16,1184.17544337
2008-05-19,1182.30602734
2008-05-20,1171.50674682
2008-05-21,1151.93550817
2008-05-22,1156.14375058
2008-05-23,1143.37187706
2008-05-26,1144.13032374
2008-05-27,1149.31159674
2008-05-28,1158.39812681
2008-05-29,1168.43749804
2008-05-30,1171.73946612
2008-06-02,1159.27923765
2008-06-03,1157.56048999
2008-06-04,1160.38535402
2008-06-05,1181.26323565
2008-06-06,1149.29586492
2008-06-09,1151.21042172
2008-06-10,1149.70190125
2008-06-11,1133.53033161
2008-06-12,1138.3257644
2008-06-13,1152.63428044
2008-06-16,1155.28380988
2008-06-17,1148.6952514
2008-06-18,1134.16596177
2008-06-19,1137.8735056
2008-06-20,1116.28773129
2008-06-23,1116.60931509
2008-06-24,1110.48445955
2008-06-25,1117.05041016
2008-06-26,1088.91151903
2008-06-27,1083.61712751
2008-06-30,1084.60438212
2008-07-01,1089.71763244
2008-07-02,1071.16916726
2008-07-03,1076.52522017
2008-07-04,1075.10207361
2008-07-07,1065.1407319
2008-07-08,1081.66811108
2008-07-09,1060.1796511
2008-07-10,1067.00412538
2008-07-11,1057.49250455
2008-07-14,1049.17096591
2008-07-15,1042.29773014
2008-07-16,1072.91743039
2008-07-17,1084.11258163
2008-07-18,1087.3609577
2008-07-21,1084.16565859
2008-07-22,1092.93917115
2008-07-23,1095.51889848
2008-07-24,1070.58480869
2008-07-25,1075.93437899
2008-07-28,1057.92448469
2008-07-29,1084.40899638
2008-07-30,1100.02744948
2008-07-31,1089.24938918
2008-08-01,1083.38069311
2008-08-04,1081.30259869
2008-08-05,1103.57953788
2008-08-06,1111.34883167
2008-08-07,1095.07460784
2008-08-08,1116.89617005
2008-08-11,1124.10301756
2008-08-12,1115.03528836
2008-08-13,1109.99630678
2008-08-14,1117.67721229
2008-08-15,1121.61605844
2008-08-18,1107.82503195
2008-08-19,1093.58486408
2008-08-20,1101.62945592
2008-08-21,1104.94763751
2008-08-22,1119.51345805
2008-08-25,1099.16181737
2008-08-26,1099.99403294
2008-08-27,1109.24651581
2008-08-28,1126.76355539
2008-08-29,1108.37049146
2008-09-01,1107.34081564
2008-09-02,1102.62957991
2008-09-03,1101.00757124
2008-09-04,1071.04869171
2008-09-05,1079.61618407
2008-09-08,1105.14239291
2008-09-09,1073.45827869
2008-09-10,1082.61930821
2008-09-11,1097.22571649
2008-09-12,1104.68916349
2008-09-15,1064.58386523
2008-09-16,1084.08382174
2008-09-17,1042.6221169
2008-09-18,1082.25501196
2008-09-19,1118.15592108
2008-09-22,1076.62559366
2008-09-23,1060.58634458
2008-09-24,1062.50779067
2008-09-25,1077.18024667
2008-09-26,1081.52441721
2008-09-29,1001.7288862
2008-09-30,1045.23443379
2008-10-01,1037.74030578
2008-10-02,994.00187888
2008-10-03,981.19349075
2008-10-06,943.90687507
2008-10-07,898.79235681
2008-10-08,893.00793788
2008-10-09,826.60858356
2008-10-10,815.77837199
2008-10-13,891.01717138
2008-10-14,901.86258758
2008-10-15,829.88986907
2008-10-16,857.39763472
2008-10-17,854.81353713
2008-10-20,888.97463578
2008-10-21,860.29593832
2008-10-22,806.21621017
2008-10-23,808.33799917
2008-10-24,783.58038049
2008-10-27,757.97162229
2008-10-28,833.91072008
2008-10-29,828.54601963
2008-10-30,852.91604122
2008-10-31,869.24289762
2008-11-03,864.35915859
2008-11-04,898.25851615
2008-11-05,854.01461987
2008-11-06,813.98880303
2008-11-07,832.92451588
2008-11-10,824.27903222
2008-11-11,804.537633
2008-11-12,765.16536136
2008-11-13,816.05909932
2008-11-14,782.99134806
2008-11-17,762.27124462
2008-11-18,776.50377052
2008-11-19,731.97417714
2008-11-20,682.7626126
2008-11-21,720.70672628
2008-11-24,765.80031762
2008-11-25,764.07249899
2008-11-26,786.1170858
2008-11-27,787.50639614
2008-11-28,797.45232394
2008-12-01,726.68820638
2008-12-02,751.6296789
2008-12-03,771.22865468
2008-12-04,748.75354542
2008-12-05,775.81054672
2008-12-08,807.19462905
2008-12-09,783.37604658
2008-12-10,791.06961097
2008-12-11,766.20647167
2008-12-12,771.50978901
2008-12-15,764.39851096
2008-12-16,804.91753473
2008-12-17,800.88108713
2008-12-18,787.72664717
2008-12-19,788.16654498
2008-12-22,773.31480011
2008-12-23,766.64989771
2008-12-24,772.27330982
2008-12-25,772.27330982
2008-12-26,774.45408946
2008-12-29,773.43802679
2008-12-30,793.06113038
2008-12-31,805.29607414
2009-01-01,805.29607414
2009-01-02,828.92883914
2009-01-05,824.49644716
2009-01-06,834.42610689
2009-01-07,809.99417652
2009-01-08,810.65889626
2009-01-09,795.56525532
2009-01-12,778.68541563
2009-01-13,778.11464799
2009-01-14,751.36312936
2009-01-15,748.68288452
2009-01-16,749.78032329
2009-01-19,748.56665875
2009-01-20,709.19096567
2009-01-21,738.63535886
2009-01-22,724.90749974
2009-01-23,729.24234899
2009-01-26,731.28258311
2009-01-27,741.48195971
2009-01-28,774.66586197
2009-01-29,750.78035513
2009-01-30,731.1125851
2009-02-02,728.76485995
2009-02-03,741.54709091
2009-02-04,736.04574517
2009-02-05,744.45091085
2009-02-06,766.54762267
2009-02-09,766.94611506
2009-02-10,730.7713303
2009-02-11,735.93934786
2009-02-12,733.86038879
2009-02-13,725.52310809
2009-02-16,725.35089439
2009-02-17,692.90239098
2009-02-18,691.2148362
2009-02-19,679.8873548
2009-02-20,671.90792128
2009-02-23,649.93440201
2009-02-24,675.74921359
2009-02-25,669.80347842
2009-02-26,667.51543198
2009-02-27,651.07561412
2009-03-02,622.80154618
2009-03-03,621.36502971
2009-03-04,633.96371531
2009-03-05,605.1557608
2009-03-06,603.5596129
2009-03-09,593.86608876
2009-03-10,629.19383293
2009-03-11,636.55664704
2009-03-12,660.30468
2009-03-13,668.69974969
2009-03-16,667.44708808
2009-03-17,685.88862703
2009-03-18,700.7790559
2009-03-19,690.76882033
2009-03-20,677.83099503
2009-03-23,728.78038381
2009-03-24,713.40297014
2009-03-25,720.59329672
2009-03-26,736.57838108
2009-03-27,723.35203067
2009-03-30,697.61266614
2009-03-31,707.81313023
2009-04-01,719.99991693
2009-04-02,741.08935279
2009-04-03,748.74528823
2009-04-06,738.06898027
2009-04-07,720.07780562
2009-04-08,728.52282437
2009-04-09,762.1313122
2009-04-10,762.1313122
2009-04-13,761.57740987
2009-04-14,748.80524573
2009-04-15,759.27381469
2009-04-16,774.22457481
2009-04-17,783.06934578
2009-04-20,748.07917418
2009-04-21,764.27469838
2009-04-22,756.14924098
2009-04-23,764.17575028
2009-04-24,779.19027402
2009-04-27,768.66755333
2009-04-28,765.14246027
2009-04-29,782.41717853
2009-04-30,782.3390326
2009-05-01,786.41232776
2009-05-04,821.69715974
2009-05-05,815.74847935
2009-05-06,830.77014882
2009-05-07,812.7373864
2009-05-08,832.26412411
2009-05-11,814.90125239
2009-05-12,814.7334683
2009-05-13,794.66850849
2009-05-14,803.17898368
2009-05-15,796.45507479
2009-05-18,822.32173815
2009-05-19,824.15305383
2009-05-20,819.59930543
2009-05-21,807.03334176
2009-05-22,808.68005524
2009-05-25,809.37558673
2009-05-26,833.33308198
2009-05-27,814.78230977
2009-05-28,827.3793816
2009-05-29,839.01247991
2009-06-01,863.46046403
2009-06-02,862.46180957
2009-06-03,850.55622904
2009-06-04,858.28228891
2009-06-05,856.11382886
2009-06-08,856.39465634
