Date,MSCI ACWI ex USA Small Cap Quality Index
1998-12-01,988.1083795786947
1998-12-02,992.5188601328204
1998-12-03,984.433326238257
1998-12-04,982.6823561970023
1998-12-07,983.108554900288
1998-12-08,982.6570951890557
1998-12-09,983.437585619393
1998-12-10,986.3985344805728
1998-12-11,984.7429153629939
1998-12-14,979.1912266847098
1998-12-15,975.0484976252932
1998-12-16,974.6825173606125
1998-12-17,975.2201671872426
1998-12-18,979.0916489539188
1998-12-21,983.1054267399433
1998-12-22,985.5802312296449
1998-12-23,993.4401594690806
1998-12-24,994.4060911555288
1998-12-25,994.8163891166092
1998-12-28,998.260809377684
1998-12-29,1005.069890654427
1998-12-30,1008.0621462373426
1998-12-31,1010.4403630413757
1999-01-01,1010.1260453805667
1999-01-04,1026.942330872094
1999-01-05,1025.305279841648
1999-01-06,1032.2950506517611
1999-01-07,1031.7824166015776
1999-01-08,1031.2567599870972
1999-01-11,1032.175532778452
1999-01-12,1025.9923356497388
1999-01-13,1009.1255846063767
1999-01-14,1011.1824044458725
1999-01-15,1004.3476214942984
1999-01-18,1016.1060924111794
1999-01-19,1016.5330258885158
1999-01-20,1015.2119262498462
1999-01-21,1012.5054942588926
1999-01-22,1004.0321982063291
1999-01-25,1000.1339646501375
1999-01-26,1004.3273294513651
1999-01-27,1004.1841142434652
1999-01-28,1002.6919743291514
1999-01-29,1004.1738818867158
1999-02-01,1011.3410568137276
1999-02-02,1017.0263995269372
1999-02-03,1015.2245403982697
1999-02-04,1017.3310417479096
1999-02-05,1019.4183062459163
1999-02-08,1019.1214901977828
1999-02-09,1017.050568039462
1999-02-10,1010.2716950610485
1999-02-11,1015.5503438090125
1999-02-12,1020.7330416018114
1999-02-15,1018.4166192723887
1999-02-16,1017.2479938331024
1999-02-17,1016.9754633312891
1999-02-18,1014.263701534758
1999-02-19,1008.4203687914819
1999-02-22,1006.9151127217303
1999-02-23,1000.3933279296123
1999-02-24,1000.5511673858639
1999-02-25,1005.0580953849919
1999-02-26,1002.8367158353994
1999-03-01,1007.283360285199
1999-03-02,1006.8093636371308
1999-03-03,1009.2664824692982
1999-03-04,1001.8499952535226
1999-03-05,1012.5378004669393
1999-03-08,1019.0117695591616
1999-03-09,1022.6755727312718
1999-03-10,1027.1579895320438
1999-03-11,1026.076047132437
1999-03-12,1037.576225121067
1999-03-15,1035.4646182973408
1999-03-16,1034.3581291330981
1999-03-17,1039.684461257436
1999-03-18,1038.455539703468
1999-03-19,1041.115699524251
1999-03-22,1039.3778810743229
1999-03-23,1035.4433539465006
1999-03-24,1028.0929208455725
1999-03-25,1029.3735263862552
1999-03-26,1020.8457052355518
1999-03-29,1020.1523540017286
1999-03-30,1023.4548773040171
1999-03-31,1025.2811085974188
1999-04-01,1021.1558490273296
1999-04-02,1022.0743107410057
1999-04-05,1017.4593010840764
1999-04-06,1020.0400488841026
1999-04-07,1026.3214108621946
1999-04-08,1035.69867534814
1999-04-09,1034.998920829584
1999-04-12,1039.7276414482706
1999-04-13,1041.5821371303475
1999-04-14,1048.1170414882745
1999-04-15,1045.796251779686
1999-04-16,1054.0172585992163
1999-04-19,1058.0291048863282
1999-04-20,1052.476714107338
1999-04-21,1050.1240619798398
1999-04-22,1055.439100941927
1999-04-23,1060.4381967777308
1999-04-26,1058.1620280867069
1999-04-27,1066.8771662745564
1999-04-28,1070.5587788364626
1999-04-29,1071.7558746375328
1999-04-30,1078.234240066963
1999-05-03,1083.0163742233874
1999-05-14,1106.4345432509422
1999-05-17,1093.860729582713
1999-05-18,1096.4006949851923
1999-05-19,1098.2013252924548
1999-05-20,1101.322928089355
1999-05-21,1097.070459345664
1999-05-24,1096.2089193390393
1999-05-25,1091.3045060266525
1999-05-26,1079.788305051376
1999-05-27,1077.54457809271
1999-05-28,1075.5586780992774
1999-05-31,1077.2450962479436
1999-06-01,1083.612083700171
1999-06-02,1077.0653746294165
1999-06-03,1077.935785483674
1999-06-04,1079.9801434192968
1999-06-07,1084.8970076516607
1999-06-08,1093.9701421533687
1999-06-09,1094.8991487121327
1999-06-10,1100.3684679887178
1999-06-11,1104.1650573339498
1999-06-14,1099.8469267381722
1999-06-15,1093.3118383262668
1999-06-16,1089.507510734713
1999-06-17,1093.800769377881
1999-06-18,1098.958209466149
1999-06-21,1101.3897586613464
1999-06-22,1101.5280165492547
1999-06-23,1097.2198787129726
