Date,EGYPT IMI VALUE
2004-05-31,178.22910232852718
2004-06-01,178.07098981967457
2004-06-02,181.15412767400784
2004-06-03,179.99537098974866
2004-06-04,180.03948570017462
2004-06-07,178.05972966161167
2004-06-08,181.92766741010755
2004-06-09,186.19664985920602
2004-06-10,185.2006916237213
2004-06-11,186.46512330542856
2004-06-14,187.71544228659656
2004-06-15,185.29118217145015
2004-06-16,185.64128697844592
2004-06-17,185.12826698751866
2004-06-18,183.74654184939075
2004-06-21,181.99663277038266
2004-06-22,180.92027577350396
2004-06-23,175.1982235417864
2004-06-24,177.72538654859136
2004-06-25,178.31109328078034
2004-06-28,180.2695760731048
2004-06-29,180.76736903131882
2004-06-30,180.92959745320823
2004-07-01,180.18878440323542
2004-07-02,178.09399182003452
2004-07-05,180.8959459666525
2004-07-06,179.8418309933661
2004-07-07,181.0469107180606
2004-07-08,181.0948608264508
2004-07-09,181.26296082641076
2004-07-12,189.45856593706074
2004-07-13,190.07119178586845
2004-07-14,193.78656266900163
2004-07-15,200.49151911902132
2004-07-16,199.29941173765397
2004-07-19,203.11236387640108
2004-07-20,203.28971993364325
2004-07-21,205.19007479218575
2004-07-22,202.5230144193893
2004-07-23,205.09685755704857
2004-07-26,204.0801440120375
2004-07-27,204.49378113195326
2004-07-28,206.26909384456656
2004-07-29,206.76499492933763
2004-07-30,206.9884524371151
2004-08-02,208.7180065687134
2004-08-03,206.94031694668354
2004-08-04,207.63589749810353
2004-08-05,213.4159565914355
2004-08-06,209.7422248483563
2004-08-09,213.4407626690069
2004-08-10,210.22629046232015
2004-08-11,211.4688556100682
2004-08-12,209.4838510505996
2004-08-13,207.41487474392704
2004-08-16,209.23905153243467
2004-08-17,211.95706309216186
2004-08-18,213.52738470665633
2004-08-19,206.59476116047395
2004-08-20,207.1478930511312
2004-08-23,215.46600634587764
2004-08-24,215.49136748401668
2004-08-25,220.39902221651423
2004-08-26,221.81030021466057
2004-08-27,222.81463381343917
2004-08-30,227.1598971766517
2004-08-31,222.4365159810291
