Date,SOUTH AFRICA IMI VALUE
1999-05-31,201.16805276862598
1999-06-01,205.50780433552524
1999-06-02,207.8719700209956
1999-06-03,210.92380845625894
1999-06-04,213.5200209652395
1999-06-07,220.07772971648384
1999-06-08,218.71058232148255
1999-06-09,219.2725120929152
1999-06-10,218.14127816501775
1999-06-11,222.20876833848905
1999-06-14,222.98265099674728
1999-06-15,222.98167545549288
1999-06-16,225.6741241521181
1999-06-17,224.49869169244013
1999-06-18,224.70384154432077
1999-06-21,228.95061117247826
1999-06-22,228.9181334089391
1999-06-23,224.38664809321773
1999-06-24,222.45495884451182
1999-06-25,220.33820476845216
1999-06-28,223.7212498120158
1999-06-29,224.5856375609822
1999-06-30,228.00406436746616
1999-07-01,235.04423869845863
1999-07-02,238.8099210420268
1999-07-05,242.50153581182056
1999-07-06,239.29819103490547
1999-07-07,237.71396717353957
1999-07-08,238.64063724209925
1999-07-09,237.42679784047615
1999-07-12,239.6390969607039
1999-07-13,234.45027473335534
1999-07-14,235.49498579780104
1999-07-15,234.71214357825193
1999-07-16,234.55625188437745
1999-07-19,235.7393672930601
1999-07-20,229.5827473109078
1999-07-21,226.57050464840793
1999-07-22,227.05538672546754
1999-07-23,227.86517763497488
1999-07-26,220.81923104222395
1999-07-27,223.05261970381667
1999-07-28,222.79472217694732
1999-07-29,219.76602226570955
1999-07-30,222.1854339912616
1999-08-02,222.1829528333016
1999-08-03,223.4986721443173
1999-08-04,227.48401392095587
1999-08-05,227.3211396258829
1999-08-06,226.54888153230144
1999-08-09,228.6166908434187
1999-08-10,227.54261357963372
1999-08-11,231.76226557141896
1999-08-12,236.96680881437717
1999-08-13,239.87767334473767
1999-08-16,239.13971667669836
1999-08-17,239.14963474910545
1999-08-18,240.22404203852386
1999-08-19,235.70353094709677
1999-08-20,234.48254320485142
1999-08-23,235.83410541065737
1999-08-24,234.36965234430502
1999-08-25,235.77218285244487
1999-08-26,234.6444386502363
1999-08-27,233.91569856769112
1999-08-30,234.39811507903917
1999-08-31,230.34528809890705
1999-09-01,232.16959067966445
1999-09-02,227.57723492024456
1999-09-03,232.05801349009337
1999-09-06,232.78866575648686
1999-09-07,231.61761318450155
1999-09-08,227.8494706881497
1999-09-09,226.79297787839403
1999-09-10,226.47495693085372
1999-09-13,227.1491285512621
1999-09-14,228.5520415390058
1999-09-15,229.4927664328953
1999-09-16,225.47144636023938
1999-09-17,225.03418210664023
1999-09-20,224.99293626095127
1999-09-21,224.10156708813557
1999-09-22,224.0773616129247
1999-09-23,227.72640294569513
1999-09-24,227.06861069485478
1999-09-27,235.69427408719034
1999-09-28,242.1828397215202
1999-09-29,237.00055098517169
1999-09-30,234.00800152361498
1999-10-01,234.52886774931784
1999-10-04,240.20557345518225
1999-10-05,245.22303531905033
1999-10-06,241.29249481075846
1999-10-07,244.54372063807907
1999-10-08,247.93652568587493
1999-10-11,246.4968478998657
1999-10-12,243.22379763806535
1999-10-13,238.45512353083518
1999-10-14,236.08098020298166
1999-10-15,227.95840257001754
1999-10-18,226.6822066095282
1999-10-19,228.30666367003838
1999-10-20,230.82598432318454
1999-10-21,225.50205902783952
1999-10-22,229.56275865660896
1999-10-25,229.10264994770571
1999-10-26,230.5595248282076
1999-10-27,231.9922232553065
1999-10-28,235.6380191063946
1999-10-29,236.97720046661044
1999-11-01,237.3672018615306
1999-11-02,237.87100969805323
1999-11-03,238.5826656577439
1999-11-04,243.4448507169505
1999-11-05,243.89849232809024
1999-11-08,243.79534651735176
1999-11-09,246.1547346401975
1999-11-10,243.07159387720623
1999-11-11,244.91884486503176
1999-11-12,245.79518396585593
1999-11-15,247.49393947791316
1999-11-16,248.15309243207514
1999-11-17,247.80241995650385
1999-11-18,253.01363323871738
1999-11-19,253.84216050496659
1999-11-22,250.69265087462725
1999-11-23,251.4205533885444
1999-11-24,256.21555027776645
1999-11-25,255.0793383367822
1999-11-26,259.630189960898
1999-11-29,258.38393212004
1999-11-30,257.9711852120889
1999-12-01,260.9591522485896
1999-12-02,265.42391397538864
1999-12-03,265.0308815993283
1999-12-06,262.09638948754855
1999-12-07,264.47270973313607
1999-12-08,267.3275026964035
1999-12-09,271.7304942335639
1999-12-10,274.35652232307933
1999-12-13,278.541137522441
1999-12-14,279.5688530306826
1999-12-15,279.19906252111036
1999-12-16,275.4330261829772
1999-12-17,284.6454960746177
1999-12-20,291.51114318043255
1999-12-21,287.9480517137308
1999-12-22,291.50198313511856
1999-12-23,290.0704913202212
1999-12-24,290.6464600734925
1999-12-27,291.5280630294537
1999-12-28,293.0619643584455
1999-12-29,296.25464353832797
1999-12-30,296.97059912571405
1999-12-31,296.97059912571405
2000-01-03,294.9937739999739
2000-01-04,288.8744390865736
2000-01-05,285.3395258606949
2000-01-06,285.201596111928
2000-01-07,297.54302551825066
2000-01-10,308.0551129776718
2000-01-11,308.248455617458
2000-01-12,308.14946877142194
2000-01-13,309.1657004869692
2000-01-14,314.58802262580656
2000-01-17,321.7624178524311
2000-01-18,321.2049414301233
2000-01-19,319.4783162418734
2000-01-20,320.74577806832923
2000-01-21,316.6546607260562
2000-01-24,315.2391329561902
2000-01-25,306.3822078799166
2000-01-26,301.2730172648933
2000-01-27,302.59582764345026
2000-01-28,293.00992665254347
2000-01-31,292.8066503644045
2000-02-01,304.7677308466115
2000-02-02,304.7934099563376
2000-02-03,303.43830018480315
2000-02-04,300.73038116729083
2000-02-07,310.12421806468353
2000-02-08,307.0687671257413
2000-02-09,309.2451533427709
2000-02-10,304.9473700876035
2000-02-11,299.1476780945301
2000-02-14,295.9318817696231
2000-02-15,290.6961080840315
2000-02-16,288.2892789532195
2000-02-17,293.21982680233276
2000-02-18,291.8972305792052
2000-02-21,287.45610484365784
2000-02-22,275.5145660088233
2000-02-23,278.41003192528626
2000-02-24,277.5728618579794
2000-02-25,276.29780012348
2000-02-28,271.50852711212866
2000-02-29,274.3334316313797
2000-03-01,276.1263595260667
2000-03-02,272.85217818463053
2000-03-03,268.8120876959253
2000-03-06,270.6010719534837
2000-03-07,272.21040037168774
2000-03-08,271.118365346772
2000-03-09,268.22450899281876
2000-03-10,267.75001615962805
2000-03-13,255.37898115381364
2000-03-14,260.40448510219625
2000-03-15,257.1708307955231
2000-03-16,261.62735832161036
2000-03-17,265.8341478913726
2000-03-20,265.9218236906771
2000-03-21,265.94186072399276
2000-03-22,275.1484201629974
2000-03-23,272.8832459509698
2000-03-24,275.59567666994775
2000-03-27,276.5239339493595
2000-03-28,270.03702954238685
2000-03-29,271.97817477715796
2000-03-30,263.6072658857879
2000-03-31,265.5392800977408
2000-04-03,265.24193532537885
2000-04-04,267.8502284813327
2000-04-05,254.71847837873784
2000-04-06,260.8097464136652
2000-04-07,260.2551335805865
2000-04-10,260.37389310234596
2000-04-11,253.83203500847353
2000-04-12,253.0312961742545
2000-04-13,247.52043234589348
2000-04-14,241.61330695121816
2000-04-17,223.0760543902283
2000-04-18,231.19687076307105
2000-04-19,237.65040915530318
2000-04-20,242.39563350721335
2000-04-21,242.39563350721335
2000-04-24,240.74841495312174
2000-04-25,249.08951847649925
2000-04-26,250.21691613042722
2000-04-27,250.9124802489378
2000-04-28,255.73977703224264
2000-05-01,256.1737124521099
2000-05-02,258.18281820165424
2000-05-03,264.64048695229246
2000-05-04,261.2403112605918
2000-05-05,258.228521503907
2000-05-08,258.0728751012014
2000-05-09,256.5881112884023
2000-05-10,253.6811892365604
2000-05-11,256.61777622085265
2000-05-12,248.89502380184186
2000-05-15,246.86666535878288
2000-05-16,250.81657594762783
2000-05-17,251.18593017850412
2000-05-18,247.43387773596388
2000-05-19,242.6523149469326
2000-05-22,240.88365284721615
2000-05-23,242.8709173570453
2000-05-24,238.23303489345508
2000-05-25,240.61878558850287
