Date,TURKEY IMI VALUE
1998-12-31,176.2731983868366
1999-01-01,176.2731983868366
1999-01-04,184.29133565605267
1999-01-05,186.27501321607735
1999-01-06,190.17243768260786
1999-01-07,182.63732658361548
1999-01-08,179.5564909802605
1999-01-11,175.55183550558016
1999-01-12,175.82036297465794
1999-01-13,159.58521098368587
1999-01-14,166.85616911341558
1999-01-15,164.23303472849807
1999-01-18,160.4282970577592
1999-01-19,160.29698539429057
1999-01-20,160.84460123031525
1999-01-21,160.80543476214294
1999-01-22,161.8161328036634
1999-01-25,156.51921026286075
1999-01-26,160.1777285546356
1999-01-27,168.59244707091804
1999-01-28,165.7771468375454
1999-01-29,168.21761557155125
1999-02-01,174.01778171949627
1999-02-02,170.9090382546369
1999-02-03,172.90676667230304
1999-02-04,181.28553595380913
1999-02-05,177.4322644945885
1999-02-08,180.65980113403546
1999-02-09,188.67894862326833
1999-02-10,191.6559766771018
1999-02-11,195.19330536380838
1999-02-12,197.17300012656443
1999-02-15,197.44498911719572
1999-02-16,214.83367445412844
1999-02-17,229.0465761349624
1999-02-18,231.03335837248142
1999-02-19,235.27091767744645
1999-02-22,231.06630704156046
1999-02-23,228.16153468355077
1999-02-24,232.7570361870934
1999-02-25,244.88131150528386
1999-02-26,253.42181527118788
1999-03-01,253.57084143456473
1999-03-02,249.94829810744358
1999-03-03,258.9425019014636
1999-03-04,250.351091103642
1999-03-05,253.5635692377968
1999-03-08,253.11901624860752
1999-03-09,258.257561627727
1999-03-10,251.93570580988128
1999-03-11,263.8830444832987
1999-03-12,263.6485250041776
1999-03-15,259.1426992850214
1999-03-16,251.5147901244546
1999-03-17,258.15825289455813
1999-03-18,266.3162080589302
1999-03-19,272.2431175250139
1999-03-22,271.86814377007704
1999-03-23,269.99367977156004
1999-03-24,263.1469164195754
1999-03-25,277.9779710579596
1999-03-26,286.84459819310035
1999-03-29,287.2842283861151
1999-03-30,286.6892547764623
1999-03-31,285.5795383610236
1999-04-01,285.46549346341186
1999-04-02,284.5062748855373
1999-04-05,294.57214097562644
1999-04-06,306.17482083423124
1999-04-07,304.278964242056
1999-04-08,291.5687194825179
1999-04-09,281.2015306314302
1999-04-12,264.0406631277841
1999-04-13,241.1766927744269
1999-04-14,266.61065722912343
1999-04-15,265.4930945232131
1999-04-16,280.2817386512964
1999-04-19,279.5292405254146
1999-04-20,305.5553946665203
1999-04-21,303.7264385352781
1999-04-22,317.32847291169327
1999-04-23,316.6577053304327
1999-04-26,321.76966152704125
1999-04-27,318.68742353724355
1999-04-28,327.8642110365006
1999-04-29,324.275847050311
1999-04-30,317.0042034372188
1999-05-03,316.1111036696469
1999-05-04,320.27726263028444
1999-05-05,324.8879612792305
1999-05-06,324.16018400377095
1999-05-07,329.1678930475949
1999-05-10,332.6768387159061
1999-05-11,340.0691785241922
1999-05-12,318.0846060946531
1999-05-13,316.18338262574554
1999-05-14,328.05482575271157
1999-05-17,323.99333504835016
1999-05-18,334.08722227414546
1999-05-19,334.05876582604964
1999-05-20,325.53072195160166
1999-05-21,318.46994604808305
1999-05-24,307.2213966824971
1999-05-25,294.01916822010804
1999-05-26,294.3483110942551
1999-05-27,305.9315922006088
1999-05-28,301.7695690574852
1999-05-31,292.9145697977551
1999-06-01,294.3766653497386
1999-06-02,286.51520493785284
1999-06-03,286.8040166942482
1999-06-04,310.7588265885111
1999-06-07,304.40403592541315
1999-06-08,300.59659860371727
1999-06-09,300.72286475647894
1999-06-10,315.5527358485447
1999-06-11,310.8280880365109
1999-06-14,307.4361734188003
1999-06-15,297.1531205400814
1999-06-16,288.7027291369503
1999-06-17,300.02484134490015
1999-06-18,302.7982665256493
1999-06-21,303.2629454443273
1999-06-22,299.2468208781583
1999-06-23,293.24875489709854
1999-06-24,287.612208623707
1999-06-25,276.2218467668189
1999-06-28,262.9940426253711
1999-06-29,264.70397963242135
1999-06-30,280.8468324847215
1999-07-01,293.9842004141531
1999-07-02,274.4826707221238
1999-07-05,283.54739994978996
1999-07-06,271.7195321022854
1999-07-07,268.1752027539847
1999-07-08,275.08168537078336
1999-07-09,286.5869529087548
1999-07-12,313.93653235042314
1999-07-13,313.5590746082593
1999-07-14,322.04477243793724
1999-07-15,322.5306201014765
1999-07-16,315.76418521840554
