Date,THAILAND IMI VALUE
1998-12-31,347.2152124696609
1999-01-01,347.2152124696609
1999-01-04,345.7873911191159
1999-01-05,368.30620757777064
1999-01-06,391.3443447321801
1999-01-07,394.3718511981525
1999-01-08,387.00123371600347
1999-01-11,390.9262901051225
1999-01-12,391.3019829767777
1999-01-13,364.7836184282765
1999-01-14,363.1767538528566
1999-01-15,367.0920488616737
1999-01-18,378.45169790724526
1999-01-19,379.6590078765766
1999-01-20,394.46843547037514
1999-01-21,383.7225356904736
1999-01-22,364.6495943653391
1999-01-25,354.1720139000531
1999-01-26,356.3817356968496
1999-01-27,367.1149321401398
1999-01-28,364.7840701546198
1999-01-29,357.96376848889037
1999-02-01,355.4867046296135
1999-02-02,341.8451129655172
1999-02-03,332.8541658875731
1999-02-04,334.58691529531853
1999-02-05,333.43071421728644
1999-02-08,324.2014762519669
1999-02-09,308.55825422360135
1999-02-10,304.9399920476607
1999-02-11,302.24460102997824
1999-02-12,334.76380359737453
1999-02-15,340.78520978023903
1999-02-16,344.2233408953419
1999-02-17,328.83013857750063
1999-02-18,330.064832608137
1999-02-19,332.1816058098242
1999-02-22,330.6546792277603
1999-02-23,332.22530354696585
1999-02-24,330.2207413729197
1999-02-25,323.9071507931345
1999-02-26,335.39700433949264
1999-03-01,336.92731345739713
1999-03-02,336.8229201582138
1999-03-03,338.033781646248
1999-03-04,333.8327582269161
1999-03-05,333.6567585297968
1999-03-08,337.53906404323794
1999-03-09,325.6350410083088
1999-03-10,327.46925474014023
1999-03-11,345.0386831457408
1999-03-12,346.58142130897704
1999-03-15,362.1435608199876
1999-03-16,359.5506798491886
1999-03-17,356.8427605142879
1999-03-18,365.1171240354426
1999-03-19,370.5800644904719
1999-03-22,368.2140750074664
1999-03-23,369.88643169731273
1999-03-24,365.3343780306278
1999-03-25,372.8132083719865
1999-03-26,377.5763595780098
1999-03-29,373.20842846695126
1999-03-30,369.0877222372445
1999-03-31,359.56183473179357
1999-04-01,365.69656985519003
1999-04-02,367.2527378758328
1999-04-05,365.95955153625437
1999-04-06,363.7006628977088
1999-04-07,375.14372323293765
1999-04-08,378.1867686654193
1999-04-09,381.26548669999494
1999-04-12,376.4916902785448
1999-04-13,379.1123697107997
1999-04-14,381.10959420661294
