Date,KOKUSAI INDEX (WORLD ex JP) IMI GROWTH
1998-12-31,854.4980918396942
1999-01-01,854.572763121251
1999-01-04,860.9785281670488
1999-01-05,872.962159327281
1999-01-06,894.3571674939409
1999-01-07,893.9566900083773
1999-01-08,902.131649256707
1999-01-11,898.9992207610305
1999-01-12,882.7597859646094
1999-01-13,860.3510767709756
1999-01-14,854.9079251631356
1999-01-15,879.0411553260644
1999-01-18,886.4629139279608
1999-01-19,892.0095035726529
1999-01-20,899.2793549838069
1999-01-21,882.9347781433333
1999-01-22,870.9226228181117
1999-01-25,878.8066944285673
1999-01-26,891.3334318298639
1999-01-27,896.087815659213
1999-01-28,914.2714707569257
1999-01-29,926.354762231567
1999-02-01,932.8285011772099
1999-02-02,922.4397482865736
1999-02-03,924.9252762812915
1999-02-04,914.0907959019169
1999-02-05,903.8314182443761
1999-02-08,904.931585466315
1999-02-09,878.9257933230637
1999-02-10,878.0760290473114
1999-02-11,902.6631367288788
1999-02-12,893.9655341920497
1999-02-15,897.5231084616112
1999-02-16,905.3591781527748
1999-02-17,889.6156966363939
1999-02-18,895.594045671865
1999-02-19,906.9229498320665
1999-02-22,929.9444999903235
1999-02-23,939.4711210178848
1999-02-24,935.6731281996592
1999-02-25,919.4855856416982
1999-02-26,917.0069478769828
1999-03-01,916.0417124680898
1999-03-02,911.2099467975539
1999-03-03,909.8274663392464
1999-03-04,925.0487609725669
1999-03-05,942.9714363658619
1999-03-08,948.5074534233357
1999-03-09,949.399795461047
1999-03-10,945.0135664092467
1999-03-11,960.0014871971773
1999-03-12,951.5579202358888
1999-03-15,958.1395088202826
1999-03-16,961.1918029737984
1999-03-17,948.8944458230773
1999-03-18,956.0438353720525
1999-03-19,955.125779072396
1999-03-22,952.1609538785144
1999-03-23,929.7653906924573
1999-03-24,929.22599056124
1999-03-25,950.5663358915306
1999-03-26,955.4364627590656
1999-03-29,975.6090502923158
1999-03-30,971.6342618770833
1999-03-31,966.3915231737606
1999-04-01,971.3036535306982
1999-04-02,973.1038795533099
1999-04-05,992.2770837801495
1999-04-06,993.1524490521327
1999-04-07,992.3449160430519
1999-04-08,999.4482639193898
1999-04-09,1008.0026554189543
1999-04-12,1005.3583395293064
1999-04-13,1009.2724839988922
1999-04-14,991.9143744011327
1999-04-15,985.1935286981002
1999-04-16,976.9159265577088
1999-04-19,959.1309235344622
1999-04-20,962.2110456694078
1999-04-21,989.7345890609334
1999-04-22,1009.0063051146325
1999-04-23,1007.7538539165133
1999-04-26,1021.2027851971504
1999-04-27,1018.8969638882684
1999-04-28,1005.1549149197946
1999-04-29,997.1147227138105
1999-04-30,999.2769314738239
1999-05-03,1005.3792009188056
1999-05-04,991.3387708898458
1999-05-05,991.403053774022
1999-05-06,974.1661638241682
1999-05-07,976.2864689496015
1999-05-10,977.9883358496573
1999-05-11,993.8983914020954
1999-05-12,1004.3943880186744
1999-05-13,1009.5390132287066
1999-05-14,985.2907071962438
1999-05-17,984.4527245764452
1999-05-18,987.8089968040558
1999-05-19,996.5805259111922
1999-05-20,997.1634400113954
1999-05-21,994.9738938229826
1999-05-24,977.7470992920754
1999-05-25,958.4207718603161
1999-05-26,975.7320395486488
1999-05-27,967.954900935405
1999-05-28,979.2648075173247
1999-05-31,982.4285052415373
1999-06-01,972.5427428311141
1999-06-02,983.4880173265205
1999-06-03,987.0164327227282
1999-06-04,1010.932575944367
1999-06-07,1019.1352691392003
1999-06-08,1001.0058427664524
1999-06-09,1006.2120965249117
1999-06-10,988.2195022133745
1999-06-11,984.4088629657429
1999-06-14,979.6180567468468
1999-06-15,984.0179626862307
1999-06-16,1014.2606724937127
1999-06-17,1022.45803656919
1999-06-18,1020.9211212107108
1999-06-21,1038.6968541248307
1999-06-22,1032.309990828237
1999-06-23,1029.1506083807108
1999-06-24,1015.7549803298331
1999-06-25,1005.4952812226754
1999-06-28,1021.8015721558423
1999-06-29,1036.4146704697207
1999-06-30,1049.6089853831368
1999-07-01,1067.2105073059897
1999-07-02,1079.10106314237
1999-07-05,1084.2973518998508
1999-07-06,1080.28159365275
1999-07-07,1082.8255222911985
1999-07-08,1087.1206482097944
1999-07-09,1091.092250276553
1999-07-12,1093.3339969077533
1999-07-13,1083.5376799892133
1999-07-14,1088.5113509628086
1999-07-15,1095.7237733092934
1999-07-16,1100.6643140113563
1999-07-19,1097.2097724890189
1999-07-20,1053.8921734858159
1999-07-21,1045.6436859606067
1999-07-22,1030.1456184512094
1999-07-23,1027.0763702755185
1999-07-26,1000.9476928428094
1999-07-27,1014.2558648427995
1999-07-28,1020.019508177827
1999-07-29,994.1965876115102
1999-07-30,996.2944111947189
1999-08-02,995.85916430405
1999-08-03,989.6349731380884
1999-08-04,970.5236632415898
1999-08-05,963.1582505864709
1999-08-06,959.1932653211561
1999-08-09,962.5731047865397
1999-08-10,948.8751521176748
1999-08-11,968.1559243821629
1999-08-12,975.9606134929245
1999-08-13,1001.6515394656554
1999-08-16,1007.2629768473782
1999-08-17,1018.1977738425032
1999-08-18,1012.0173969980327
1999-08-19,997.661254325339
1999-08-20,1007.2915171287492
1999-08-23,1030.9696511709678
1999-08-24,1037.7598398510236
1999-08-25,1059.658855526394
1999-08-26,1054.8368117433815
1999-08-27,1047.61803130854
1999-08-30,1038.0605478472883
1999-08-31,1024.1666955529845
1999-09-01,1028.7411079561705
1999-09-02,1012.2080467847079
1999-09-03,1046.06826154749
1999-09-06,1052.177608494702
1999-09-07,1050.4936112254659
1999-09-08,1046.1889514256811
1999-09-09,1055.8142141694857
1999-09-10,1068.1872073612183
1999-09-13,1066.4875304810844
1999-09-14,1059.840554776715
1999-09-15,1050.0512102347136
1999-09-16,1047.6037647259855
1999-09-17,1059.508466359684
1999-09-20,1064.0660932921824
1999-09-21,1042.382869787528
1999-09-22,1041.8593814868527
1999-09-23,1031.4654209662274
1999-09-24,1021.1871201984765
1999-09-27,1030.0696197079062
1999-09-28,1022.9375435331475
1999-09-29,1007.28815807108
1999-09-30,1009.8464959014128
1999-10-01,1006.0134150656773
1999-10-04,1021.9012849119613
1999-10-05,1028.4726963096807
1999-10-06,1041.2374744251563
1999-10-07,1041.5648232680664
1999-10-08,1059.7866401582623
1999-10-11,1064.2228823226196
1999-10-12,1043.7544323184923
1999-10-13,1020.0866220000337
1999-10-14,1014.7137092619622
1999-10-15,985.5907556273136
1999-10-18,980.2984126777275
1999-10-19,995.2124452561297
1999-10-20,1013.6891662139315
1999-10-21,1009.6498952440714
1999-10-22,1030.0930852907406
1999-10-25,1028.4723190650095
1999-10-26,1031.5030977953547
1999-10-27,1035.6366782232938
1999-10-28,1063.0314459815293
1999-10-29,1085.8923535975887
1999-11-01,1085.827204798746
1999-11-02,1083.4360441052725
1999-11-03,1094.9739122835367
1999-11-04,1107.8686321033797
1999-11-05,1120.1609983113883
1999-11-08,1128.9581152182582
1999-11-09,1122.884088413486
1999-11-10,1130.4384935299997
1999-11-11,1145.911804367883
1999-11-12,1157.6001247554043
1999-11-15,1162.3843812290063
1999-11-16,1178.058494342503
1999-11-17,1168.027547785823
1999-11-18,1190.9995069800236
1999-11-19,1193.7492547904128
1999-11-22,1191.2853506254478
1999-11-23,1188.1809096209956
1999-11-24,1206.3366441446904
1999-11-25,1216.0119750192669
1999-11-26,1229.2314279655704
1999-11-29,1230.824647312019
1999-11-30,1207.5641715462093
1999-12-01,1215.6938145771253
1999-12-02,1238.459293018111
1999-12-03,1263.9686899448118
1999-12-06,1250.961646848336
1999-12-07,1255.4004179185615
1999-12-08,1256.852483962593
1999-12-09,1268.853210115491
1999-12-10,1274.4231364059763
1999-12-13,1287.2413766091584
1999-12-14,1279.0018061089509
1999-12-15,1277.4928523476399
1999-12-16,1278.3070742344273
1999-12-17,1296.2255734625353
1999-12-20,1305.0506566403692
1999-12-21,1319.2323551910656
1999-12-22,1330.3714142011452
1999-12-23,1342.0391444145946
1999-12-24,1344.7720022293718
1999-12-27,1354.1181872321592
1999-12-28,1358.6847519792855
1999-12-29,1372.137473763031
1999-12-30,1381.3281275153192
1999-12-31,1385.681215894424
2000-01-03,1378.7591852819635
2000-01-04,1304.1473569112122
2000-01-05,1277.1702854388884
2000-01-06,1247.4699990777897
2000-01-07,1299.7498293857357
2000-01-10,1339.781853964559
2000-01-11,1316.5375015683242
2000-01-12,1307.5795240714567
2000-01-13,1330.8801182056943
2000-01-14,1372.1127205615435
2000-01-17,1384.3893913920251
2000-01-18,1376.1181483891025
2000-01-19,1380.547115645877
2000-01-20,1385.568676002072
2000-01-21,1389.9635618828474
2000-01-24,1371.7168414594353
2000-01-25,1368.9228198827548
2000-01-26,1370.3806192030058
2000-01-27,1383.1548292153843
2000-01-28,1363.0532591941758
2000-01-31,1363.0798100572993
2000-02-01,1395.686549793873
2000-02-02,1413.1150959631113
2000-02-03,1432.6835327095891
2000-02-04,1447.5526650707554
2000-02-07,1452.8834785048825
2000-02-08,1477.549141087784
2000-02-09,1464.0293485430022
2000-02-10,1480.1232371611802
2000-02-11,1466.6585911490924
2000-02-14,1470.9125733647088
2000-02-15,1458.220264850165
2000-02-16,1455.0485527147562
2000-02-17,1467.5795338948071
2000-02-18,1443.1872958913273
2000-02-21,1433.6255061659876
2000-02-22,1411.495124533865
2000-02-23,1445.4241507955846
2000-02-24,1465.9229048644897
2000-02-25,1485.8855469477428
2000-02-28,1491.734985806037
2000-02-29,1521.002765504253
2000-03-01,1539.3165985679766
2000-03-02,1552.1735065289258
2000-03-03,1594.58874651323
2000-03-06,1600.0184502678114
2000-03-07,1577.6423816970837
2000-03-08,1577.7299923401756
2000-03-09,1599.253584900258
2000-03-10,1610.0553241865261
2000-03-13,1570.665885701627
2000-03-14,1545.9148311106082
2000-03-15,1511.6125664564963
2000-03-16,1538.774475184332
2000-03-17,1567.8401608601655
2000-03-20,1554.5770781873875
2000-03-21,1566.8457509562943
2000-03-22,1599.3706551372381
2000-03-23,1601.0044522465707
2000-03-24,1616.0165825311906
2000-03-27,1618.951410196014
2000-03-28,1603.5354153239532
2000-03-29,1594.5812733244518
2000-03-30,1541.8346590430208
2000-03-31,1554.6390534373961
2000-04-03,1505.4856889489654
2000-04-04,1485.554028766051
2000-04-05,1463.7906878703686
2000-04-06,1510.409075650618
2000-04-07,1548.5087583174497
2000-04-10,1514.813063038582
2000-04-11,1473.7219388706014
2000-04-12,1430.3503618578793
2000-04-13,1406.7355343244042
2000-04-14,1323.1114864598062
2000-04-17,1351.1146075154809
2000-04-18,1410.1062607697174
2000-04-19,1417.1832571767611
2000-04-20,1416.5929095623046
2000-04-21,1416.8416471940595
2000-04-24,1395.072966900004
2000-04-25,1451.1611512802479
2000-04-26,1453.8368542583064
2000-04-27,1480.1120827916443
2000-04-28,1500.8703283670984
2000-05-01,1520.1438489344566
2000-05-02,1507.5635515595009
2000-05-03,1491.336305174078
2000-05-04,1490.3538065154676
2000-05-05,1510.8047190554644
2000-05-08,1482.6942552786284
