Date,EUROPE ex EMU IMI GROWTH
2007-05-31,1000.0
2007-06-01,1009.336075244311
2007-06-04,1006.2221822361188
2007-06-05,999.1916128815129
2007-06-06,984.5071173064582
2007-06-07,970.7613544156768
2007-06-08,969.2391559433038
2007-06-11,980.3854955302241
2007-06-12,977.741299640423
2007-06-13,982.6568689219098
2007-06-14,995.7607579354607
2007-06-15,1007.3249505598159
2007-06-18,1005.1643925604694
2007-06-19,999.2311614118452
2007-06-20,1002.6598392943947
2007-06-21,993.1294030401925
2007-06-22,990.1307406861571
2007-06-25,989.129401487578
2007-06-26,985.2224831229229
2007-06-27,982.6890438079674
2007-06-28,992.3999323761009
2007-06-29,996.6398115766353
2007-07-02,994.0163739542448
2007-07-03,1004.3601553383683
2007-07-04,1009.2377927171078
2007-07-05,1004.8157589510283
2007-07-06,1008.3865535937869
2007-07-09,1013.5547838440463
2007-07-10,1003.1671665877975
2007-07-11,1005.7844182434038
2007-07-12,1014.8916612914227
2007-07-13,1018.2757453337668
2007-07-16,1019.1031956060633
2007-07-17,1012.5037274218564
2007-07-18,1001.1222201146677
2007-07-19,1013.2347879656434
2007-07-20,1007.0952181245842
2007-07-23,1011.763437216546
2007-07-24,996.5627854337631
2007-07-25,988.7185533433191
2007-07-26,957.6676345861814
2007-07-27,951.0009708859602
2007-07-30,951.2407060339087
2007-07-31,973.4632785992727
2007-08-01,960.5566872835517
2007-08-02,964.6471400921984
2007-08-03,953.2188927129059
2007-08-06,942.6269020198121
2007-08-07,953.300786805714
2007-08-08,973.1012517938075
2007-08-09,959.3565081115651
2007-08-10,926.4428797818393
2007-08-13,947.8032746087615
2007-08-14,935.9982681168811
2007-08-15,934.9428321244133
2007-08-16,897.0231935492772
2007-08-17,914.2554245650962
2007-08-20,922.7590291888666
2007-08-21,922.4512385318772
2007-08-22,943.2630732575067
2007-08-23,946.79281972359
2007-08-24,951.8253287257286
2007-08-27,954.1962401018588
2007-08-28,937.953767052556
2007-08-29,943.0114190945546
2007-08-30,955.1064623084488
2007-08-31,969.8727704549251
2007-09-03,972.4677928618072
2007-09-04,979.1638361384911
2007-09-05,963.4977234278532
2007-09-06,968.5080653985032
2007-09-07,949.4044197797093
2007-09-10,938.2650535066546
2007-09-11,957.5705775071241
2007-09-12,961.0589542913174
2007-09-13,968.980583950126
