Date,EAFE IMI GROWTH
1998-12-31,735.4696444315108
1999-01-01,735.5978977639902
1999-01-04,748.4940000797819
1999-01-05,753.7618969357073
1999-01-06,766.5579321400854
1999-01-07,768.5517880869601
1999-01-08,772.4041818585495
1999-01-11,769.1654048400231
1999-01-12,756.9754942279078
1999-01-13,729.1118935742367
1999-01-14,734.3701980578873
1999-01-15,744.1919454233589
1999-01-18,757.6995446594074
1999-01-19,756.987273389038
1999-01-20,765.2325819701397
1999-01-21,761.7182970339442
1999-01-22,746.2943957731894
1999-01-25,748.4458028394672
1999-01-26,751.5530700613738
1999-01-27,755.5512032708814
1999-01-28,759.8187833406387
1999-01-29,766.6370449039327
1999-02-01,777.5371598953617
1999-02-02,775.6537673054655
1999-02-03,767.9230853064827
1999-02-04,768.1509100295547
1999-02-05,761.9613529318711
1999-02-08,757.398776766708
1999-02-09,744.7448970753652
1999-02-10,739.2116224502665
1999-02-11,746.7974960714344
1999-02-12,753.8935972211063
1999-02-15,755.6690746008844
1999-02-16,755.5853885663391
1999-02-17,749.1486670067613
1999-02-18,748.0866690581053
1999-02-19,753.0052826440557
1999-02-22,765.7112601164167
1999-02-23,772.549113753428
1999-02-24,779.4897425981496
1999-02-25,771.053843173745
1999-02-26,770.5497392217787
1999-03-01,762.7770791037092
1999-03-02,759.6037091733882
1999-03-03,755.7099797792965
1999-03-04,758.7473417920714
1999-03-05,776.9587129820483
1999-03-08,776.375187535892
1999-03-09,782.7186367425608
1999-03-10,785.3156882497885
1999-03-11,793.9428975061081
1999-03-12,793.4032343675512
1999-03-15,796.1162792883019
1999-03-16,802.9266917152897
1999-03-17,798.0342109571025
1999-03-18,792.7435784814795
1999-03-19,807.6525478562095
1999-03-22,803.5648113087677
1999-03-23,794.1194787031319
1999-03-24,783.383206499371
1999-03-25,795.5280438431128
1999-03-26,798.9437691997234
1999-03-29,806.687771263236
1999-03-30,804.571651325492
1999-03-31,811.1128870221164
1999-04-01,816.0840325769034
1999-04-02,816.640514238224
1999-04-05,817.1668855505782
1999-04-06,826.8981539113186
1999-04-07,828.7519983598833
1999-04-08,832.9609764642532
1999-04-09,837.7231957741798
1999-04-12,831.3105902034913
1999-04-13,842.6556886642879
1999-04-14,844.9720822909921
1999-04-15,836.834386104283
1999-04-16,835.0575436511342
1999-04-19,842.9385727447556
1999-04-20,826.1306215645088
1999-04-21,825.9487782084551
1999-04-22,835.5795003324486
1999-04-23,837.0650516227569
1999-04-26,844.8173988921748
1999-04-27,850.8092116022777
1999-04-28,851.6784238109262
1999-04-29,847.8562374981842
1999-04-30,849.2233838063337
1999-05-03,851.0835387428635
1999-05-04,847.2119362044525
1999-05-05,838.773829960002
1999-05-06,840.8985396644933
1999-05-07,833.9729721414675
1999-05-10,835.9842480669283
1999-05-11,835.5672092821277
1999-05-12,838.1390513774194
1999-05-13,841.1914897844657
1999-05-14,829.8455082380768
1999-05-17,813.4862114251323
1999-05-18,820.9311002122217
1999-05-19,817.9810729838928
1999-05-20,826.1476563762837
1999-05-21,829.4650781136754
1999-05-24,827.062224464205
1999-05-25,820.478118045324
1999-05-26,825.2322822359513
1999-05-27,820.9261603276149
1999-05-28,822.2679045455361
1999-05-31,824.1440784314823
1999-06-01,828.1284506822694
1999-06-02,834.7475525277165
1999-06-03,837.705631565845
1999-06-04,842.833502807575
1999-06-07,852.9635420761824
