Date,WORLD ex USA IMI GROWTH
1998-12-31,702.5542579421526
1999-01-01,702.6714327770254
1999-01-04,714.6817903208346
1999-01-05,720.4324223057953
1999-01-06,733.2414800134234
1999-01-07,735.1101939467733
1999-01-08,739.0081829561713
1999-01-11,736.1097751467491
1999-01-12,724.4327582015499
1999-01-13,697.955340874379
1999-01-14,702.6925411317931
1999-01-15,712.960622997951
1999-01-18,725.6576961731892
1999-01-19,724.8110726349554
1999-01-20,732.1511670061608
1999-01-21,728.9003102211971
1999-01-22,714.5569730677934
1999-01-25,716.8697204078901
1999-01-26,719.8595270307128
1999-01-27,723.7713278350034
1999-01-28,727.922323458524
1999-01-29,734.9060738252772
1999-02-01,745.0901111552776
1999-02-02,742.765756621742
1999-02-03,735.9423707069044
1999-02-04,736.3311385091458
1999-02-05,730.403802137012
1999-02-08,726.2928135530078
1999-02-09,713.5946102720359
1999-02-10,708.3527541531448
1999-02-11,715.9676363109243
1999-02-12,721.9975284078728
1999-02-15,723.9358746935566
1999-02-16,723.5082610707755
1999-02-17,717.2727935107112
1999-02-18,716.8256162085216
1999-02-19,721.8861920775558
1999-02-22,734.2423841478285
1999-02-23,740.3961591062817
1999-02-24,746.3015881182916
1999-02-25,738.0573150300249
1999-02-26,737.7156686527835
1999-03-01,730.521577865391
1999-03-02,727.2773888823493
1999-03-03,723.1996160060961
1999-03-04,726.7151743000477
1999-03-05,744.2773893630341
1999-03-08,744.2770835262495
1999-03-09,750.0021391678736
1999-03-10,752.651141075674
1999-03-11,760.8394690961287
1999-03-12,759.9214892528626
1999-03-15,762.5043642434006
1999-03-16,768.9471338773733
1999-03-17,764.1512415102899
1999-03-18,759.3966349979313
1999-03-19,773.2734369947967
1999-03-22,769.6987631023374
1999-03-23,760.453638762925
1999-03-24,750.9785162522005
1999-03-25,762.5125388025801
1999-03-26,766.2922177921001
1999-03-29,773.6573215026459
1999-03-30,771.1735411212787
1999-03-31,777.2480409192302
1999-04-01,782.1113011771415
1999-04-02,782.8619111267174
1999-04-05,784.2689303094828
1999-04-06,792.9355320227512
1999-04-07,794.5171800486896
1999-04-08,799.1406572500349
1999-04-09,803.2979169190653
1999-04-12,797.3172609709752
1999-04-13,807.925237386439
1999-04-14,810.0543353501961
1999-04-15,803.0783125634995
1999-04-16,801.67569446403
1999-04-19,808.4574660999899
1999-04-20,793.0176083641845
1999-04-21,793.7449336172932
