Date,FAR EAST IMI GROWTH
1998-12-31,901.259711890098
1999-01-01,901.2634805553906
1999-01-04,882.3882846446741
1999-01-05,877.2108822976933
1999-01-06,884.6525622753476
1999-01-07,911.6824289340977
1999-01-08,911.7013584619767
1999-01-11,925.3262048093299
1999-01-12,906.9496494630957
1999-01-13,877.0389241378438
1999-01-14,887.6298817375746
1999-01-15,893.5008936315129
1999-01-18,898.4328674844985
1999-01-19,901.3652582786747
1999-01-20,917.306652542647
1999-01-21,927.1737137534825
1999-01-22,912.825354820969
1999-01-25,912.715538163618
1999-01-26,919.6780097805695
1999-01-27,923.6427950180478
1999-01-28,917.3003654799825
1999-01-29,936.3980212837536
1999-02-01,946.0890382057114
1999-02-02,956.0139144482565
1999-02-03,944.7681097928955
1999-02-04,945.4002172734536
1999-02-05,933.9864646210445
1999-02-08,934.476554668235
1999-02-09,922.4082899648995
1999-02-10,916.3361381145249
1999-02-11,921.6830259836594
1999-02-12,930.3267987346904
1999-02-15,928.0609148832591
1999-02-16,918.208466207589
1999-02-17,907.9142508016893
1999-02-18,899.687063779095
1999-02-19,905.8757516858578
1999-02-22,925.4572008946847
1999-02-23,931.494512278346
1999-02-24,935.8859888620676
1999-02-25,943.6241356062251
1999-02-26,960.001128954588
1999-03-01,949.3056762312478
1999-03-02,932.2657965878559
1999-03-03,931.5037436034336
1999-03-04,930.5619802135066
1999-03-05,969.6393343514098
1999-03-08,972.8707355226945
1999-03-09,989.9282912548185
1999-03-10,1013.301002303364
1999-03-11,1024.8878473446505
1999-03-12,1021.9525534614456
1999-03-15,1044.7341243636054
1999-03-16,1072.9685863366722
1999-03-17,1073.3292099863654
1999-03-18,1057.9644079040495
1999-03-19,1102.66334680082
1999-03-22,1098.2371957254047
1999-03-23,1097.1327290234124
1999-03-24,1072.3137405752473
1999-03-25,1089.6301299152174
1999-03-26,1105.0224588711212
1999-03-29,1110.5210693644055
1999-03-30,1106.2730837309155
1999-03-31,1113.7166428926243
1999-04-01,1131.4953046865226
1999-04-02,1131.8654759082722
1999-04-05,1132.0151543558904
1999-04-06,1144.838730396127
1999-04-07,1144.8720529051334
1999-04-08,1157.7697619012997
1999-04-09,1169.6705617233063
1999-04-12,1148.9390906469832
1999-04-13,1170.0229358237912
1999-04-14,1190.1825650919113
1999-04-15,1186.374864779315
1999-04-16,1201.9702660781736
1999-04-19,1204.6072291093415
1999-04-20,1186.8409615175653
1999-04-21,1167.4681601720788
1999-04-22,1182.27731964924
1999-04-23,1198.0459028670903
1999-04-26,1214.7740276323586
1999-04-27,1205.0818082697333
1999-04-28,1214.5048243483066
1999-04-29,1218.795779443069
1999-04-30,1213.0778267634482
1999-05-03,1208.1137118205152
1999-05-04,1199.049073330441
1999-05-05,1191.8331186491673
