Date,WORLD IMI GROWTH
1998-12-31,858.2953456205497
1999-01-01,858.3623316349785
1999-01-04,862.1438145926093
1999-01-05,872.3474650552033
1999-01-06,891.969258287769
1999-01-07,894.2414498086899
1999-01-08,901.4908819700865
1999-01-11,900.303215785055
1999-01-12,883.5718991061385
1999-01-13,860.6046513662536
1999-01-14,857.1243618133958
1999-01-15,879.2175140161463
1999-01-18,886.1900439431249
1999-01-19,891.5734821022397
1999-01-20,899.8844153730149
1999-01-21,886.6320793380958
1999-01-22,874.5435171962436
1999-01-25,881.9090636968689
1999-01-26,893.8788488022527
1999-01-27,898.3232269074716
1999-01-28,914.1793726555787
1999-01-29,927.0190587594866
1999-02-01,933.8496259070704
1999-02-02,925.822395853727
1999-02-03,926.979590028472
1999-02-04,917.2222443230796
1999-02-05,906.9468016297017
1999-02-08,908.1057896015204
1999-02-09,883.4350522776084
1999-02-10,882.2458856775772
1999-02-11,904.6799137930553
1999-02-12,897.6277057537847
1999-02-15,900.5277628089849
1999-02-16,906.3901318391929
1999-02-17,891.1428375905148
1999-02-18,895.6348972260516
1999-02-19,906.48010687807
1999-02-22,929.2220753177103
1999-02-23,938.3570856158334
1999-02-24,935.1954556581816
1999-02-25,921.6695745082098
1999-02-26,921.0876549533359
1999-03-01,918.7427475572226
1999-03-02,912.5915944769173
1999-03-03,911.2528542633645
1999-03-04,924.6983107180952
1999-03-05,945.0461415454494
1999-03-08,950.4143597569681
1999-03-09,952.969588193854
1999-03-10,951.615596467057
1999-03-11,966.3216654778042
1999-03-12,958.3249666218582
1999-03-15,966.6923957761645
1999-03-16,972.5745843525232
1999-03-17,961.7378485404861
1999-03-18,966.6093300996577
1999-03-19,970.5761780526745
1999-03-22,967.3546113511937
1999-03-23,947.1459364379981
1999-03-24,944.1053727556767
1999-03-25,965.0745098668137
1999-03-26,971.1856725041989
1999-03-29,989.9556257649821
1999-03-30,985.660999061247
1999-03-31,981.8300284673435
1999-04-01,988.1371266613875
1999-04-02,989.7730612638396
1999-04-05,1006.8086279837984
1999-04-06,1009.0490624623485
1999-04-07,1007.9505174587005
1999-04-08,1015.820095500003
1999-04-09,1024.4590649388874
1999-04-12,1019.906032528114
1999-04-13,1025.614164539048
1999-04-14,1012.3433116420837
1999-04-15,1005.7604167526249
1999-04-16,999.618796940695
1999-04-19,983.2676062509729
1999-04-20,984.5539841164243
1999-04-21,1006.7478641138914
1999-04-22,1025.3900017764079
1999-04-23,1026.179559989712
1999-04-26,1039.9040778990457
1999-04-27,1036.6576129955477
1999-04-28,1025.6176051758778
1999-04-29,1018.9343101911552
1999-04-30,1019.7952521339939
1999-05-03,1024.6225192086313
1999-05-04,1010.7417705967857
1999-05-05,1009.8778453237398
1999-05-06,997.0771434712374
