Date,EAFE ex UK IMI GROWTH
1998-12-31,722.0499704266946
1999-01-01,722.2019613124013
1999-01-04,736.9221873088361
1999-01-05,740.2360929953409
1999-01-06,750.3480954357367
1999-01-07,753.4170717462656
1999-01-08,755.6822457149441
1999-01-11,752.8993938862146
1999-01-12,741.4690288950898
1999-01-13,713.1268731005774
1999-01-14,719.3399682644612
1999-01-15,727.9289677627793
1999-01-18,738.7417918143672
1999-01-19,739.5056371188598
1999-01-20,747.7561221999536
1999-01-21,744.9827059020311
1999-01-22,730.4645386203991
1999-01-25,731.6441274450362
1999-01-26,734.600402319408
1999-01-27,738.6718783090423
1999-01-28,742.72878815919
1999-01-29,750.0641412881769
1999-02-01,759.4850613073795
1999-02-02,758.415938957845
1999-02-03,752.2908989872924
1999-02-04,752.1195025634564
1999-02-05,747.7490519738265
1999-02-08,743.3280401107239
1999-02-09,729.4458994040995
1999-02-10,724.0176084803028
1999-02-11,729.7550033969894
1999-02-12,735.9540837359195
1999-02-15,736.2158358404927
1999-02-16,732.8588593778549
1999-02-17,726.5696626231667
1999-02-18,724.8396993816084
1999-02-19,729.9873460449206
1999-02-22,742.538401078703
1999-02-23,748.9998507664521
1999-02-24,754.7645328644734
1999-02-25,748.7602683508759
1999-02-26,749.2217176362486
1999-03-01,741.1692522125347
1999-03-02,736.7620786388943
1999-03-03,732.773050020649
1999-03-04,735.1216351405168
1999-03-05,754.9790719380017
1999-03-08,753.7309172335441
1999-03-09,759.1527031851185
1999-03-10,761.8526844349275
1999-03-11,769.2808350265142
1999-03-12,770.9115461044219
1999-03-15,776.8018777255566
1999-03-16,783.8909235481246
1999-03-17,781.121577280719
1999-03-18,775.6692019572615
1999-03-19,791.2500712838252
1999-03-22,786.5581508939636
1999-03-23,777.6908152163519
1999-03-24,765.6616248843967
1999-03-25,778.9438858678986
1999-03-26,780.6137914678487
1999-03-29,786.4580799929207
1999-03-30,784.0265737009612
1999-03-31,790.5558872108342
1999-04-01,795.3883802914262
1999-04-02,795.7940125577782
1999-04-05,795.6985235975166
1999-04-06,806.247637485404
1999-04-07,807.6899016162728
1999-04-08,813.3844432603406
1999-04-09,819.05600825397
1999-04-12,811.5061428725753
1999-04-13,821.9046088072412
1999-04-14,825.7367833818167
1999-04-15,819.013757283905
1999-04-16,819.6855625137082
1999-04-19,826.2789437969243
1999-04-20,811.0291716653625
1999-04-21,810.3165137350977
1999-04-22,818.1824595431497
1999-04-23,820.1727960595219
1999-04-26,827.6277885971151
1999-04-27,833.2902289280102
1999-04-28,834.9695249917676
1999-04-29,833.8340140608237
1999-04-30,834.7705474782864
1999-05-03,836.7700801812143
1999-05-04,832.5888937879014
1999-05-05,825.9989171571092
1999-05-06,829.0713218493869
1999-05-07,822.8485451174588
1999-05-10,824.8357368305477
1999-05-11,823.5609676980567
1999-05-12,826.5343440212155
1999-05-13,826.5188699022782
1999-05-14,817.2407547252855
1999-05-17,801.4726973262818
1999-05-18,808.8291948319866
1999-05-19,804.2746232053981
1999-05-20,811.1385111966703
1999-05-21,815.7777178723253
1999-05-24,815.5005890784676
1999-05-25,808.8396610664637
1999-05-26,813.9225467815963
1999-05-27,809.1058845648644
1999-05-28,809.3130644845655
1999-05-31,811.0163705887187
1999-06-01,815.5109546717143
1999-06-02,820.3500338198066
1999-06-03,823.3154741887573
1999-06-04,828.5530278126956
1999-06-07,838.9685851598612
1999-06-08,841.5276327153551
1999-06-09,847.4554902321836
1999-06-10,844.6785433612399
1999-06-11,852.5366061843962
1999-06-14,846.5244716629104
1999-06-15,847.5587369326086
1999-06-16,858.0023749183084
1999-06-17,867.6432036772673
1999-06-18,865.5154320276981
1999-06-21,877.8265574829736
1999-06-22,880.3815344872883
1999-06-23,873.1447422155597
1999-06-24,866.940525406811
1999-06-25,864.2275271808309
1999-06-28,871.5591592891378
1999-06-29,879.7765781450053
1999-06-30,878.5952186923943
1999-07-01,902.997429311735
1999-07-02,912.5974713200613
1999-07-05,924.8218613393012
1999-07-06,919.770958205793
1999-07-07,914.8337408163286
1999-07-08,909.9269987232509
1999-07-09,909.8083452712137
1999-07-12,919.0681430999533
1999-07-13,914.0328205252795
1999-07-14,917.7645355268546
1999-07-15,927.4735897340267
1999-07-16,923.6635202506227
1999-07-19,932.561087855277
1999-07-20,915.4054544072084
1999-07-21,901.8787545744791
1999-07-22,890.7382203999292
1999-07-23,883.912094457094
1999-07-26,872.3388647063166
1999-07-27,872.6286225859692
1999-07-28,880.4682622791171
1999-07-29,876.0946982895622
1999-07-30,885.2169512344592
1999-08-02,883.5223558804489
1999-08-03,885.1460975765618
1999-08-04,875.2723272151533
1999-08-05,855.4795636683201
1999-08-06,853.53322264096
1999-08-09,860.1981580324625
1999-08-10,854.0102607053566
1999-08-11,856.5034171259496
1999-08-12,871.2048579484873
1999-08-13,880.9609717439897
1999-08-16,896.198493833607
1999-08-17,905.6915412689073
1999-08-18,913.6688657575725
1999-08-19,904.8473318015543
1999-08-20,912.8313556788723
1999-08-23,920.1247594879648
1999-08-24,922.9682796230601
1999-08-25,932.6309349086198
1999-08-26,929.9005983606576
1999-08-27,930.7315346595658
1999-08-30,936.8331839367203
1999-08-31,921.648823384631
1999-09-01,934.1179504592016
1999-09-02,923.8291708655992
1999-09-03,935.8214690059768
1999-09-06,950.5345768168703
1999-09-07,945.3190174852045
1999-09-08,945.6208506268476
1999-09-09,960.8385471958297
1999-09-10,971.6059632652572
1999-09-13,989.0504359931508
1999-09-14,984.2750506080748
1999-09-15,987.4537392684705
1999-09-16,970.4159476007632
1999-09-17,965.1065444093713
1999-09-20,974.4217384836126
1999-09-21,975.5890023588108
1999-09-22,960.2051166657162
1999-09-23,966.3742347793208
1999-09-24,940.280352533298
1999-09-27,938.2080401652802
1999-09-28,944.4653086820007
1999-09-29,934.1388395330744
1999-09-30,944.3993849383896
1999-10-01,951.1020382485658
1999-10-04,953.7830936690278
1999-10-05,956.252083355842
1999-10-06,957.2191226012773
1999-10-07,963.3055359468075
1999-10-08,970.7149498896733
1999-10-11,975.1471936226881
1999-10-12,974.7526859162722
1999-10-13,959.7026220174545
1999-10-14,957.9639282666227
1999-10-15,940.6757537006921
1999-10-18,918.6175223239287
1999-10-19,929.9361096497101
1999-10-20,945.7859868937346
1999-10-21,941.9184032645999
1999-10-22,962.4647044614552
1999-10-25,970.888162522378
1999-10-26,981.6904690948782
1999-10-27,982.0500200038374
1999-10-28,992.9226104699287
1999-10-29,1014.4398118784549
1999-11-01,1018.6815864993249
1999-11-02,1022.9230684914526
