Date,WORLD ex EUROPE IMI GROWTH
1998-12-31,916.2060939947402
1999-01-01,916.2067612224705
1999-01-04,908.646977111564
1999-01-05,919.1952244877269
1999-01-06,941.1981360512499
1999-01-07,948.3754141793246
1999-01-08,956.4744434853972
1999-01-11,959.910660045543
1999-01-12,940.38257454641
1999-01-13,921.1911000028031
1999-01-14,913.4077359459524
1999-01-15,941.1046631804458
1999-01-18,942.1627320811705
1999-01-19,952.0141534594677
1999-01-20,961.3275466849835
1999-01-21,945.3263458151763
1999-01-22,936.325390549624
1999-01-25,945.9705189427619
1999-01-26,963.2292395486539
1999-01-27,967.9335807116455
1999-01-28,988.2782287922852
1999-01-29,1006.5240473146906
1999-02-01,1010.981849973594
1999-02-02,1001.59109315232
1999-02-03,1007.7315792232524
1999-02-04,992.972082255577
1999-02-05,979.9861070890863
1999-02-08,985.490147762573
1999-02-09,954.840053847052
1999-02-10,955.9150863866091
1999-02-11,985.8590917014451
1999-02-12,970.892402947168
1999-02-15,973.3698702567765
1999-02-16,980.4426842380943
1999-02-17,960.3425793222777
1999-02-18,966.7213415450221
1999-02-19,981.4571113864888
1999-02-22,1010.143189865458
1999-02-23,1019.7610847922703
1999-02-24,1009.9097829734729
1999-02-25,996.4073876393352
1999-02-26,998.4907195835118
1999-03-01,999.6831291544844
1999-03-02,989.6879200790141
1999-03-03,990.7677192591029
1999-03-04,1009.1020257320449
1999-03-05,1033.213069762528
1999-03-08,1042.8127531201653
1999-03-09,1044.7997422963017
1999-03-10,1044.667571920457
1999-03-11,1062.812648141807
1999-03-12,1050.2120795568944
1999-03-15,1065.1063988772746
1999-03-16,1073.6136327009276
1999-03-17,1060.4083563485642
1999-03-18,1069.5631159177547
1999-03-19,1071.72242198302
1999-03-22,1069.329570146207
1999-03-23,1045.5933124926416
1999-03-24,1044.9537472317352
1999-03-25,1070.8446473932038
1999-03-26,1080.551534421912
1999-03-29,1104.2696677952254
1999-03-30,1098.418234743071
1999-03-31,1088.4310024568836
1999-04-01,1097.6390236055315
1999-04-02,1099.7227422595038
1999-04-05,1125.7998508125993
1999-04-06,1124.0452513988532
1999-04-07,1120.8378827415206
1999-04-08,1131.9259991887882
1999-04-09,1143.9112769398253
