Date,EUROPE ex UK IMI GROWTH
1998-12-31,702.4949570972273
1999-01-01,702.7242851425661
1999-01-04,731.596058819153
1999-01-05,738.8953259670413
1999-01-06,750.0834994163279
1999-01-07,743.1781702022718
1999-01-08,746.7046062319744
1999-01-11,736.6634412571882
1999-01-12,726.8170784583859
1999-01-13,697.2259890909546
1999-01-14,702.5060483623514
1999-01-15,712.6236523680135
1999-01-18,726.4256123327963
1999-01-19,725.6002477844195
1999-01-20,731.3417412596029
1999-01-21,723.3020154307786
1999-01-22,707.2695241140153
1999-01-25,709.1874163904507
1999-01-26,711.0977696583772
1999-01-27,714.9895763039966
1999-01-28,722.985884940222
1999-01-29,725.7407165433486
1999-02-01,734.12847692468
1999-02-02,729.0846075068655
1999-02-03,724.052121715812
1999-02-04,722.4991721133814
1999-02-05,720.3413856857657
1999-02-08,713.6292084358877
1999-02-09,698.2265892318946
1999-02-10,693.4248685849719
1999-02-11,699.3477713562072
1999-02-12,704.9965508488809
1999-02-15,706.6885090874508
1999-02-16,706.196802542478
1999-02-17,700.2665624887128
1999-02-18,700.834746031636
1999-02-19,704.5029791980861
1999-02-22,715.4824685141907
1999-02-23,723.1606328359713
1999-02-24,730.4668157022699
1999-02-25,719.8791801989994
1999-02-26,714.8899884810965
1999-03-01,705.8275367020138
1999-03-02,705.7982520434472
1999-03-03,699.6954475121357
1999-03-04,703.3958264197281
1999-03-05,717.5602932841964
1999-03-08,713.8707962174332
1999-03-09,715.1687811800425
1999-03-10,710.2960138984574
1999-03-11,716.4970303445516
1999-03-12,720.390564294605
1999-03-15,720.2770758646194
1999-03-16,720.2707779130329
1999-03-17,716.841043187783
1999-03-18,714.4448323097062
1999-03-19,720.3786232414723
1999-03-22,714.7800484487523
1999-03-23,701.3512035359183
1999-03-24,693.1915739139345
1999-03-25,706.3672891847903
1999-03-26,702.291977464927
1999-03-29,709.2608169102032
1999-03-30,707.5544226376552
1999-03-31,714.7922704760394
1999-04-01,714.5310079509698
1999-04-02,715.1537578927946
1999-04-05,714.758894526155
1999-04-06,725.1258825291937
1999-04-07,727.3633296337923
1999-04-08,730.946574020206
1999-04-09,734.1586647515026
1999-04-12,731.3562429216156
1999-04-13,737.664266228579
1999-04-14,735.6513084819646
1999-04-15,726.8290159448518
1999-04-16,721.4784706432446
1999-04-19,729.6950122642652
1999-04-20,713.7467530172065
1999-04-21,720.713559330126
1999-04-22,725.8091356987309
1999-04-23,722.2963654689343
1999-04-26,727.085243577433
1999-04-27,739.0749428984794
1999-04-28,737.5538245333287
1999-04-29,734.429851518912
1999-04-30,737.9734250266049
1999-05-03,743.460131236965
1999-05-04,741.314349603778
1999-05-05,735.3694503642134
1999-05-06,731.103577759525
1999-05-07,730.2780937540236
1999-05-10,731.1041995437395
1999-05-11,732.0722587667995
1999-05-12,731.3981657892588
1999-05-13,733.9741645285552
1999-05-14,725.488271637594
1999-05-17,713.7502763058947
1999-05-18,722.1921140435503
1999-05-19,730.2310635536076
1999-05-20,736.6188591387399
1999-05-21,737.5160109066402
1999-05-24,734.4250042503485
1999-05-25,727.5648337936163
1999-05-26,727.4040025163424
1999-05-27,719.8794543932213
1999-05-28,719.7832964160197
1999-05-31,723.3020091689141
1999-06-01,721.0552434200359
1999-06-02,722.1922822603264
1999-06-03,728.3406187545447
1999-06-04,733.5907668645657
1999-06-07,741.5076604893347
1999-06-08,742.9503659949506
1999-06-09,746.5928594292021
1999-06-10,738.0158845541871
1999-06-11,742.3267406233392
1999-06-14,739.0395062401333
1999-06-15,740.8265127758344
1999-06-16,748.545881885522
1999-06-17,752.0784261243498
