Date,JAPAN GROWTH
1998-12-31,100.00000000000001
1999-01-29,103.61797742773436
1999-02-26,105.8410838624011
1999-03-31,121.03190896338914
1999-04-30,128.46756128443295
1999-05-31,124.06607928908846
1999-06-30,137.8558574792712
1999-07-30,147.36003375251573
1999-08-31,147.04062873780603
1999-09-30,156.51246609997753
1999-10-29,167.50915279173634
1999-11-30,191.41119143752042
1999-12-31,209.83727056032131
2000-01-31,199.96096325944313
2000-02-29,204.81644832691637
2000-03-31,213.4525536864772
2000-04-28,199.30840993783355
2000-05-31,177.85671487498135
2000-06-30,184.83487293848435
2000-07-31,166.11544037569712
2000-08-31,190.35948496797928
2000-09-29,174.31179809933
2000-10-31,161.9708706081452
2000-11-30,152.3655547946456
2000-12-29,127.6320666866265
2001-01-01,127.6320666866265
2001-01-02,126.14768779255569
2001-01-03,126.48928275109185
2001-01-04,126.56647780957444
2001-01-05,126.00947399198114
2001-01-08,126.2211023038257
2001-01-09,124.67865196955859
2001-01-10,123.80938026101964
2001-01-11,119.96445706412442
2001-01-12,121.4335526402704
2001-01-15,123.00701091202365
2001-01-16,125.99247759765711
2001-01-17,128.2130178700613
2001-01-18,127.74401811399503
2001-01-19,131.88384544652956
2001-01-22,131.8671573070818
2001-01-23,130.24755858639875
2001-01-24,130.97724688276656
2001-01-25,132.36634832044146
2001-01-26,131.1230820299204
2001-01-29,132.1199115397837
2001-01-30,130.78097283158058
2001-01-31,130.66305616352423
2001-02-01,129.9541444794563
2001-02-02,129.02808895149647
2001-02-05,126.34232195389514
2001-02-06,126.66115867949279
2001-02-07,126.38201268187778
2001-02-08,127.0643310573755
2001-02-09,126.00101685565737
2001-02-12,125.2691619658859
2001-02-13,125.71875418590223
2001-02-14,125.12379081889151
2001-02-15,128.36619920287316
2001-02-16,126.43011591217599
2001-02-19,124.30660954503229
2001-02-20,127.5561954141377
2001-02-21,124.20169295842747
2001-02-22,124.56772273655858
2001-02-23,126.0677352635155
2001-02-26,125.60016120980472
2001-02-27,123.94893981864402
2001-02-28,120.91190611689086
2001-03-01,117.17203970581451
2001-03-02,112.29049721344715
2001-03-05,113.30089393228128
