Date,SINGAPORE GROWTH
1998-12-31,100.0
1999-01-29,101.77686330135604
1999-02-26,103.16643685972606
1999-03-31,108.67832289822135
1999-04-30,140.91359148182556
1999-05-31,134.21639540096567
1999-06-30,149.5576630866821
1999-07-30,147.61881776409925
1999-08-31,145.6386256172856
1999-09-30,143.33871921122537
1999-10-29,155.42101185052562
1999-11-30,168.29639696599503
1999-12-31,189.2039423558067
2000-01-31,170.31536707534732
2000-02-29,155.4777554621652
2000-03-31,146.9340050200591
2000-04-28,160.11715138859032
2000-05-31,128.4592373055806
2000-06-30,137.37724083750328
2000-07-31,136.65878401458733
2000-08-31,149.50658076011447
2000-09-29,134.92478879943482
2000-10-31,137.831455257382
2000-11-30,130.10113297323102
2000-12-29,115.9326463320671
2001-01-01,115.9326463320671
2001-01-02,112.87137740260067
2001-01-03,111.68878524448732
2001-01-04,115.34011091619564
2001-01-05,117.81890722775975
2001-01-08,115.98109617327765
2001-01-09,119.65670129108146
2001-01-10,117.50599235978972
2001-01-11,114.68679816299317
2001-01-12,117.21154541143515
2001-01-15,119.06742567447684
2001-01-16,117.91008058698108
2001-01-17,118.35957237577165
2001-01-18,115.07770041968772
2001-01-19,118.6733653363519
2001-01-22,117.80486032665932
2001-01-23,117.13731673951746
2001-01-24,119.21896813955873
2001-01-25,119.67871590284797
2001-01-26,118.47470954439777
2001-01-29,119.95130015877753
2001-01-30,119.3612981883754
2001-01-31,121.12681802676158
2001-02-01,119.02476509689805
2001-02-02,119.09977024869613
2001-02-05,116.72856520535845
2001-02-06,117.9247479318211
2001-02-07,117.85934638366516
2001-02-08,123.03019758708065
2001-02-09,121.70364224000588
2001-02-12,122.02287988911671
2001-02-13,123.40567684817727
2001-02-14,121.89932941258328
2001-02-15,123.7029317667125
2001-02-16,122.09893195050807
2001-02-19,119.30118902429628
2001-02-20,122.84222470961889
2001-02-21,121.39588256678898
2001-02-22,120.03775996431989
2001-02-23,120.37168198992572
2001-02-26,121.1670428497907
2001-02-27,118.20306533984996
2001-02-28,117.60948843252882
2001-03-01,114.85995628124948
2001-03-02,113.78176467130154
2001-03-05,113.48725009452451
2001-03-06,113.4133342157581
2001-03-07,113.66453094568068
2001-03-08,113.08220717205145
2001-03-09,112.48590420583821
2001-03-12,110.52847451592497
2001-03-13,108.2679333376351
2001-03-14,108.08938831348905
2001-03-15,108.7102092315293
2001-03-16,107.81215536514351
2001-03-19,105.53157678547055
2001-03-20,104.21173931771736
2001-03-21,104.1993654749311
2001-03-22,103.3824317129195
2001-03-23,104.95456214776986
2001-03-26,103.57572137390905
2001-03-27,98.41783305173237
2001-03-28,97.56131123664466
2001-03-29,95.9830044545157
2001-03-30,98.23391948976277
2001-04-02,95.47935453132517
2001-04-03,95.75469612709331
2001-04-04,93.66233936305318
2001-04-05,96.54853390967061
2001-04-06,96.19884366281644
2001-04-09,91.15797443896284
2001-04-10,94.17026764677348
2001-04-11,95.1063126103767
2001-04-12,90.971114492812
