Date,NORWAY GROWTH
1998-12-31,100.0
1999-01-29,111.2355101515826
1999-02-26,105.4475376656375
1999-03-31,110.99495148519063
1999-04-30,119.12360187389811
1999-05-31,118.57325091791634
1999-06-30,116.88944163567012
1999-07-30,113.60233872364623
1999-08-31,116.2727727171451
1999-09-30,117.0022420892477
1999-10-29,113.54332424682609
1999-11-30,121.89504270878487
1999-12-31,134.58121429595855
2000-01-31,129.15315131076818
2000-02-29,132.05967834947919
2000-03-31,131.58726752333422
2000-04-28,130.5791010226864
2000-05-31,132.08571855969177
2000-06-30,139.89697064078615
2000-07-31,146.91277718571843
2000-08-31,154.0459550866635
2000-09-29,156.23354003787773
2000-10-31,159.03496372977216
2000-11-30,151.5531047301323
2000-12-29,145.03912475207485
2001-01-01,145.03912475207485
2001-01-02,146.93225019726427
2001-01-03,142.9609603333363
2001-01-04,146.65992944517458
2001-01-05,147.80464792239735
2001-01-08,147.87085972347873
2001-01-09,147.11953969116968
2001-01-10,147.00214195799876
2001-01-11,145.64532877733785
2001-01-12,145.79807474626725
2001-01-15,147.11123703637116
2001-01-16,146.42404675837057
2001-01-17,150.049901071056
2001-01-18,148.4306169850031
2001-01-19,148.63528514420634
2001-01-22,147.8042893953185
2001-01-23,147.54625222100287
2001-01-24,150.98084505845188
2001-01-25,149.86687471710852
2001-01-26,150.7373161680948
2001-01-29,149.54148487774341
2001-01-30,152.54592663588517
2001-01-31,153.969499109249
2001-02-01,154.46184395649357
2001-02-02,155.22032080683223
2001-02-05,153.74555248931645
2001-02-06,156.2931744428276
2001-02-07,154.56542738669188
2001-02-08,155.02461394818351
2001-02-09,153.68424832890094
2001-02-12,149.79639673508865
2001-02-13,150.53233252798506
2001-02-14,148.38580301038505
2001-02-15,148.06842390804667
2001-02-16,147.8087470546315
2001-02-19,150.09310085598966
2001-02-20,148.93274590304608
2001-02-21,148.8441983941503
2001-02-22,149.7592279975763
2001-02-23,148.70127681892774
2001-02-26,149.93984380669983
2001-02-27,149.6825449975753
2001-02-28,148.90091573527795
2001-03-01,145.71896713588876
2001-03-02,146.31217420208384
2001-03-05,148.85396683344842
2001-03-06,153.8162398478792
2001-03-07,152.35523644264987
2001-03-08,152.37716435956105
2001-03-09,151.8521992234284
2001-03-12,148.74900899946851
2001-03-13,146.31505251225488
2001-03-14,142.0625004581456
2001-03-15,144.1517090023895
2001-03-16,142.77165303765102
2001-03-19,141.43242490760994
2001-03-20,143.30409038538545
2001-03-21,141.57125202550668
2001-03-22,137.4343017802856
2001-03-23,136.83605869469167
2001-03-26,138.59931808105296
2001-03-27,140.69258507220908
2001-03-28,139.7815546870122
2001-03-29,140.55290318312464
2001-03-30,143.4703471541321
2001-04-02,143.21982158720814
2001-04-03,140.3502648833293
2001-04-04,138.47338489895057
2001-04-05,142.599008348301
2001-04-06,141.82655865025166
2001-04-09,141.46890723452287
2001-04-10,146.12769603583683
2001-04-11,147.015635704777
2001-04-12,146.94957699371062
2001-04-13,146.94957699371062
2001-04-16,146.9581173105068
2001-04-17,146.4883806117124
2001-04-18,149.49803162565993
2001-04-19,146.50967614526516
2001-04-20,145.15748475580045
2001-04-23,146.04145735946807
2001-04-24,149.26143914084625
2001-04-25,148.7902469086289
2001-04-26,148.42392772832753
2001-04-27,151.26495001408026
2001-04-30,153.19108447662023
2001-05-01,153.2830672356311
2001-05-02,153.20278913184714
2001-05-03,149.9252247100876
2001-05-04,149.79275715930456
2001-05-07,151.25479254017756
2001-05-08,151.877704570811
2001-05-09,150.1650906086136
2001-05-10,151.42611084289982
2001-05-11,152.6258038818255
2001-05-14,149.8925643165647
2001-05-15,150.45772008391808
2001-05-16,149.96967274527935
2001-05-17,150.49509189128713
2001-05-18,152.687063306374
2001-05-21,155.41733745139325
2001-05-22,156.38368965062062
2001-05-23,155.62246601778628
2001-05-24,156.28685310126866
2001-05-25,159.25483887076274
2001-05-28,158.91530578825842
2001-05-29,158.1153124224075
