Date,ACWI QUALITY
1994-06-30,191.46287257
1994-07-29,198.1061312
1994-08-31,207.93659424
1994-09-30,203.23362569
1994-10-31,209.49627792
1994-11-30,203.69627808
1994-12-30,204.00750107
1995-01-31,204.16676257
1995-02-28,210.88832824
1995-03-31,219.48566632
1995-04-28,225.31942949
1995-05-31,233.9985802
1995-06-30,241.29993365
1995-07-31,249.48597669
1995-08-31,246.2733473
1995-09-29,255.57903589
1995-10-31,258.38372525
1995-11-30,263.37005016
1995-12-29,265.54763607
1996-01-31,274.10974439
1996-02-29,279.13349309
1996-03-29,279.68981318
1996-04-30,285.40790138
1996-05-31,293.77768261
1996-06-28,297.10491954
1996-07-31,287.95737569
1996-08-30,295.76550869
1996-09-30,310.42939194
1996-10-31,314.64283495
1996-11-29,337.4568592
1996-12-31,336.69833977
1997-01-01,336.69969636
1997-01-02,334.06604688
1997-01-03,338.35550275
1997-01-06,338.86749552
1997-01-07,341.20416896
1997-01-08,339.94386268
1997-01-09,341.37604442
1997-01-10,342.19097001
1997-01-13,342.83017017
1997-01-14,346.49220034
1997-01-15,346.57199795
1997-01-16,348.26499384
1997-01-17,349.97122341
1997-01-20,350.06150146
1997-01-21,351.92487726
1997-01-22,353.67777215
1997-01-23,350.58774229
1997-01-24,347.62569219
1997-01-27,345.74506064
1997-01-28,345.7940959
1997-01-29,347.67854962
1997-01-30,352.36712283
1997-01-31,354.71167011
1997-02-03,354.62534991
1997-02-04,355.71085734
1997-02-05,352.19967957
1997-02-06,352.69008609
1997-02-07,355.70281102
1997-02-10,354.67345829
1997-02-11,356.29798776
1997-02-12,360.19882146
1997-02-13,362.2943453
1997-02-14,361.12735508
1997-02-17,360.9094024
1997-02-18,362.89314762
1997-02-19,363.23493787
1997-02-20,360.45269616
1997-02-21,359.50108393
1997-02-24,363.61243125
1997-02-25,364.88038507
1997-02-26,362.95937023
1997-02-27,358.94929917
1997-02-28,357.22480543
1997-03-03,358.19568372
1997-03-04,356.91376991
1997-03-05,360.40575018
1997-03-06,359.385278
1997-03-07,360.5247667
1997-03-10,364.23793073
1997-03-11,363.5026459
1997-03-12,360.44764089
1997-03-13,356.48323927
1997-03-14,356.97033404
1997-03-17,357.23036003
1997-03-18,355.83681375
1997-03-19,354.33548149
1997-03-20,350.9215608
1997-03-21,350.89635085
1997-03-24,351.38729466
1997-03-25,353.13501154
1997-03-26,355.97688214
1997-03-27,352.60156837
1997-03-28,352.74893949
1997-03-31,347.54533436
1997-04-01,345.88024894
1997-04-02,343.35932093
1997-04-03,342.92220799
1997-04-04,346.15113101
1997-04-07,347.85860751
1997-04-08,348.71029051
1997-04-09,347.25563005
1997-04-10,346.4360392
1997-04-11,340.40882253
1997-04-14,341.98414422
1997-04-15,345.91487486
1997-04-16,349.7603538
1997-04-17,349.64772748
1997-04-18,352.42957046
1997-04-21,352.18082976
1997-04-22,356.82220497
1997-04-23,357.43126752
1997-04-24,357.21637099
1997-04-25,353.3699543
1997-04-28,356.10367951
1997-04-29,363.62532032
1997-04-30,366.45459588
1997-05-01,366.04221148
1997-05-02,369.88528095
1997-05-05,375.65068452
1997-05-06,376.56218346
1997-05-07,373.81325892
1997-05-08,375.07707644
1997-05-09,377.7385852
1997-05-12,382.19747411
1997-05-13,382.07415094
1997-05-14,383.39926353
1997-05-15,385.31398101
1997-05-16,381.8117406
1997-05-19,382.16933634
1997-05-20,384.53575551
1997-05-21,385.94255291
1997-05-22,383.87035776
1997-05-23,387.57435246
1997-05-26,388.04601385
1997-05-27,389.71308586
1997-05-28,387.89242941
1997-05-29,386.39928665
1997-05-30,384.89541477
1997-06-02,384.66419165
1997-06-03,383.48073922
1997-06-04,381.70436966
1997-06-05,383.05578838
1997-06-06,389.43874268
1997-06-09,392.89443904
1997-06-10,392.37431481
1997-06-11,394.27516997
1997-06-12,398.5947232
1997-06-13,402.71908741
1997-06-16,403.63902644
1997-06-17,403.3997832
1997-06-18,400.22699727
1997-06-19,404.67786144
1997-06-20,405.55330741
1997-06-23,400.72559548
1997-06-24,407.61511953
1997-06-25,406.21831672
1997-06-26,405.28262313
1997-06-27,405.82574489
1997-06-30,404.58339364
1997-07-01,406.78689862
1997-07-02,410.62586253
1997-07-03,417.3099225
1997-07-04,417.33045114
1997-07-07,416.4600257
1997-07-08,418.57108764
1997-07-09,415.53098982
1997-07-10,416.58109872
1997-07-11,418.35948564
1997-07-14,420.40590465
1997-07-15,422.58123997
1997-07-16,427.77816003
1997-07-17,426.70071065
1997-07-18,420.55115808
1997-07-21,417.93687182
1997-07-22,425.65854269
1997-07-23,427.18469262
1997-07-24,426.52962361
1997-07-25,425.28277945
1997-07-28,422.89454853
1997-07-29,423.73571736
1997-07-30,427.46929979
1997-07-31,428.09582374
1997-08-01,425.06771389
1997-08-04,425.97514059
1997-08-05,427.4744441
1997-08-06,429.35500826
1997-08-07,427.76766826
