Date,AC ASIA ex JAPAN QUALITY
1994-06-30,1349.48794936
1994-07-29,1431.57650993
1994-08-31,1504.04388819
1994-09-30,1475.70094683
1994-10-31,1487.88506661
1994-11-30,1303.81741131
1994-12-30,1269.11205525
1995-01-31,1149.12334719
1995-02-28,1232.93199886
1995-03-31,1237.77250457
1995-04-28,1219.67015564
1995-05-31,1369.80483431
1995-06-30,1356.2414656
1995-07-31,1371.01461202
1995-08-31,1317.81686227
1995-09-29,1329.76758257
1995-10-31,1300.31675189
1995-11-30,1244.88182076
1995-12-29,1305.53489624
1996-01-31,1352.81918589
1996-02-29,1438.97965705
1996-03-29,1470.24295617
1996-04-30,1538.00714451
1996-05-31,1519.40532714
1996-06-28,1556.03349847
1996-07-31,1458.63449438
1996-08-30,1500.34528792
1996-09-30,1484.43843845
1996-10-31,1436.83907083
1996-11-29,1431.35458078
1996-12-31,1419.17675461
1997-01-01,1419.17675461
1997-01-02,1422.49832177
1997-01-03,1421.47065795
1997-01-06,1427.19437467
1997-01-07,1429.05660912
1997-01-08,1444.44463126
1997-01-09,1449.78050468
1997-01-10,1457.49949035
1997-01-13,1458.33708818
1997-01-14,1457.54219118
1997-01-15,1481.97294935
1997-01-16,1474.51337492
1997-01-17,1480.27168327
1997-01-20,1471.82635946
1997-01-21,1469.52982893
1997-01-22,1475.61736921
1997-01-23,1483.57136886
1997-01-24,1475.94590191
1997-01-27,1474.02026703
1997-01-28,1477.48071881
1997-01-29,1477.76892651
1997-01-30,1482.68534642
1997-01-31,1487.43049705
1997-02-03,1496.92821173
1997-02-04,1498.35059972
1997-02-05,1497.22734366
1997-02-06,1497.70550577
1997-02-07,1498.48531986
1997-02-10,1498.94267287
1997-02-11,1498.07394948
1997-02-12,1511.96715678
1997-02-13,1512.85012854
1997-02-14,1512.32136212
1997-02-17,1507.42365066
1997-02-18,1500.59577181
1997-02-19,1508.73482494
1997-02-20,1513.90557488
1997-02-21,1503.80686574
1997-02-24,1496.9872825
1997-02-25,1505.68442538
1997-02-26,1503.88962785
1997-02-27,1511.02305113
1997-02-28,1519.85379159
1997-03-03,1538.23145894
1997-03-04,1545.77992754
1997-03-05,1546.80515161
1997-03-06,1537.85294326
1997-03-07,1535.81843075
1997-03-10,1522.69397273
1997-03-11,1525.66588581
1997-03-12,1522.89719618
1997-03-13,1519.87532696
1997-03-14,1508.76009023
1997-03-17,1519.90880065
1997-03-18,1514.18226625
1997-03-19,1506.47816887
1997-03-20,1500.1830262
1997-03-21,1488.59665618
1997-03-24,1482.74174101
1997-03-25,1492.59953357
1997-03-26,1490.97516453
1997-03-27,1482.61876197
1997-03-28,1478.36129075
1997-03-31,1457.87773977
