Date,AC ASIA PACIFIC ex JAPAN QUALITY
1998-11-30,1000.0
1998-12-01,974.8570904940411
1998-12-02,987.5088056860536
1998-12-03,980.93153570141
1998-12-04,979.1975558952581
1998-12-07,1002.2675784656783
1998-12-08,998.7524129484193
1998-12-09,994.7454563010697
1998-12-10,998.9419198572991
1998-12-11,983.841430899268
1998-12-14,973.196259372714
1998-12-15,978.2628460017503
1998-12-16,978.3748358107188
1998-12-17,981.1972374175102
1998-12-18,986.2556845192885
1998-12-21,991.992387215022
1998-12-22,996.6195253301693
1998-12-23,988.9826286057128
1998-12-24,992.5623665229735
1998-12-25,992.6195670892407
1998-12-28,987.0086067875294
1998-12-29,988.7897264384379
1998-12-30,990.457364475173
1998-12-31,988.1184181655376
1999-01-01,988.1184181655376
1999-01-04,990.136161430431
1999-01-05,986.6317924706768
1999-01-06,1009.0856950813854
1999-01-07,1040.861674526515
1999-01-08,1045.1266420572774
1999-01-11,1047.8180198315226
1999-01-12,1045.1199392687424
1999-01-13,1024.6158569444767
1999-01-14,1014.580839238068
1999-01-15,1020.9051016057276
1999-01-18,1033.1414942299589
1999-01-19,1030.193338668269
1999-01-20,1032.9648879350284
1999-01-21,1028.1847814286862
1999-01-22,1010.1137674442118
1999-01-25,992.9205349014212
1999-01-26,997.9445419572297
1999-01-27,1010.1140304176475
1999-01-28,991.5446482298615
1999-01-29,996.976419597944
1999-02-01,1000.827204124696
1999-02-02,993.5329931402724
1999-02-03,996.2742672837129
1999-02-04,993.680139594422
1999-02-05,986.2384705727305
1999-02-08,987.6828775129733
1999-02-09,984.8148602330592
1999-02-10,975.0441831297212
1999-02-11,982.7833573048744
1999-02-12,995.5532355673528
1999-02-15,990.1669669597738
1999-02-16,984.316665479734
1999-02-17,986.2511321988507
1999-02-18,985.1859438638536
1999-02-19,984.5385509716677
1999-02-22,995.1042284632595
1999-02-23,991.1027603555078
1999-02-24,997.8356182743635
1999-02-25,992.8282741581235
1999-02-26,992.6971040983004
1999-03-01,1015.2437595241553
1999-03-02,1010.5456895994483
1999-03-03,1025.0649332934897
1999-03-04,1020.9011077878845
1999-03-05,1036.9920121998189
1999-03-08,1052.7233328667892
1999-03-09,1062.5739758388186
1999-03-10,1066.3766332692342
1999-03-11,1057.2329382792425
1999-03-12,1069.472760670358
1999-03-15,1082.8966148282752
1999-03-16,1084.425547981526
1999-03-17,1079.0416255425844
1999-03-18,1073.317662061177
1999-03-19,1083.957869443171
1999-03-22,1092.1073426928356
1999-03-23,1092.4516524956503
1999-03-24,1076.9593616760546
1999-03-25,1081.4806277858538
1999-03-26,1077.072753244712
1999-03-29,1067.8950595583215
1999-03-30,1079.9118319626566
1999-03-31,1085.1176690422183
1999-04-01,1092.5946207818615
1999-04-02,1095.6612787530087
1999-04-05,1084.1920588752441
1999-04-06,1084.6940127498206
1999-04-07,1100.1470386868373
1999-04-08,1103.838014936566
1999-04-09,1110.9735000480375
1999-04-12,1111.647025883329
1999-04-13,1120.822397329747
1999-04-14,1123.5822802485984
1999-04-15,1120.9241334623086
1999-04-16,1160.4322048336082
1999-04-19,1177.364161139857
1999-04-20,1166.0781514940759
1999-04-21,1168.1966970984713
1999-04-22,1190.4984168616677
1999-04-23,1195.7446241956402
1999-04-26,1195.8805740812725
1999-04-27,1206.1626938547706
1999-04-28,1193.1679807840328
1999-04-29,1186.4912722335584
1999-04-30,1197.3736685230283
1999-05-03,1199.0865051338826
1999-05-04,1218.8589777019458
1999-05-05,1221.062808868091
1999-05-06,1228.2655138751556
1999-05-07,1200.4961894434987
1999-05-10,1215.7568198679248
1999-05-11,1216.7139408827454
1999-05-12,1218.6212472903396
1999-05-13,1228.543829065452
1999-05-14,1227.640276921643
1999-05-17,1209.00742039111
1999-05-18,1213.1642163864371
1999-05-19,1198.8873140062703
1999-05-20,1196.0885695306697
1999-05-21,1193.9401514656297
