Date,KOKUSAI INDEX (WORLD ex JP) IMI VALUE
1994-05-31,202.05440700393842
1994-06-30,198.06270697545756
1994-07-29,206.24484371191716
1994-08-31,212.97019573517244
1994-09-30,206.6994896188769
1994-10-31,211.6530308789665
1994-11-30,202.87363790583518
1994-12-30,204.64535709011432
1995-01-31,205.96357456189062
1995-02-28,212.94598038876282
1995-03-31,219.25163377659493
1995-04-28,225.60359850990844
1995-05-31,233.42854042791498
1995-06-30,235.209885860812
1995-07-31,244.50032724346312
1995-08-31,241.99163973934807
1995-09-29,249.83905626287765
1995-10-31,247.7764676481187
1995-11-30,254.99455322273238
1995-12-29,262.78476586249633
1996-01-31,269.1699235975972
1996-02-29,272.2806710119481
1996-03-29,275.03300947279814
1996-04-30,277.7010996596469
1996-05-31,282.29065123007314
1996-06-28,283.0045060451001
1996-07-31,275.3842923221751
1996-08-30,282.66316152539997
1996-09-30,291.6944902344145
1996-10-31,301.0945633456867
1996-11-29,319.81274797246124
1996-12-31,322.59921306138875
1997-01-01,322.59964005309934
1997-01-02,319.6792379213001
1997-01-03,321.68135067536235
1997-01-06,321.98794342840887
1997-01-07,323.03436509323916
1997-01-08,322.7412593954522
1997-01-09,324.5702238176506
1997-01-10,324.72307788650966
1997-01-13,325.6701307621506
1997-01-14,328.7600905727188
1997-01-15,329.6582544280263
1997-01-16,330.4724097298834
1997-01-17,331.21889005501305
1997-01-20,330.92923734871135
1997-01-21,331.4055474722744
1997-01-22,331.77866599788115
1997-01-23,330.1240980096553
1997-01-24,327.90641234874704
1997-01-27,326.3414051029855
1997-01-28,325.5528834856682
1997-01-29,326.97743738995524
1997-01-30,329.4859436570945
1997-01-31,330.4037044334243
1997-02-03,330.7444808201157
1997-02-04,331.9268631313692
1997-02-05,331.4099329322839
1997-02-06,331.6268963982675
1997-02-07,332.9551951249823
1997-02-10,333.58429145595017
1997-02-11,334.0371485098445
1997-02-12,336.1261824067972
1997-02-13,338.2837684041309
1997-02-14,338.14354067681006
1997-02-17,337.7690403584034
1997-02-18,339.32856004945063
1997-02-19,338.5707343239749
1997-02-20,336.82955562275487
1997-02-21,337.16165844407345
1997-02-24,339.85198305839293
1997-02-25,341.4948479386131
1997-02-26,339.06162892379353
1997-02-27,337.03960838883125
1997-02-28,335.57108889218387
1997-03-03,335.8999331695804
1997-03-04,335.9592932160118
1997-03-05,337.94078495028344
1997-03-06,339.03292790777107
1997-03-07,340.880921999747
1997-03-10,344.05724763964236
1997-03-11,343.89151441207247
1997-03-12,340.9496686214275
1997-03-13,336.1994220085116
1997-03-14,337.5168058321014
1997-03-17,336.52609885145716
1997-03-18,334.41983060049455
1997-03-19,333.81095613113547
1997-03-20,330.6282997417489
1997-03-21,332.1534852733508
1997-03-24,333.9225820679412
1997-03-25,335.0614477361257
1997-03-26,335.81441921699826
1997-03-27,332.8747870285479
1997-03-28,333.00267599248156
1997-03-31,329.9444977159312
1997-04-01,327.43851811955767
1997-04-02,324.93655608351844
1997-04-03,323.313998033722
1997-04-04,324.2397716212019
1997-04-07,325.7681256605412
1997-04-08,326.75564803004215
1997-04-09,326.21347913397244
1997-04-10,325.96692997632294
1997-04-11,321.0260922149219
1997-04-14,320.7833795179731
1997-04-15,324.3035063542287
1997-04-16,326.3938921633726
1997-04-17,326.68397959416734
1997-04-18,328.0520877823382
1997-04-21,327.22086996188443
1997-04-22,329.29788068935295
1997-04-23,329.2948042639475
1997-04-24,328.75015317235903
1997-04-25,326.6607571015715
1997-04-28,328.1937890656038
1997-04-29,333.87700055793323
1997-04-30,335.37402322671113
1997-05-01,335.9797526476287
1997-05-02,339.45525542543396
1997-05-05,343.7195345261214
1997-05-06,345.71873569295985
1997-05-07,343.32502512305814
1997-05-08,344.86659150950663
1997-05-09,347.2097081552543
1997-05-12,350.90568725959116
1997-05-13,350.9299236932628
1997-05-14,352.6861592098297
1997-05-15,352.9444025260898
1997-05-16,351.9296839093151
1997-05-19,351.6036752860936
1997-05-20,353.18907751343147
1997-05-21,354.37412050641666
1997-05-22,353.82518394752424
1997-05-23,356.7861338956999
1997-05-26,357.38694406286527
1997-05-27,356.4275649890591
1997-05-28,355.53479247922405
1997-05-29,354.80261485046805
1997-05-30,355.3007216826824
1997-06-02,354.5922421698191
1997-06-03,356.06761879789224
1997-06-04,355.29254505587807
1997-06-05,356.8243028197987
1997-06-06,360.21681461281986
1997-06-09,361.7156495573186
1997-06-10,362.6973055965534
1997-06-11,363.70407238456744
1997-06-12,367.3838368229178
1997-06-13,370.02200710911836
1997-06-16,370.44630105751736
1997-06-17,369.0095048855248
1997-06-18,368.9444038173492
1997-06-19,371.32211903641974
1997-06-20,371.1926456651701
1997-06-23,367.78499480706074
1997-06-24,370.9719870345768
1997-06-25,370.6427419541417
1997-06-26,370.06341856048857
1997-06-27,369.9012082637299
1997-06-30,368.77447136255387
1997-07-01,372.6111740844579
1997-07-02,375.2088555746687
1997-07-03,380.75088234938244
1997-07-04,380.5387363261371
1997-07-07,380.3952599004534
1997-07-08,380.4390021007596
1997-07-09,377.98039690792086
1997-07-10,379.41595947594413
1997-07-11,380.15252992023517
1997-07-14,379.47956153846934
1997-07-15,379.5991299176068
1997-07-16,383.03624242963707
