Date,EAFE ex ISRAEL IMI VALUE
2010-05-26,1000.0
2010-05-27,1027.1172468691123
2010-05-28,1032.4427378479518
2010-05-31,1029.9310882864056
2010-06-01,1028.0685221911672
2010-06-02,1015.9065572415304
2010-06-03,1033.6254285956074
2010-06-04,1010.9359897389332
2010-06-07,987.5701585054791
2010-06-08,982.9880047312776
2010-06-09,996.9328832366986
2010-06-10,1013.384387023575
2010-06-11,1022.5761126814224
2010-06-14,1043.8001053965584
2010-06-15,1051.9227408375432
2010-06-16,1056.8111928399524
2010-06-17,1060.8950025332824
2010-06-18,1065.1771364160325
2010-06-21,1077.928891047968
2010-06-22,1066.3835498353626
2010-06-23,1052.9964744502324
2010-06-24,1044.8547060164599
2010-06-25,1035.2596157734126
2010-06-28,1043.8952903064624
2010-06-29,1011.3690915425972
2010-06-30,1011.3083976731037
2010-07-01,1005.9626548900999
2010-07-02,1013.8329069139193
2010-07-05,1008.5608273544195
2010-07-06,1038.1503598849984
2010-07-07,1047.4497480907805
2010-07-08,1063.809636153408
2010-07-09,1066.5637067827467
2010-07-12,1066.035643945744
2010-07-13,1084.750224481272
2010-07-14,1093.2679588366427
2010-07-15,1090.883725663759
2010-07-16,1079.2554612345389
2010-07-19,1072.1508331211708
2010-07-20,1066.0982537496673
2010-07-21,1069.1391398954347
2010-07-22,1089.2471078744413
2010-07-23,1093.017440814306
2010-07-26,1107.0380132002738
2010-07-27,1116.1681392535254
2010-07-28,1121.6334908267095
2010-07-29,1126.1640424679938
2010-07-30,1117.331525098099
2010-08-02,1151.1113927921517
2010-08-03,1158.2188784361556
2010-08-04,1150.5397873899656
2010-08-05,1154.7349836913622
2010-08-06,1158.6232389477204
2010-08-09,1164.513253586319
2010-08-10,1145.0640218278054
2010-08-11,1111.6012440558895
2010-08-12,1101.1851808439014
2010-08-13,1098.0450828202272
2010-08-16,1102.7282688509752
2010-08-17,1113.3532329787033
2010-08-18,1113.1350987058129
2010-08-19,1105.1118724352693
2010-08-20,1080.968233097026
2010-08-23,1086.550487671214
2010-08-24,1075.3183453325998
2010-08-25,1059.8721114504579
2010-08-26,1073.7980638381257
2010-08-27,1080.0700220329347
2010-08-30,1082.925226406107
2010-08-31,1078.3042310966875
2010-09-01,1107.203335882169
2010-09-02,1111.822633244824
2010-09-03,1122.4806759740447
2010-09-06,1132.9780036564628
2010-09-07,1120.327341188358
2010-09-08,1122.8780857293038
2010-09-09,1133.8945171715377
2010-09-10,1132.2653096877527
2010-09-13,1151.6893462709677
2010-09-14,1158.9683068218183
2010-09-15,1156.2422323257265
2010-09-16,1152.3491315136225
2010-09-17,1147.7376952530426
2010-09-20,1161.1771522215433
2010-09-21,1161.6167999324139
2010-09-22,1168.8188872283565
2010-09-23,1162.7667594520353
2010-09-24,1177.7294881096018
2010-09-27,1179.6980255060816
2010-09-28,1182.6696379292014
