Date,WORLD ex EMU IMI VALUE
1994-05-31,278.5454811799673
1994-06-30,281.3036092824116
1994-07-29,284.00890349752655
1994-08-31,290.9662780337367
1994-09-30,283.6633033857253
1994-10-31,290.1493224595487
1994-11-30,275.9278265742855
1994-12-30,279.4701610753047
1995-01-31,275.36821591065393
1995-02-28,276.964175161079
1995-03-31,291.35244969410957
1995-04-28,300.3963391229574
1995-05-31,301.37468490337966
1995-06-30,299.4464283151395
1995-07-31,313.5533007621937
1995-08-31,310.8890505219997
1995-09-29,319.71652664083064
1995-10-31,313.02970021730346
1995-11-30,325.03448030158637
1995-12-29,336.2935969643641
1996-01-31,341.7629349810707
1996-02-29,343.04178895286066
1996-03-29,348.83172957026704
1996-04-30,358.7410620934719
1996-05-31,357.24433714683016
1996-06-28,358.50566191641747
1996-07-31,346.6594350006957
1996-08-30,350.01294615413144
1996-09-30,361.49187023849055
1996-10-31,365.01390002336586
1996-11-29,384.05800112519154
1996-12-31,379.2948446677507
1997-01-01,379.29532402148243
1997-01-02,377.1065030870936
1997-01-03,378.9962274323128
1997-01-06,380.25719627881887
1997-01-07,380.1790348252098
1997-01-08,378.0974104224642
1997-01-09,377.6190387383406
1997-01-10,374.83746783650963
1997-01-13,377.12825891037113
1997-01-14,380.05923179120776
1997-01-15,380.50943213850945
1997-01-16,381.92730565666125
1997-01-17,382.4923745476372
1997-01-20,380.41443203801714
1997-01-21,380.80236121019203
1997-01-22,381.96164001982413
1997-01-23,378.9899745541346
1997-01-24,376.1593620167762
1997-01-27,373.3652714129743
1997-01-28,372.65159151442214
1997-01-29,374.7853887346313
1997-01-30,376.1927197424268
1997-01-31,378.41022973397844
1997-02-03,378.62145866513123
1997-02-04,379.92353903920133
1997-02-05,376.95850219594433
1997-02-06,376.6983382077114
1997-02-07,377.43656304582004
1997-02-10,379.09880244240276
1997-02-11,380.1099818544624
1997-02-12,382.6531977400116
1997-02-13,384.84040644185103
1997-02-14,385.20533856562776
1997-02-17,385.31037695978415
1997-02-18,386.2626560053223
1997-02-19,385.7975712853729
1997-02-20,385.8502433468899
1997-02-21,386.48075567072254
1997-02-24,389.22246345097017
1997-02-25,390.68521270744463
1997-02-26,388.1807794407036
1997-02-27,386.33973274482867
1997-02-28,384.3688403502807
1997-03-03,384.339453234125
1997-03-04,383.6676492561819
1997-03-05,384.96482195438267
1997-03-06,384.6803841549242
1997-03-07,386.92531131914484
1997-03-10,389.4509945105244
1997-03-11,389.4247817137225
1997-03-12,386.26686880277316
1997-03-13,380.58984235326415
1997-03-14,381.71826874597133
1997-03-17,381.10860710427477
1997-03-18,380.5321584781431
1997-03-19,379.844836896917
1997-03-20,377.13973097707276
1997-03-21,379.1226486192229
1997-03-24,380.2968496008234
1997-03-25,381.17761545545955
1997-03-26,381.7205430749592
1997-03-27,377.1585294876405
1997-03-28,377.04400807467016
1997-03-31,373.40591443701027
1997-04-01,372.37642727688706
1997-04-02,370.6950277488679
1997-04-03,369.39101482159595
1997-04-04,368.98401433909476
1997-04-07,369.23163259781063
1997-04-08,370.4465990482204
1997-04-09,368.3656170263734
1997-04-10,367.5507009328235
1997-04-11,363.204155427894
1997-04-14,362.7911812612623
1997-04-15,366.7107836332791
1997-04-16,369.63914278910397
1997-04-17,369.87659870449585
1997-04-18,372.33254879258243
1997-04-21,372.18512952131044
1997-04-22,374.6880644521463
1997-04-23,374.9339226461534
1997-04-24,374.36911637964283
1997-04-25,372.3676151301277
1997-04-28,374.0306527212322
1997-04-29,379.51796331510656
1997-04-30,382.301347493659
1997-05-01,383.4133115902216
1997-05-02,387.61303568657456
1997-05-05,391.89011659727515
1997-05-06,396.5375144306966
1997-05-07,393.73724091654094
1997-05-08,395.34242981472755
1997-05-09,397.74170204166575
1997-05-12,404.2542373538544
1997-05-13,403.59526528946003
1997-05-14,405.82135240356644
1997-05-15,407.00913611613385
1997-05-16,406.6383439777993
1997-05-19,406.61613418344933
1997-05-20,409.98272402554977
1997-05-21,408.47608721338156
1997-05-22,406.76384354976955
1997-05-23,410.5963024785821
1997-05-26,410.8288502231282
1997-05-27,409.2780430450422
1997-05-28,410.9555687836936
