Date,WORLD ex ISRAEL IMI VALUE
2010-05-26,1000.0
2010-05-27,1031.004776333964
2010-05-28,1026.3098796088275
2010-05-31,1025.6943308897703
2010-06-01,1013.8352564590751
2010-06-02,1022.7546524176108
2010-06-03,1032.1537793316618
2010-06-04,1001.441883856413
2010-06-07,983.8787135927723
2010-06-08,988.6157596789786
2010-06-09,992.5799977863616
2010-06-10,1016.1699149149478
2010-06-11,1022.412485261284
2010-06-14,1031.5416951117597
2010-06-15,1048.176941528809
2010-06-16,1049.6140367288895
2010-06-17,1051.6469906646557
2010-06-18,1054.7714017490882
2010-06-21,1058.3977816159893
2010-06-22,1043.5413687610235
2010-06-23,1034.3403455634816
2010-06-24,1021.4054281765154
2010-06-25,1020.993341183118
2010-06-28,1023.4559533555068
2010-06-29,991.5786519965577
2010-06-30,986.2105998920003
2010-07-01,980.9205937541939
2010-07-02,981.1691510331617
2010-07-05,978.3359293621119
2010-07-06,994.4935047524922
2010-07-07,1015.499330096028
2010-07-08,1028.4989032848796
2010-07-09,1035.3837687704395
2010-07-12,1034.0335439632895
2010-07-13,1052.24607371451
2010-07-14,1053.7378947326354
2010-07-15,1053.0459249911605
2010-07-16,1030.530234245392
2010-07-19,1029.9222039680408
2010-07-20,1033.0005922826556
2010-07-21,1027.713711953596
2010-07-22,1049.3670781753917
2010-07-23,1056.0973705810895
2010-07-26,1070.6426923729648
2010-07-27,1074.8934724221392
2010-07-28,1072.5914726836443
2010-07-29,1073.4383807910617
2010-07-30,1069.5128191332533
2010-08-02,1096.4729627472934
2010-08-03,1096.497609315247
2010-08-04,1096.6300566616985
2010-08-05,1097.0635332833622
2010-08-06,1095.752942550928
2010-08-09,1101.9581473267058
2010-08-10,1089.2082532764073
2010-08-11,1057.3414568482053
2010-08-12,1050.613891559257
2010-08-13,1047.8115973459246
2010-08-16,1049.65414248137
2010-08-17,1061.266030723082
2010-08-18,1062.026123807743
2010-08-19,1047.6624893420096
2010-08-20,1034.6303460597514
2010-08-23,1035.4263088173293
2010-08-24,1022.7685203679125
2010-08-25,1018.2168128317195
2010-08-26,1021.0076588471288
2010-08-27,1034.0147065786064
2010-08-30,1027.162332997557
2010-08-31,1026.2504854475128
2010-09-01,1055.66420356613
2010-09-02,1062.3626046925508
2010-09-03,1074.6582162358297
2010-09-06,1079.5749457835623
2010-09-07,1065.7016817290046
2010-09-08,1070.7095780344798
2010-09-09,1079.6708251693533
2010-09-10,1081.611984176915
2010-09-13,1097.343527008431
2010-09-14,1099.1164770020043
2010-09-15,1098.9115961815446
2010-09-16,1095.883412264522
2010-09-17,1093.4877799117394
2010-09-20,1108.913227672934
2010-09-21,1106.3001045710462
2010-09-22,1105.4227678896846
2010-09-23,1095.9677177538094
2010-09-24,1115.3658393646335
2010-09-27,1112.602701542165
2010-09-28,1117.1223252486636
2010-09-29,1116.414704442748
2010-09-30,1112.8076774812637
2010-10-01,1118.970785384891
2010-10-04,1109.931519288029
2010-10-05,1133.236373117196
2010-10-06,1139.872948701051
2010-10-07,1141.6778332218812
2010-10-08,1144.0724880543487
2010-10-11,1144.5755578196859
2010-10-12,1141.481666030881
2010-10-13,1154.069143546847
2010-10-14,1156.6226829787681
2010-10-15,1149.8303072735193
2010-10-18,1156.977130295142
2010-10-19,1140.2739205052574
2010-10-20,1152.794676682181
2010-10-21,1153.8314771625344
2010-10-22,1151.528293494493
2010-10-25,1156.3198100219665
2010-10-26,1150.6356211744703
2010-10-27,1141.039402566308
2010-10-28,1147.9333633833237
2010-10-29,1149.0389180319114
2010-11-01,1148.4210449096367
2010-11-02,1158.3517386583171
2010-11-03,1158.2495895145046
2010-11-04,1185.9466679613672
2010-11-05,1186.714497706469
2010-11-08,1182.6741877339093
2010-11-09,1179.1180480531295
2010-11-10,1172.0502994266262
2010-11-11,1169.6633707591548
2010-11-12,1160.8141582785054
2010-11-15,1160.3543130868525
2010-11-16,1139.0171554311848
2010-11-17,1140.9754949402072
2010-11-18,1158.0263668970504
2010-11-19,1158.9735489564948
2010-11-22,1152.7611128696215
2010-11-23,1133.2815013837057
2010-11-24,1142.301850365291
2010-11-25,1143.2294180929646
2010-11-26,1130.215398263705
2010-11-29,1122.011309710542
2010-11-30,1114.964489650327
2010-12-01,1137.2803724539083
2010-12-02,1156.7700936912763
2010-12-03,1165.5077211558914
2010-12-06,1162.9722651794643
2010-12-07,1167.9968336880836
2010-12-08,1168.039123635095
2010-12-09,1174.8101486635892
2010-12-10,1180.6230089831736
2010-12-13,1188.9962499647875
2010-12-14,1191.6240163000991
2010-12-15,1184.3717401556826
2010-12-16,1184.6701193736535
2010-12-17,1181.699104688258
2010-12-20,1183.6198642575189
2010-12-21,1194.943313772984
2010-12-22,1198.5748085705811
2010-12-23,1198.5804083669032
2010-12-24,1199.2673638042108
2010-12-27,1198.1942431217265
2010-12-28,1201.2955837524985
2010-12-29,1204.6611566012593
2010-12-30,1202.559308193229
2010-12-31,1206.1602245601068
2011-01-03,1215.0684140789976
2011-01-04,1217.59367601673
2011-01-05,1214.667228135214
2011-01-06,1212.9273384305773
2011-01-07,1209.8017645121386
2011-01-10,1203.6346972912347
2011-01-11,1209.1428675753077
2011-01-12,1226.2440161472618
2011-01-13,1234.6829163660875
2011-01-14,1240.150491220849
2011-01-17,1238.5972232519796
2011-01-18,1245.9299812878694
2011-01-19,1239.7635187759274
2011-01-20,1230.056581408164
2011-01-21,1240.469705014823
2011-01-24,1248.6235159550786
2011-01-25,1247.040536483403
2011-01-26,1251.5952108077959
2011-01-27,1256.0757311629031
2011-01-28,1239.39179867346
2011-01-31,1244.439125807819
2011-02-01,1267.5630592082312
2011-02-02,1268.7616052061474
2011-02-03,1265.5385911064727
2011-02-04,1266.4216879417827
2011-02-07,1275.0574663874086
2011-02-08,1282.646665440268
2011-02-09,1278.5982393838829
2011-02-10,1274.5872460947737
2011-02-11,1276.4566843654611
2011-02-14,1279.6585128968957
2011-02-15,1280.0911775986087
2011-02-16,1289.0437585885759
2011-02-17,1297.690687624782
2011-02-18,1302.0172752952185
2011-02-21,1297.2357538639335
2011-02-22,1279.020570240462
2011-02-23,1272.1690317795349
2011-02-24,1269.177859831704
2011-02-25,1281.4603692158496
2011-02-28,1292.9479166929477
2011-03-01,1282.0483940127974
2011-03-02,1278.4427994446382
2011-03-03,1291.5914893281233
2011-03-04,1288.0857431505503
2011-03-07,1280.3877971566885
2011-03-08,1284.2137809862948
2011-03-09,1284.2068118996076
2011-03-10,1259.0982514173959
2011-03-11,1260.3365345702825
2011-03-14,1246.4845916214847
2011-03-15,1217.304456993773
2011-03-16,1206.1996853756311
2011-03-17,1225.2388653583748
2011-03-18,1234.1157833611564
2011-03-21,1253.6343879317158
2011-03-22,1258.26809317306
2011-03-23,1256.946844660147
2011-03-24,1267.0732592197014
2011-03-25,1269.607167712659
2011-03-28,1265.8307088348538
2011-03-29,1267.2492910633578
2011-03-30,1278.3765663875383
2011-03-31,1277.0649205418908
2011-04-01,1284.043389833422
2011-04-04,1287.6927562544915
2011-04-05,1285.435645901381
2011-04-06,1291.9278089860766
2011-04-07,1289.0118662142704
2011-04-08,1295.0249690053843
2011-04-11,1291.793527898953
2011-04-12,1277.7331088043425
2011-04-13,1280.4944767571399
2011-04-14,1278.3748102551697
2011-04-15,1280.1379945790416
2011-04-18,1258.3463758884222
2011-04-19,1264.4407600898503
2011-04-20,1287.7864744555673
2011-04-21,1296.2947830917383
2011-04-22,1296.3769286851448
2011-04-25,1293.646940726499
2011-04-26,1304.101556880074
2011-04-27,1310.1937153853141
2011-04-28,1324.8740623520505
2011-04-29,1328.9019786831616
2011-05-02,1331.4504405126884
2011-05-03,1324.0038666250255
2011-05-04,1313.1984062005122
2011-05-05,1297.7484140575395
2011-05-06,1301.0782375957333
2011-05-09,1294.9084396834983
2011-05-10,1308.0126034250868
2011-05-11,1300.003628145336
2011-05-12,1294.5040159369312
2011-05-13,1286.1667726839487
2011-05-16,1280.1699997606058
2011-05-17,1273.6517596643139
2011-05-18,1285.8137882623303
2011-05-19,1288.969673548246
2011-05-20,1279.4730487092868
2011-05-23,1258.2112816121655
2011-05-24,1259.3689147410778
2011-05-25,1263.715310254141
2011-05-26,1268.6770572851262
2011-05-27,1279.8311806848312
2011-05-30,1279.2840616719927
2011-05-31,1295.3255571691373
2011-06-01,1275.815571015693
2011-06-02,1265.8879434848116
2011-06-03,1261.5863368351188
2011-06-06,1250.4835504249572
2011-06-07,1253.2813403865669
2011-06-08,1244.8245146915428
2011-06-09,1250.199391053115
2011-06-10,1232.9813597269915
2011-06-13,1234.4071736121534
2011-06-14,1251.7466784032817
2011-06-15,1230.3677022639447
2011-06-16,1222.6575028582035
2011-06-17,1231.5272862517452
2011-06-20,1232.2898691569414
2011-06-21,1250.5366291987273
2011-06-22,1248.5964224248937
2011-06-23,1228.9211066216524
2011-06-24,1222.3839676228201
2011-06-27,1227.1338698206243
2011-06-28,1239.7339069498416
2011-06-29,1256.9451253412794
2011-06-30,1273.9578279611808
2011-07-01,1286.675054152351
2011-07-04,1290.250994069285
2011-07-05,1285.6051546899055
2011-07-06,1280.0084631415425
2011-07-07,1288.9227167911638
2011-07-08,1278.5730656144915
2011-07-11,1250.246962813512
2011-07-12,1243.6713339628918
2011-07-13,1255.3168219909596
2011-07-14,1246.4189085997718
2011-07-15,1245.6216319122013
2011-07-18,1228.5087940337733
2011-07-19,1245.6497955398306
2011-07-20,1255.1864575740144
2011-07-21,1277.2787938933109
2011-07-22,1279.983518218134
2011-07-25,1269.9105537242758
2011-07-26,1271.0861993128951
2011-07-27,1248.71341425907
2011-07-28,1242.2110972522385
2011-07-29,1236.4389993711516
2011-08-01,1227.181969388443
2011-08-02,1200.861685759723
2011-08-03,1193.9864628364319
2011-08-04,1143.101848912435
2011-08-05,1128.6241252567595
2011-08-08,1068.723593012126
2011-08-09,1098.7924781417044
2011-08-10,1063.8639314804752
2011-08-11,1099.657164123984
2011-08-12,1110.8103555927469
2011-08-15,1136.9843402707695
2011-08-16,1128.3047912560266
2011-08-17,1133.9153177990436
2011-08-18,1086.8477333612539
2011-08-19,1071.516891661695
2011-08-22,1070.3127403937567
2011-08-23,1094.2069996887262
2011-08-24,1106.3659980492482
2011-08-25,1093.1806911298445
2011-08-26,1097.9793193220842
2011-08-29,1127.3460415910624
2011-08-30,1130.300014731352
2011-08-31,1144.432875949122
2011-09-01,1134.6138435265432
2011-09-02,1106.511626098558
2011-09-05,1086.7272789907156
2011-09-06,1073.2949627627663
2011-09-07,1104.344898586612
2011-09-08,1099.8837969244762
2011-09-09,1066.7972166962347
2011-09-12,1055.2102599468806
