Date,WORLD ex AUSTRALIA IMI VALUE
1994-05-31,264.6576416824408
1994-06-30,266.49089354989
1994-07-29,270.5808096481917
1994-08-31,276.6376516739022
1994-09-30,268.94902602573
1994-10-31,275.50346341438956
1994-11-30,262.50683685573125
1994-12-30,265.2093748600314
1995-01-31,261.72754012332905
1995-02-28,263.6493782770037
1995-03-31,276.73452607010864
1995-04-28,285.2111185555217
1995-05-31,286.90806065809045
1995-06-30,285.5914252366417
1995-07-31,298.8215659238274
1995-08-31,293.83148298665424
1995-09-29,301.0654572633114
1995-10-31,295.3706374624482
1995-11-30,305.3766017127157
1995-12-29,316.0464270562485
1996-01-31,321.1562448682734
1996-02-29,323.0120413659178
1996-03-29,327.793921319356
1996-04-30,336.05114056785413
1996-05-31,335.92637209415113
1996-06-28,337.4693003518829
1996-07-31,327.17598096724026
1996-08-30,330.1114893775919
1996-09-30,340.09446064740155
1996-10-31,343.44895977951364
1996-11-29,361.1340152004567
1996-12-31,358.4324191064156
1997-01-01,358.4328086492576
1997-01-02,356.0364233500223
1997-01-03,357.5808273747492
1997-01-06,358.6496943532908
1997-01-07,358.7412102904809
1997-01-08,357.29632102547885
1997-01-09,357.0299501939042
1997-01-10,354.8159989636826
1997-01-13,357.272667974759
1997-01-14,359.94319468136854
1997-01-15,360.61625478161847
1997-01-16,362.0313066431977
1997-01-17,362.13387435167795
1997-01-20,360.2478651271935
1997-01-21,360.3811105515834
1997-01-22,361.3931294543724
1997-01-23,359.30696514958134
1997-01-24,356.9340979322903
1997-01-27,354.28845681455493
1997-01-28,353.5778865678316
1997-01-29,355.1533602899167
1997-01-30,356.7769347512964
1997-01-31,358.96423710375166
1997-02-03,358.8160981999007
1997-02-04,360.1579963627294
1997-02-05,358.2065556889668
1997-02-06,358.0251375876415
1997-02-07,358.35946774980323
1997-02-10,360.28591911005924
1997-02-11,360.532081814464
1997-02-12,362.5170292096169
1997-02-13,364.407343342867
1997-02-14,364.8963572589527
1997-02-17,364.57548727972176
1997-02-18,365.5645317905461
1997-02-19,364.86197143441876
1997-02-20,364.867775554015
1997-02-21,365.39400970474315
1997-02-24,368.12146540677537
1997-02-25,369.79662388920946
1997-02-26,367.2718813248547
1997-02-27,365.8488235597576
1997-02-28,363.8690132008632
1997-03-03,363.6864829614156
1997-03-04,363.4411940065143
1997-03-05,364.7189655899528
1997-03-06,364.90266841771336
1997-03-07,366.7023017341545
1997-03-10,369.6192703497708
1997-03-11,369.6366262996811
1997-03-12,366.53200241995813
1997-03-13,361.53738010316226
1997-03-14,362.59317179050447
1997-03-17,361.76381543905654
1997-03-18,361.186071610352
1997-03-19,360.7175126367089
1997-03-20,357.4567006311561
1997-03-21,359.76786165715407
1997-03-24,360.32748405150437
1997-03-25,361.6868020340238
1997-03-26,362.6781710261301
1997-03-27,359.7081866125094
1997-03-28,359.6115938324663
1997-03-31,356.8282086816974
1997-04-01,354.57227702305306
1997-04-02,353.1057563116678
1997-04-03,351.6084436352131
1997-04-04,351.3257735459319
1997-04-07,351.3030469393735
1997-04-08,352.25647065620745
1997-04-09,350.7543267482311
1997-04-10,349.94222666984655
1997-04-11,345.98794388649287
1997-04-14,345.41657839416166
1997-04-15,349.0762761991765
1997-04-16,351.63964809701343
1997-04-17,352.1281371278501
1997-04-18,354.10851158415517
1997-04-21,354.378332432549
1997-04-22,356.0477902172679
1997-04-23,356.6331878731444
1997-04-24,356.1474616904929
1997-04-25,354.000954679864
1997-04-28,355.19264581837666
1997-04-29,360.24316071599173
1997-04-30,362.65876651873236
1997-05-01,364.0458593313708
1997-05-02,367.42781549887906
1997-05-05,371.32711747859906
1997-05-06,375.54488289789623
1997-05-07,373.3004147218
1997-05-08,374.9844874873179
1997-05-09,377.5350081658843
1997-05-12,383.1756197683154
1997-05-13,383.0884013367958
1997-05-14,385.17132436164513
1997-05-15,386.29521980344606
1997-05-16,386.37948446341596
1997-05-19,385.94681035921286
1997-05-20,388.7833754886911
1997-05-21,388.28566894685787
