Date,EAFE IMI VALUE
1994-05-31,301.8975390188801
1994-06-30,308.8086787858199
1994-07-29,310.78839593389654
1994-08-31,315.0675701323254
1994-09-30,305.5762385181669
1994-10-31,315.3126068852456
1994-11-30,299.22179917434937
1994-12-30,301.6392120272879
1995-01-31,290.431793837976
1995-02-28,286.1617801708639
1995-03-31,305.6400998366592
1995-04-28,314.9668689478213
1995-05-31,309.69749173552106
1995-06-30,304.07505417587447
1995-07-31,321.36704086338165
1995-08-31,309.11186120496956
1995-09-29,313.8652220196509
1995-10-31,306.3210401359614
1995-11-30,313.48834163406895
1995-12-29,326.17575209383074
1996-01-31,328.30566859757334
1996-02-29,329.771133050077
1996-03-29,334.39928763978276
1996-04-30,347.4296992556095
1996-05-31,342.52454382950333
1996-06-28,344.7894176466738
1996-07-31,335.7041585407698
1996-08-30,334.84951028713033
1996-09-30,342.0599422917225
1996-10-31,337.31753591639705
1996-11-29,349.55299530664024
1996-12-31,345.2964691751247
1997-01-01,345.2971781176157
1997-01-02,342.3951835147875
1997-01-03,342.3066576874114
1997-01-06,344.1672369567692
1997-01-07,343.169867236118
1997-01-08,341.46474683413703
1997-01-09,338.30776806245393
1997-01-10,333.1820256880686
1997-01-13,337.63849885294627
1997-01-14,338.86174622101214
1997-01-15,339.7427915761565
1997-01-16,342.1444799572439
1997-01-17,340.5083404699922
1997-01-20,336.7352060251178
1997-01-21,335.4955506151774
1997-01-22,336.80217843354535
1997-01-23,335.9112003463383
1997-01-24,334.16520265212057
1997-01-27,330.5607765004377
1997-01-28,329.80707851224497
1997-01-29,330.12963971205386
1997-01-30,329.9168687420015
1997-01-31,333.365046051624
1997-02-03,332.44792549969344
1997-02-04,333.5052987206551
1997-02-05,332.8672402878222
1997-02-06,332.31461151921764
1997-02-07,330.4085987002873
1997-02-10,334.33861604965034
1997-02-11,333.0976909774238
1997-02-12,333.09975393535984
1997-02-13,333.3765419434715
1997-02-14,334.5947748598276
1997-02-17,334.1015180319489
1997-02-18,333.1160380607258
1997-02-19,333.12108237614603
1997-02-20,336.2292379446854
1997-02-21,336.99113551292777
1997-02-24,339.13593788630385
1997-02-25,340.8488643107866
1997-02-26,338.7587250496985
1997-02-27,339.26813154849685
1997-02-28,336.84274760810985
1997-03-03,335.19641532959906
1997-03-04,335.990959244584
1997-03-05,335.23643883644735
1997-03-06,335.5945058053122
1997-03-07,335.7782574451342
1997-03-10,338.0883875811562
1997-03-11,338.78137681053977
1997-03-12,335.9539386081782
1997-03-13,333.64854199300873
1997-03-14,333.5884999017743
1997-03-17,332.2567833496138
1997-03-18,333.5539341817477
1997-03-19,333.6775601764434
1997-03-20,329.38595315825376
1997-03-21,332.7599236922678
1997-03-24,330.4869992612759
1997-03-25,333.2787714286127
1997-03-26,335.6761731263419
1997-03-27,336.9498514237324
1997-03-28,336.8418337385236
1997-03-31,337.5269184859492
1997-04-01,332.3204069090847
1997-04-02,333.3944993417845
1997-04-03,332.0961807968007
1997-04-04,330.3498462475937
1997-04-07,327.52603119779343
1997-04-08,327.8542510489592
1997-04-09,327.0633603679103
1997-04-10,326.0392481497106
1997-04-11,325.80027538865124
1997-04-14,323.9008008814348
1997-04-15,326.3903950702994
1997-04-16,328.27505054777146
1997-04-17,329.5958476507741
1997-04-18,331.70921158079807
1997-04-21,335.06689699493455
1997-04-22,334.24544428564144
1997-04-23,336.4239051143378
1997-04-24,336.3682336958417
1997-04-25,334.15266144688087
1997-04-28,333.6064998852333
