Date,EASEA INDEX (EAFE ex JAPAN) IMI VALUE
1994-05-31,189.07755605650738
1994-06-30,185.73761607477627
1994-07-29,195.6505681511009
1994-08-31,201.04319948815217
1994-09-30,193.96227683808573
1994-10-31,201.52991232782708
1994-11-30,192.81882529480092
1994-12-30,193.01539960793562
1995-01-31,190.00481078538053
1995-02-28,194.49471862429863
1995-03-31,202.30646404564533
1995-04-28,207.48908326916668
1995-05-31,213.61576231350352
1995-06-30,213.34921735362718
1995-07-31,223.658033934979
1995-08-31,213.86735510846776
1995-09-29,219.38513490400072
1995-10-31,218.652623557281
1995-11-30,219.64404054026403
1995-12-29,227.22884712518803
1996-01-31,231.01407058616508
1996-02-29,234.89153535459553
1996-03-29,235.66887153027287
1996-04-30,238.43850163059003
1996-05-31,242.12978646660238
1996-06-28,242.96808359444134
1996-07-31,239.51528895416055
1996-08-30,246.50856219262087
1996-09-30,251.17565938189023
1996-10-31,257.02951553722704
1996-11-29,270.46415587356455
1996-12-31,277.04408978237524
1997-01-01,277.04498370905776
1997-01-02,272.87266415072435
1997-01-03,273.4515495168969
1997-01-06,273.99453085496003
1997-01-07,274.75879750598557
1997-01-08,275.3609762046103
1997-01-09,275.81829885441704
1997-01-10,274.7675001865796
1997-01-13,276.7392493179423
1997-01-14,278.5887416647389
1997-01-15,280.0429607562433
1997-01-16,281.5220676272684
1997-01-17,280.69772686702964
1997-01-20,279.6355199535446
1997-01-21,278.8280460475608
1997-01-22,278.9245192429447
1997-01-23,279.13260807915606
1997-01-24,277.7269097361816
1997-01-27,275.99436097550637
1997-01-28,275.12331577872607
1997-01-29,274.8034419191541
1997-01-30,276.0956945363176
1997-01-31,277.3683606356392
1997-02-03,277.1507814622137
1997-02-04,278.01692647154783
1997-02-05,280.50991564667373
1997-02-06,280.62376001834906
1997-02-07,280.2078758339114
1997-02-10,282.1390673106463
1997-02-11,280.8536145136162
1997-02-12,280.5798447577985
1997-02-13,280.8301611203391
1997-02-14,281.04926321981424
1997-02-17,280.26638415746714
1997-02-18,279.93494599764904
1997-02-19,279.98177570792245
1997-02-20,280.27636396656527
1997-02-21,280.6470744826533
1997-02-24,282.6570330743087
1997-02-25,284.3597042581812
1997-02-26,282.50949828521925
1997-02-27,282.25082308455274
1997-02-28,280.76289606031156
1997-03-03,279.7845444683768
1997-03-04,281.3897045923466
1997-03-05,281.6796533735994
1997-03-06,283.8639258214597
1997-03-07,283.81828568266724
1997-03-10,286.5681810164041
1997-03-11,286.99275863892854
1997-03-12,284.45797120641015
1997-03-13,283.07974340813155
1997-03-14,283.41072224150184
1997-03-17,281.5620168403077
1997-03-18,280.34622509736795
1997-03-19,280.4000184242678
1997-03-20,275.76044264462746
1997-03-21,277.96361961564094
1997-03-24,277.3660920542496
1997-03-25,280.2115363815442
1997-03-26,282.5086685088675
1997-03-27,284.70798526074424
1997-03-28,285.02517394962445
1997-03-31,285.8826030687798
1997-04-01,279.51778154789923
1997-04-02,279.0627596617896
1997-04-03,277.5061552046222
1997-04-04,277.9348502764816
1997-04-07,277.6209804562685
1997-04-08,277.7847802038955
1997-04-09,278.9533205139058
1997-04-10,279.00939471566153
1997-04-11,277.43689496651916
1997-04-14,276.0011763081161
1997-04-15,278.0688999596886
1997-04-16,278.8813363569869
1997-04-17,279.9506070537649
1997-04-18,280.75353467986145
1997-04-21,282.5887137929746
1997-04-22,282.0284196692572
1997-04-23,283.3400343294956
1997-04-24,283.28517998444426
1997-04-25,281.0297990938457
1997-04-28,280.78114816863166
1997-04-29,283.71116420507593
1997-04-30,284.0036074084631
1997-05-01,285.70218901821033
1997-05-02,285.93793519288596
1997-05-05,287.4866375467431
1997-05-06,291.2204472696459
1997-05-07,291.93959278396727
1997-05-08,292.75746239016206
1997-05-09,295.72358139657644
1997-05-12,298.0000820631574
1997-05-13,299.7802059961739
1997-05-14,301.2654341964162
1997-05-15,301.13410272553546
1997-05-16,302.20927820620307
1997-05-19,300.4214464451286
1997-05-20,300.834153948249
1997-05-21,304.01221404443305
1997-05-22,303.1159303679666
1997-05-23,304.40370273987367
1997-05-26,305.46704265378384
1997-05-27,304.34544079999625
1997-05-28,303.1823319815189
1997-05-29,302.28574888909384
1997-05-30,299.3749034545119
1997-06-02,298.47461821581834
1997-06-03,299.3793979407745
1997-06-04,299.38627821844074
1997-06-05,300.65891366589926
1997-06-06,302.59132832727363
1997-06-09,305.292244915927
1997-06-10,304.8927623583139
1997-06-11,305.201064694452
1997-06-12,306.0104911443639
1997-06-13,307.4449868634369
1997-06-16,308.30185268418086
1997-06-17,305.7897162080202
1997-06-18,305.9964823564923
1997-06-19,308.00897416023196
1997-06-20,308.26762410036474
1997-06-23,309.5332162166571
1997-06-24,309.55971946685355
1997-06-25,312.5110384813599
1997-06-26,312.91824133190767
1997-06-27,311.5668354274233
1997-06-30,309.7220108661141
1997-07-01,314.030771131379
1997-07-02,314.2088560244493
1997-07-03,320.17932509080276
1997-07-04,319.7028265807542
1997-07-07,321.7810177578797
1997-07-08,319.61932306086413
1997-07-09,319.8869548079785
1997-07-10,319.90133757671214
1997-07-11,320.86024542716143
1997-07-14,320.3286725426925
1997-07-15,318.70511289912713
1997-07-16,322.03459270990567
1997-07-17,322.65066751948484
1997-07-18,319.9246022330369
1997-07-21,317.2521692217299
1997-07-22,319.71249316673425
1997-07-23,323.3914176082355
1997-07-24,320.3870627153788
1997-07-25,319.9092289378692
1997-07-28,318.35328625007287
1997-07-29,318.7879900232859
1997-07-30,320.54225882638093
1997-07-31,321.70892249172806
1997-08-01,318.15335252569264
1997-08-04,315.1600188036509
1997-08-05,314.5830610764234
1997-08-06,316.26024754103975
1997-08-07,318.7570322409153
1997-08-08,317.6941376014125
1997-08-11,317.35935849548196
1997-08-12,317.8627597805213
1997-08-13,316.15977931253053
1997-08-14,314.04612052189617
1997-08-15,313.82054852253526
1997-08-18,310.7724566824664
1997-08-19,313.40340740347193
1997-08-20,314.27367752250905
1997-08-21,314.8474193071278
1997-08-22,313.0444270931861
1997-08-25,313.09038732437546
1997-08-26,312.7163276871577
1997-08-27,311.9091923967599
1997-08-28,309.5034443513175
1997-08-29,306.3858799781635
1997-09-01,306.3443752601825
1997-09-02,308.20741591503804
1997-09-03,311.3925813188964
1997-09-04,311.27753318971634
1997-09-05,314.13632009097336
1997-09-08,314.21631398412836
1997-09-09,314.5415596594217
1997-09-10,312.56582815872315
1997-09-11,309.6396667408336
1997-09-12,312.3034459361611
1997-09-15,315.00374818637187
1997-09-16,316.6992969168115
1997-09-17,319.39200188171486
1997-09-18,321.68877381568706
1997-09-19,321.4998564652331
1997-09-22,322.18036840718685
1997-09-23,321.27591898154236
1997-09-24,324.96001119611697
1997-09-25,326.653830797492
1997-09-26,329.01752678108045
1997-09-29,330.40967336750845
1997-09-30,331.4614670551403
1997-10-01,333.39327920632263
1997-10-02,335.1687796839413
1997-10-03,337.51830542113396
1997-10-06,336.148834207398
1997-10-07,337.4913466389875
1997-10-08,336.7851342524827
1997-10-09,333.04832241628685
1997-10-10,330.9643771518709
1997-10-13,334.7009301504149
1997-10-14,334.06479230242996
1997-10-15,332.66974625431715
1997-10-16,333.3829376967355
