Date,AC ASIA ex JAPAN+CHINA A ONSHORE
2004-12-01,1000.0
2004-12-02,1011.7769120305136
2004-12-03,1007.462481624318
2004-12-06,1007.8582450470359
2004-12-07,1001.8257817093665
2004-12-08,992.4402018281629
2004-12-09,988.789714111145
2004-12-10,974.9058502115835
2004-12-13,975.9308003864946
2004-12-14,983.9434532366147
2004-12-15,997.295021858804
2004-12-16,1000.5831459115134
2004-12-17,999.5260857531434
2004-12-20,1004.5998327875155
2004-12-21,1004.5868986220923
2004-12-22,1006.0968987335469
2004-12-23,1006.6398976708772
2004-12-24,1008.6445251451003
2004-12-27,1007.5355426008
2004-12-28,1011.2917451179213
2004-12-29,1015.8387753075685
2004-12-30,1017.5740304210259
2004-12-31,1024.5062941756944
2005-01-03,1024.891006319633
2005-01-04,1015.670357465141
2005-01-05,1002.0778213788057
2005-01-06,993.3998885601926
2005-01-07,992.3538001999603
2005-01-10,991.5056415988042
2005-01-11,997.0883466083935
2005-01-12,994.8762512065925
2005-01-13,1001.1134360980567
2005-01-14,1003.1546474855145
2005-01-17,1015.0296906185781
2005-01-18,1013.6473779157096
2005-01-19,1014.5240548056926
2005-01-20,1008.4039693472362
2005-01-21,1008.0281772174231
2005-01-24,1006.4371423861863
2005-01-25,1008.7339725556564
2005-01-26,1016.389971846196
2005-01-27,1015.3571815033653
2005-01-28,1019.3063530963994
2005-01-31,1026.7113406529843
2005-02-01,1021.8163839405662
2005-02-02,1028.9678125982634
2005-02-03,1032.4547661822526
2005-02-04,1036.5616100765205
2005-02-07,1044.7960126326886
2005-02-08,1044.4678159645912
2005-02-09,1044.459139441435
2005-02-10,1041.6782599156547
2005-02-11,1044.4199097351006
2005-02-14,1058.7551560885474
2005-02-15,1060.4994863675327
2005-02-16,1059.624678009455
2005-02-17,1055.2717017160112
2005-02-18,1062.18947304287
2005-02-21,1065.182763912798
2005-02-22,1069.8240455358812
2005-02-23,1064.1673667682887
2005-02-24,1071.5061128936154
2005-02-25,1078.1332362418377
2005-02-28,1086.7905944017034
2005-03-01,1087.0989903953428
2005-03-02,1076.3815972532896
2005-03-03,1079.580752010207
2005-03-04,1074.73464511876
2005-03-07,1078.7959659185199
2005-03-08,1080.9426449822945
2005-03-09,1087.161107648994
2005-03-10,1079.4333191628393
2005-03-11,1086.3889189453967
2005-03-14,1081.7746252148106
2005-03-15,1065.6601076995328
2005-03-16,1069.6751447103363
2005-03-17,1062.8935384851031
2005-03-18,1060.8287701593
2005-03-21,1059.9641458977121
2005-03-22,1051.7074359421551
2005-03-23,1041.4450094068031
2005-03-24,1036.301574842087
2005-03-25,1040.3393772550035
2005-03-28,1040.0377170719985
2005-03-29,1024.3191465793436
2005-03-30,1020.7109934994393
2005-03-31,1032.7164984148337
2005-04-01,1046.4500561215964
2005-04-04,1042.9975460466096
2005-04-05,1041.8793627412965
2005-04-06,1045.2383337419185
2005-04-07,1047.340963059881
2005-04-08,1052.0665147504426
2005-04-11,1048.3085330056483
2005-04-12,1046.943449130848
2005-04-13,1054.0456286387323
2005-04-14,1039.4626114604744
2005-04-15,1025.55929730001
2005-04-18,1003.4959924678838
2005-04-19,1010.7873750843635
2005-04-20,1013.6788280336998
2005-04-21,1015.7615613117821
2005-04-22,1021.6004434674401
2005-04-25,1024.1663722689316
2005-04-26,1028.5738169213869
2005-04-27,1021.7603688321459
2005-04-28,1022.5685869986322
2005-04-29,1019.4403758530561
2005-05-02,1020.3286578557452
2005-05-03,1021.1904772724366
2005-05-04,1031.18975545131
2005-05-05,1039.6690811921646
2005-05-06,1045.7962448939845
2005-05-09,1043.7687382581057
2005-05-10,1042.6794918639375
2005-05-11,1034.978365668832
2005-05-12,1033.958294646535
2005-05-13,1032.6983184643607
2005-05-16,1029.3397776265942
2005-05-17,1025.4908666975014
2005-05-18,1025.995485052701
2005-05-19,1036.9651548591685
2005-05-20,1036.9043643947118
2005-05-23,1031.430255459051
2005-05-24,1035.9223448531927
2005-05-25,1027.4453871079386
2005-05-26,1027.1444254576725
2005-05-27,1036.8886157526629
2005-05-30,1042.697612372234
2005-05-31,1039.7631546907992
2005-06-01,1034.5704586333798
2005-06-02,1035.6914931743465
2005-06-03,1043.7735854986022
2005-06-06,1049.6876362492517
2005-06-07,1048.2500642808438
2005-06-08,1058.4479064327872
2005-06-09,1058.8978663384657
2005-06-10,1062.037725291275
2005-06-13,1062.7837559354477
2005-06-14,1059.951975762398
2005-06-15,1065.9003377830347
2005-06-16,1067.0256187987945
