Date,EM IMI MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,995.611333140219
2001-06-04,995.0411632869668
2001-06-05,996.9603647459479
2001-06-06,1001.0066822803997
2001-06-07,993.6706927040376
2001-06-08,1001.3744423612063
2001-06-11,1007.9172786929328
2001-06-12,998.4472228806208
2001-06-13,997.0996912195312
2001-06-14,987.0451281430518
2001-06-15,984.0701358179731
2001-06-18,975.8383418684333
2001-06-19,979.8327508765688
2001-06-20,982.3001879444056
2001-06-21,982.416914595168
2001-06-22,983.9851267235578
2001-06-25,978.5724908391154
2001-06-26,975.2220159897643
2001-06-27,979.6429650337765
2001-06-28,989.5927303518412
2001-06-29,996.0919585479663
2001-07-02,996.5514541516403
2001-07-03,990.138480245312
2001-07-04,983.5747091378579
2001-07-05,989.45758866422
2001-07-06,975.7544392368601
2001-07-09,968.672117080928
2001-07-10,958.8810685056143
2001-07-11,939.7758772751539
2001-07-12,950.0581696961945
2001-07-13,949.3359946480015
2001-07-16,942.2162055443926
2001-07-17,952.2752190507422
2001-07-18,929.5607112064748
2001-07-19,928.3703663587546
2001-07-20,924.6123651953001
2001-07-23,929.0032323925278
2001-07-24,916.8862830934994
2001-07-25,911.1476986969751
2001-07-26,920.5044728898914
2001-07-27,924.5956234964323
2001-07-30,925.8098514595554
2001-07-31,924.6435033560765
2001-08-01,919.892278381043
2001-08-02,923.7518458178085
2001-08-03,921.4119009386276
2001-08-06,923.3404140096765
2001-08-07,926.0959656991864
2001-08-08,927.9287212846382
2001-08-09,912.6628591257031
2001-08-10,905.176276209774
2001-08-13,903.6368197718239
2001-08-14,909.8165517864313
2001-08-15,898.2666946760613
2001-08-16,896.8369809310916
2001-08-17,890.1182007942924
2001-08-20,890.0171170551754
2001-08-21,890.7680819080879
2001-08-22,885.6120058901948
2001-08-23,893.3763917149795
2001-08-24,892.9122251055389
2001-08-27,900.5907434336666
2001-08-28,898.80401852258
2001-08-29,901.1760120271655
2001-08-30,898.5657838922891
2001-08-31,896.6408469049044
2001-09-03,895.6668519583965
2001-09-04,911.5544983333508
2001-09-05,911.9040089300115
2001-09-06,905.8869293951814
2001-09-07,893.1453191952533
2001-09-10,890.6846291318788
2001-09-11,862.5129211557887
2001-09-12,850.9186641091727
2001-09-13,841.8615936282421
2001-09-14,815.5850721342551
2001-09-17,803.135936093911
2001-09-18,805.2049935905814
2001-09-19,804.3008388584227
2001-09-20,792.3552642834367
2001-09-21,785.8202825574294
2001-09-24,788.3265665280776
2001-09-25,782.2423249128584
2001-09-26,785.6462122607919
2001-09-27,786.9591928489211
2001-09-28,802.3132806556149
2001-10-01,796.0651685710245
2001-10-02,791.3545480972527
2001-10-03,781.9383888618124
2001-10-04,791.7800605466922
2001-10-05,789.1476710936452
2001-10-08,782.5156315418716
2001-10-09,790.1438922338695
2001-10-10,800.8888591971912
2001-10-11,821.8316227598236
2001-10-12,816.9697889886786
2001-10-15,816.0094347248178
2001-10-16,820.1319691122968
2001-10-17,824.9110642305304
2001-10-18,825.3256192845754
2001-10-19,829.2447422908862
2001-10-22,835.2577377251157
2001-10-23,842.6738864869205
2001-10-24,843.7646674213667
2001-10-25,837.8834434603091
2001-10-26,845.1949144444777
2001-10-29,834.9370340891013
2001-10-30,822.1047347797736
