Date,MEXICO IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,990.6940909295569
1999-01-05,985.1441081010765
1999-01-06,970.7874173493678
1999-01-07,969.2820369294707
1999-01-08,961.613767898726
1999-01-11,936.2896194168442
1999-01-12,903.4313311226277
1999-01-13,841.6440305813767
1999-01-14,829.3796405842178
1999-01-15,889.1270907465279
1999-01-18,896.9217714134543
1999-01-19,891.9503002988179
1999-01-20,916.667254691108
1999-01-21,907.4189264914556
1999-01-22,905.890437771372
1999-01-25,902.5176458535809
1999-01-26,914.9854495199048
1999-01-27,920.1483900041435
1999-01-28,941.6091287417655
1999-01-29,943.3041705843556
1999-02-01,956.6520526918005
1999-02-02,955.2662684470934
1999-02-03,954.1536190346046
1999-02-04,954.7503417554811
1999-02-05,956.409952481155
1999-02-08,953.4076135385334
1999-02-09,941.7545451492962
1999-02-10,948.2941874733208
1999-02-11,967.8368298181254
1999-02-12,969.8223903316209
1999-02-15,973.4553627304542
1999-02-16,981.6653059206267
1999-02-17,974.8268705901735
1999-02-18,977.4480016340876
1999-02-19,983.0274084501057
1999-02-22,983.9563063038653
1999-02-23,978.9541637536837
1999-02-24,980.8734250974206
1999-02-25,980.4582447176216
1999-02-26,989.4776319845295
1999-03-01,982.5344372054965
1999-03-02,972.1981475475222
1999-03-03,959.1807767481918
1999-03-04,963.6421978316255
1999-03-05,982.275102111672
1999-03-08,1002.7611795857052
1999-03-09,1017.6343799769757
1999-03-10,1042.6820904503284
1999-03-11,1050.2068629361802
1999-03-12,1057.7402423122637
1999-03-15,1083.2719510518152
1999-03-16,1109.366552546363
1999-03-17,1111.8169271847407
1999-03-18,1117.8185392305031
1999-03-19,1104.0427196701828
1999-03-22,1090.4168347314267
1999-03-23,1080.1559999246394
1999-03-24,1093.7082509707288
1999-03-25,1102.3247188159548
1999-03-26,1101.2239666963446
1999-03-29,1115.5808539017814
1999-03-30,1118.9105663888872
1999-03-31,1134.4846426162349
1999-04-01,1133.1748891455402
1999-04-02,1135.9169220177491
1999-04-05,1165.074285672577
1999-04-06,1150.6923152129918
1999-04-07,1152.0884307159208
1999-04-08,1155.3742929332686
1999-04-09,1154.440047914263
1999-04-12,1170.3309032419313
1999-04-13,1177.4100755642999
1999-04-14,1175.2425761263912
1999-04-15,1215.102502995341
1999-04-16,1242.5220451159792
1999-04-19,1246.421057260393
1999-04-20,1243.107864412866
1999-04-21,1238.0702741937585
1999-04-22,1266.0913845037774
1999-04-23,1270.9959656548879
1999-04-26,1260.5519984143616
1999-04-27,1255.7151061825398
1999-04-28,1267.8081340471522
1999-04-29,1279.4864873693095
1999-04-30,1257.7582562658831
1999-05-03,1272.9973928265695
1999-05-04,1258.891884434258
1999-05-05,1258.891884434258
1999-05-06,1276.2792227669302
1999-05-07,1298.8814199312762
1999-05-10,1322.9468183108788
1999-05-11,1316.1366643546392
1999-05-12,1307.6070858208345
1999-05-13,1335.5424659585458
1999-05-14,1308.9356673197954
1999-05-17,1305.4865665134332
1999-05-18,1310.503556254916
1999-05-19,1287.1278148713996
1999-05-20,1295.8157355310204
1999-05-21,1259.3443725813572
1999-05-24,1227.9938752886
1999-05-25,1190.3817387123388
1999-05-26,1209.076303045915
1999-05-27,1155.593713259856
1999-05-28,1171.33504929673
1999-05-31,1176.8429337791015
1999-06-01,1165.5873192612928
1999-06-02,1161.0815405054884
1999-06-03,1162.5689853989531
1999-06-04,1181.2319229587442
1999-06-07,1202.1965448084468
1999-06-08,1196.2199240991572
1999-06-09,1185.8536129489505
1999-06-10,1178.6771881636328
1999-06-11,1162.9116034223346
1999-06-14,1155.251177035188
1999-06-15,1172.7253759901869
1999-06-16,1223.5941737649482
1999-06-17,1236.1687552309204
1999-06-18,1236.479910565616
1999-06-21,1250.385246108663
1999-06-22,1250.7940217720827
1999-06-23,1230.6067983005826
1999-06-24,1208.0782107676455
1999-06-25,1203.0851808144655
1999-06-28,1216.9197296765142
1999-06-29,1228.8585733687594
1999-06-30,1255.0434643349586
1999-07-01,1252.4453426631528
1999-07-02,1264.512217369173
1999-07-05,1270.7602978048865
1999-07-06,1272.2162625784763
1999-07-07,1278.1857340645356
1999-07-08,1269.332596136595
1999-07-09,1265.5207846836172
1999-07-12,1242.8940119443528
1999-07-13,1253.3141658707934
1999-07-14,1258.6866918489343
1999-07-15,1259.3341689130318
1999-07-16,1248.8029988126996
1999-07-19,1265.492616313172
1999-07-20,1250.2672340280524
1999-07-21,1252.6275190203935
1999-07-22,1241.5378668387355
1999-07-23,1212.8589509426074
1999-07-26,1191.0641140710277
1999-07-27,1194.6957510056252
1999-07-28,1201.8184122066616
1999-07-29,1170.5764863702716
1999-07-30,1169.4736897593793
1999-08-02,1156.3605269014363
1999-08-03,1158.9185903989624
1999-08-04,1150.6705678358303
1999-08-05,1141.7077543461733
