Date,KOREA IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1066.1043383275612
1999-01-05,1115.973023817378
1999-01-06,1178.1775075083742
1999-01-07,1213.784638882399
1999-01-08,1197.639569214357
1999-01-11,1252.879694790276
1999-01-12,1250.93879365287
1999-01-13,1252.828851230215
1999-01-14,1154.8978609937537
1999-01-15,1199.215054794178
1999-01-18,1236.8357102277332
1999-01-19,1213.1465010080324
1999-01-20,1191.772543679736
1999-01-21,1126.072804469155
1999-01-22,1074.752323692509
1999-01-25,1037.6728035772119
1999-01-26,1008.821537280208
1999-01-27,1049.496000314229
1999-01-28,1069.132768700602
1999-01-29,1080.1868561552421
1999-02-01,1112.0143630838584
1999-02-02,1110.0575362941313
1999-02-03,1076.9651903696872
1999-02-04,1066.8687136772414
1999-02-05,1071.6270531778378
1999-02-08,1049.6254908077556
1999-02-09,1001.2420470284378
1999-02-10,1011.2491025893546
1999-02-11,1019.2554898457666
1999-02-12,1052.214169132557
1999-02-15,1052.214169132557
1999-02-16,1052.7066949138532
1999-02-17,1052.7066949138532
1999-02-18,1034.027980170143
1999-02-19,987.479439860898
1999-02-22,950.2381444162544
1999-02-23,940.5868319917847
1999-02-24,918.1578800906684
1999-02-25,902.0566142476682
1999-02-26,936.5241343611918
1999-03-01,939.9813604519392
1999-03-02,964.4071726057051
1999-03-03,952.9547553350786
1999-03-04,951.5008700911209
1999-03-05,960.8070114709861
1999-03-08,1019.8708013118907
1999-03-09,1019.1115311997013
1999-03-10,1020.2670955577858
1999-03-11,1047.1745183051507
1999-03-12,1064.7481942477655
1999-03-15,1075.3924814498182
1999-03-16,1090.6478573628278
1999-03-17,1084.4753492623008
1999-03-18,1045.0129368238609
1999-03-19,1077.9826751359558
1999-03-22,1080.089978446106
1999-03-23,1090.187949334006
1999-03-24,1100.480554601174
1999-03-25,1105.3031769071283
1999-03-26,1103.580468877824
1999-03-29,1086.223615321439
1999-03-30,1111.25042944758
1999-03-31,1115.2063041527579
1999-04-01,1145.0549057849885
1999-04-02,1163.230113336963
1999-04-05,1161.5525735500812
1999-04-06,1209.2113462788775
1999-04-07,1219.960192820839
1999-04-08,1235.5657429272476
1999-04-09,1252.0341483541451
1999-04-12,1270.6325698025582
1999-04-13,1276.6589214340238
1999-04-14,1287.822922292121
1999-04-15,1345.9647408388023
1999-04-16,1334.1167251384838
1999-04-19,1382.1420155898797
1999-04-20,1437.3612929543995
1999-04-21,1414.1412007844042
1999-04-22,1396.5498019366125
1999-04-23,1420.317688941085
1999-04-26,1483.3613690839347
1999-04-27,1524.2055059786287
1999-04-28,1547.2870572520071
1999-04-29,1518.554654275825
1999-04-30,1519.1879724713299
1999-05-03,1547.741610348061
1999-05-04,1569.921520721948
1999-05-05,1568.2834556961543
1999-05-06,1619.1020118010465
1999-05-07,1627.4569492410317
1999-05-10,1667.2462298080204
1999-05-11,1609.384700045989
1999-05-12,1575.7458633487422
1999-05-13,1509.2776518829141
1999-05-14,1461.2095782621573
1999-05-17,1392.0448884068064
1999-05-18,1415.1642972174222
1999-05-19,1437.0422787284924
1999-05-20,1370.9751033932569
1999-05-21,1375.9979140933808
1999-05-24,1350.33586435884
1999-05-25,1380.4765049271095
1999-05-26,1433.7721566443404
1999-05-27,1438.8133632108404
1999-05-28,1457.2404568614818
1999-05-31,1450.9444801499126
1999-06-01,1448.3647480865977
1999-06-02,1485.6786187084194
1999-06-03,1487.0517191100275
1999-06-04,1497.0834506918984
1999-06-07,1547.5683456990787
1999-06-08,1589.5297674867372
1999-06-09,1544.280587950066
1999-06-10,1594.7533915447257
1999-06-11,1599.8113788716462
1999-06-14,1564.5430373265767
1999-06-15,1511.3369857555515
1999-06-16,1531.6074833970488
1999-06-17,1536.5627422206016
1999-06-18,1533.2434919734026
1999-06-21,1543.586948482955
1999-06-22,1568.0667471133172
1999-06-23,1588.5551747599768
1999-06-24,1589.5477309905268
1999-06-25,1596.4103099183797
1999-06-28,1601.8018085196861
1999-06-29,1607.6094727041698
1999-06-30,1596.8677171542458
1999-07-01,1636.0170291804927
1999-07-02,1681.6756337127358
1999-07-05,1738.2403545770032
1999-07-06,1752.2634045964319
1999-07-07,1780.2100662078972
1999-07-08,1806.2051243312978
1999-07-09,1835.5758950012628
1999-07-12,1820.6544117512508
1999-07-13,1789.4994380693786
1999-07-14,1724.2865966930026
1999-07-15,1731.54125762845
1999-07-16,1792.818701272761
1999-07-19,1832.3987357248081
1999-07-20,1807.5750885002076
1999-07-21,1740.5000787441077
1999-07-22,1766.3992172946687
1999-07-23,1641.523475534025
1999-07-26,1534.9494255696384
1999-07-27,1632.862830172823
1999-07-28,1666.447185281273
1999-07-29,1722.6007289152976
1999-07-30,1685.8122850725854
1999-08-02,1726.1594342213934
1999-08-03,1753.7563045795043
