Date,BRAZIL IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1001.0595967813105
1999-01-05,1007.2648154477827
1999-01-06,1018.4364759718654
1999-01-07,991.89462237115
1999-01-08,985.4992439220038
1999-01-11,952.8123264470989
1999-01-12,921.3017435217524
1999-01-13,829.1479055072858
1999-01-14,794.0138295517012
1999-01-15,812.5071016964235
1999-01-18,754.1886639488413
1999-01-19,770.9824033562275
1999-01-20,776.5435195267188
1999-01-21,705.2330905162827
1999-01-22,695.0192341810925
1999-01-25,663.9569220389209
1999-01-26,674.0652676780829
1999-01-27,666.9023232805337
1999-01-28,667.9582639612336
1999-01-29,647.1213447980736
1999-02-01,727.9707573566794
1999-02-02,786.5298953812796
1999-02-03,762.8638301885302
1999-02-04,755.426323070414
1999-02-05,737.7385148132237
1999-02-08,709.5386286815857
1999-02-09,709.0430283572764
1999-02-10,722.4227109129332
1999-02-11,725.6735357019592
1999-02-12,728.9593223778986
1999-02-15,728.9593223778986
1999-02-16,728.9593223778986
1999-02-17,725.7224032663637
1999-02-18,719.2026691250954
1999-02-19,718.2911782232499
1999-02-22,705.778664117282
1999-02-23,687.8500585315745
1999-02-24,673.7643151787419
1999-02-25,663.9744694609768
1999-02-26,678.5444753319338
1999-03-01,652.5032704973943
1999-03-02,645.2772981714713
1999-03-03,652.6903205394559
1999-03-04,692.871734846358
1999-03-05,722.0232715981454
1999-03-08,731.532358951431
1999-03-09,769.3265181540936
1999-03-10,790.4077844696923
1999-03-11,774.8314065452797
1999-03-12,776.200443577332
1999-03-15,814.2395591808855
1999-03-16,824.263428791799
1999-03-17,836.7265814631279
1999-03-18,857.368087015363
1999-03-19,860.3512221087229
1999-03-22,849.8365941541351
1999-03-23,847.2097100645909
1999-03-24,849.0192439964263
1999-03-25,896.1405514862926
1999-03-26,905.6429346111887
1999-03-29,918.1419620870878
1999-03-30,933.3425999879298
1999-03-31,950.3563284009261
1999-04-01,950.3563284009261
1999-04-02,951.2543777096315
1999-04-05,959.0689597000714
1999-04-06,977.7750170281286
1999-04-07,995.790179764457
1999-04-08,1003.1255693370902
1999-04-09,996.2495472189963
1999-04-12,1005.5926871018273
1999-04-13,1012.6881449103482
1999-04-14,1017.5484145762405
1999-04-15,1021.2129227702037
1999-04-16,1031.3765708880733
1999-04-19,1022.8945923783368
1999-04-20,983.8006353273438
1999-04-21,983.8006353273438
1999-04-22,998.2625861369146
1999-04-23,1006.3493098549758
1999-04-26,997.0373758582133
1999-04-27,989.2282937446491
1999-04-28,1023.3128677778899
1999-04-29,1040.6161757412046
1999-04-30,1050.2538966050138
1999-05-03,1053.3394069116355
1999-05-04,1035.2144049605654
1999-05-05,1048.757710968182
1999-05-06,1069.2155994102982
1999-05-07,1113.363491920415
1999-05-10,1136.6281461641072
1999-05-11,1129.0030893849537
1999-05-12,1120.365903273356
1999-05-13,1142.4245842921466
1999-05-14,1147.2345537431065
1999-05-17,1122.2425647271114
1999-05-18,1140.016517409486
1999-05-19,1135.205899229912
1999-05-20,1127.539046510754
1999-05-21,1099.0648072025522
1999-05-24,1049.2933571766446
1999-05-25,1010.428820086934
1999-05-26,1062.945362855784
1999-05-27,1041.9651029667098
1999-05-28,1046.2715151086104
1999-05-31,1056.7474060389645
1999-06-01,1038.9888283231712
1999-06-02,1039.3125555298172
1999-06-03,1039.746700654786
1999-06-04,1052.1357757641256
1999-06-07,1040.502876009772
1999-06-08,1039.0091721014078
1999-06-09,1030.2877210524748
1999-06-10,1032.878727827621
1999-06-11,1033.4490538468167
1999-06-14,1028.924878955498
1999-06-15,1045.3564605800198
1999-06-16,1083.4003369394331
1999-06-17,1089.0578441776274
1999-06-18,1101.5257928129372
1999-06-21,1099.2983183564916
1999-06-22,1092.883271875208
1999-06-23,1084.5091098506532
1999-06-24,1060.2563318151417
1999-06-25,1052.7132543660828
1999-06-28,1061.2452527637706
1999-06-29,1074.817539991865
1999-06-30,1103.1706513197703
1999-07-01,1095.9718949579008
1999-07-02,1111.9724815366333
1999-07-05,1125.6696855089365
1999-07-06,1111.6423801478052
1999-07-07,1116.3959275200402
1999-07-08,1088.3148398649919
1999-07-09,1090.7360074731455
1999-07-12,1046.6180197785777
1999-07-13,1051.0697910201352
1999-07-14,1052.157117796467
1999-07-15,1061.6500230854142
1999-07-16,1075.225252850915
1999-07-19,1089.3426095946436
1999-07-20,1057.7732825778078
1999-07-21,1073.2674370634409
1999-07-22,1072.951405829223
1999-07-23,1056.3340293893798
1999-07-26,1037.1708816727598
1999-07-27,1040.0968362091571
1999-07-28,1054.332483544224
1999-07-29,1046.849078065744
1999-07-30,1035.3106059777795
1999-08-02,1005.039990556846
1999-08-03,1007.1328796411217
1999-08-04,991.7667638824807
1999-08-05,977.5065222311326
1999-08-06,971.479075606135
1999-08-09,954.8713826032891
