Date,AC ASIA EX JAPAN SMALL CAP MIN VOL (USD)
2001-05-31,1000.0
2001-06-01,995.5772631668198
2001-06-04,992.1383323421703
2001-06-05,993.6782538946278
2001-06-06,1000.9366741734424
2001-06-07,998.6895194704413
2001-06-08,1005.1048951746219
2001-06-11,1003.1281903961406
2001-06-12,1003.2497928165055
2001-06-13,1005.472815473169
2001-06-14,997.2708651223589
2001-06-15,995.9159723228852
2001-06-18,991.6673159139004
2001-06-19,990.2627108633684
2001-06-20,987.4620428683007
2001-06-21,990.2672955385891
2001-06-22,993.9103199531405
2001-06-25,998.2480269073991
2001-06-26,992.0547037478583
2001-06-27,994.290644434878
2001-06-28,985.1614404850624
2001-06-29,993.3689274352374
2001-07-02,988.5005503042971
2001-07-03,983.6115276192393
2001-07-04,976.9431681250992
2001-07-05,974.3238184339326
2001-07-06,972.6053067940094
2001-07-09,964.7366623335632
2001-07-10,963.7681564671147
2001-07-11,951.906754731452
2001-07-12,959.1884892553692
2001-07-13,952.988895854235
2001-07-16,950.1050582007773
2001-07-17,947.7574278184671
2001-07-18,941.2339304157961
2001-07-19,936.2826589539494
2001-07-20,935.8436986059595
2001-07-23,927.1730223976983
2001-07-24,918.7718211001596
2001-07-25,918.4513512709058
2001-07-26,928.4508569780679
2001-07-27,931.6976685262956
2001-07-30,932.4426332716882
2001-07-31,932.5174402466416
2001-08-01,937.1982163436564
2001-08-02,941.82545131971
2001-08-03,944.6601520890102
2001-08-06,938.1428486235259
2001-08-07,936.5151554290533
2001-08-08,941.6677266462644
2001-08-09,938.3905998127074
2001-08-10,940.1746547751691
2001-08-13,942.2592624359892
2001-08-14,949.3034030671289
2001-08-15,954.5982362894835
2001-08-16,955.4839902200158
2001-08-17,951.6508618791235
2001-08-20,946.2012019765061
2001-08-21,949.3643562418742
2001-08-22,948.5855512693021
2001-08-23,949.245370058451
2001-08-24,944.621342504555
2001-08-27,950.4590389956918
2001-08-28,947.8266419805728
2001-08-29,952.5572207271514
2001-08-30,952.1600386581748
2001-08-31,946.2211136222576
2001-09-03,942.1456197063649
2001-09-04,945.5906068356126
2001-09-05,941.2323727377636
2001-09-06,938.0840915614964
2001-09-07,930.915911345402
2001-09-10,929.045281321392
2001-09-11,923.467699076291
2001-09-12,894.5376942420781
2001-09-13,884.8903827189581
2001-09-14,861.1704041118049
2001-09-17,827.8081909471351
2001-09-18,837.2527249218507
2001-09-19,850.2524656658305
2001-09-20,843.8965355265393
2001-09-21,827.8684458240481
2001-09-24,831.639915378677
2001-09-25,831.8167771999371
2001-09-26,840.9550483428521
2001-09-27,846.8977152770906
2001-09-28,858.3906806677878
2001-10-01,855.461010438867
2001-10-02,848.9145439564952
2001-10-03,849.833086868007
2001-10-04,859.4195116072715
2001-10-05,860.0483221039786
2001-10-08,847.722852841779
2001-10-09,860.1526935229817
2001-10-10,857.1266111957702
2001-10-11,869.5992825653115
2001-10-12,869.2006653651694
2001-10-15,869.0584268251936
2001-10-16,872.6120484881684
2001-10-17,878.0285158765512
2001-10-18,873.0955156134871
2001-10-19,875.4865630814339
2001-10-22,877.6841981130783
2001-10-23,882.4849216831011
2001-10-24,887.8701676552682
2001-10-25,887.7131850211844
2001-10-26,890.7795433083375
2001-10-29,889.3590469147092
2001-10-30,884.0909708501198
2001-10-31,886.6798969670716
2001-11-01,889.1618261722152
2001-11-02,892.0553080523588
2001-11-05,899.1672024415574
2001-11-06,899.519096421144
2001-11-07,898.5806727420625
2001-11-08,903.2253102176146
