Date,ACWI SMALL CAP MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1003.1296394697913
2001-06-04,1006.7192320788515
2001-06-05,1009.3983118550567
2001-06-06,1006.9019380512688
2001-06-07,1009.4242824903135
2001-06-08,1008.9321681870194
2001-06-11,1005.255049250472
2001-06-12,1005.0907940972139
2001-06-13,1006.1231091940907
2001-06-14,1003.5022208082289
2001-06-15,1000.1225466991938
2001-06-18,994.5851843349072
2001-06-19,992.6414356852838
2001-06-20,991.7165695255931
2001-06-21,993.8249192847138
2001-06-22,990.8901516518096
2001-06-25,990.1170578366085
2001-06-26,992.7577485684113
2001-06-27,993.1582685229706
2001-06-28,991.245571796678
2001-06-29,1000.8703187355799
2001-07-02,997.0299231374191
2001-07-03,996.3889721093633
2001-07-04,993.3919765906229
2001-07-05,988.0024446805634
2001-07-06,984.4156914737298
2001-07-09,981.773483328698
2001-07-10,981.0982237408303
2001-07-11,977.9447639826541
2001-07-12,985.0164931319057
2001-07-13,982.4666964041094
2001-07-16,979.4943496996784
2001-07-17,979.7738328403401
2001-07-18,981.4869658833248
2001-07-19,983.7439613132921
2001-07-20,986.0174593138829
2001-07-23,977.4192848881033
2001-07-24,974.2202016468947
2001-07-25,978.644742835947
2001-07-26,981.4921494197587
2001-07-27,980.1686101614744
2001-07-30,977.6951269080105
2001-07-31,980.8871640582897
2001-08-01,985.9667737020998
2001-08-02,991.5212825880621
2001-08-03,992.7698919835237
2001-08-06,987.836708101407
2001-08-07,987.3538370988746
2001-08-08,985.9235071499247
2001-08-09,986.2038938284622
2001-08-10,992.1214566914686
2001-08-13,991.4399061728005
2001-08-14,997.233548030194
2001-08-15,1005.9656718782713
2001-08-16,1009.6127974292208
2001-08-17,1008.978371854633
2001-08-20,1007.5643773308537
2001-08-21,1008.5319247681167
2001-08-22,1012.9637947350024
2001-08-23,1008.9266560546035
2001-08-24,1010.091953328696
2001-08-27,1007.6485219976319
2001-08-28,1003.9124566079934
2001-08-29,1004.051171861979
2001-08-30,999.326883135009
2001-08-31,996.9905905552831
2001-09-03,991.802402586908
2001-09-04,991.3443331317003
2001-09-05,986.2974700992385
2001-09-06,979.279456111417
2001-09-07,974.2838485333883
2001-09-10,962.5848288434614
2001-09-11,960.3294934083508
2001-09-12,945.4517420516255
2001-09-13,945.008491751519
2001-09-14,947.451205277366
2001-09-17,921.4590284802603
2001-09-18,922.0047529441237
2001-09-19,920.9464195859608
2001-09-20,902.3866324210318
2001-09-21,882.925109340045
2001-09-24,893.6661746481656
2001-09-25,903.0401998397086
2001-09-26,906.5550723785232
2001-09-27,909.723589899816
2001-09-28,921.1232778615317
2001-10-01,919.2717577207615
2001-10-02,920.6999051716552
2001-10-03,925.627955448779
2001-10-04,929.6752907488054
2001-10-05,930.0045189816685
2001-10-08,925.8772784211155
2001-10-09,924.8423714429847
2001-10-10,929.6364918686855
2001-10-11,936.6101940386193
2001-10-12,936.4110555917158
2001-10-15,938.270916687022
2001-10-16,942.6377097212928
2001-10-17,940.3891967084677
2001-10-18,935.13638250308
2001-10-19,936.7745020798275
2001-10-22,936.6000699793764
2001-10-23,933.8007998949753
2001-10-24,935.6579619508798
2001-10-25,942.4259084079165
2001-10-26,943.5900374912751
2001-10-29,943.3848698830664
2001-10-30,937.6597628261729
2001-10-31,938.5574250996913
2001-11-01,943.8364062827401
2001-11-02,942.8879817421537
2001-11-05,946.4188494570307
2001-11-06,951.2633400974344
2001-11-07,950.7371095762725
2001-11-08,949.9196846738095
2001-11-09,947.7626301341887
2001-11-12,949.0548457636864
2001-11-13,948.1469082461887
2001-11-14,953.8709762562378
2001-11-15,955.4840041656225
2001-11-16,958.0272657630584
2001-11-19,961.5654448398282
2001-11-20,960.9838567368139
2001-11-21,959.0811686140352
2001-11-22,959.3081953519023
2001-11-23,963.4841149647966
2001-11-26,968.9651328024341
2001-11-27,966.9245325438053
2001-11-28,963.5943932164301
2001-11-29,967.6504500110105
2001-11-30,968.526094114187
2001-12-03,964.7377556716625
2001-12-04,970.6384286498646
2001-12-05,975.5147104572783
2001-12-06,980.6154048180515
2001-12-07,980.161324240708
2001-12-10,974.6861434277072
2001-12-11,972.0505467612197
2001-12-12,978.4191702674543
2001-12-13,974.2037744111532
2001-12-14,974.9462339418411
2001-12-17,979.5850327241293
2001-12-18,978.6933900286397
2001-12-19,973.324396536293
2001-12-20,973.5476142571328
2001-12-21,974.911554181352
2001-12-24,975.6228493838562
2001-12-25,977.5291297756114
