Date,ACWI SMALL CAP
1994-05-31,294.4607918117287
1994-06-30,297.91020635172214
1994-07-29,299.88949218503063
1994-08-31,307.8908397849109
1994-09-30,303.8903007101914
1994-10-31,306.1971831394334
1994-11-30,289.18177362475103
1994-12-30,293.5345378786372
1995-01-31,285.66161437251225
1995-02-28,286.3000552785447
1995-03-31,295.31882326189213
1995-04-28,300.20211855951607
1995-05-31,298.8234239980528
1995-06-30,301.8484095082114
1995-07-31,317.7529811542652
1995-08-31,315.3621171116274
1995-09-29,318.29228784887135
1995-10-31,307.4819806094788
1995-11-30,313.51940552517635
1995-12-29,323.8284195569327
1996-01-31,327.8371490094472
1996-02-29,334.27589005863194
1996-03-29,340.8627693379064
1996-04-30,359.6001008361198
1996-05-31,362.4356526791886
1996-06-28,357.57174008684655
1996-07-31,336.76590481077545
1996-08-30,344.69390724259426
1996-09-30,349.969291697418
1996-10-31,345.6419092203777
1996-11-29,351.8138216916555
1996-12-31,349.32914777560785
1997-01-01,349.34630740477394
1997-01-02,347.54568998847986
1997-01-03,348.5750229158589
1997-01-06,349.5954647920176
1997-01-07,351.0932193578331
1997-01-08,350.5637616516627
1997-01-09,350.22780691290075
1997-01-10,349.1523059353439
1997-01-13,350.33882866825087
1997-01-14,351.3944653558239
1997-01-15,352.1437065831389
1997-01-16,353.5419704472149
1997-01-17,353.73127122221445
1997-01-20,353.4745396654766
1997-01-21,353.12187963002236
1997-01-22,353.1048317414855
1997-01-23,352.00934519816184
1997-01-24,351.0062793718447
1997-01-27,348.97299996499186
1997-01-28,347.7884215442311
1997-01-29,347.8214763412388
1997-01-30,348.8709764770935
1997-01-31,350.5217920519219
1997-02-03,350.880410253131
1997-02-04,351.00464604829205
1997-02-05,349.48505176280764
1997-02-06,349.278661092606
1997-02-07,348.30882519110827
1997-02-10,349.1301192882311
1997-02-11,348.2712138231809
1997-02-12,348.86030491364266
1997-02-13,349.9043521541758
1997-02-14,350.52720606763575
1997-02-17,350.64447969566146
1997-02-18,350.7582899081688
1997-02-19,350.95148512561053
1997-02-20,351.30102057756966
1997-02-21,351.7266059781105
1997-02-24,353.4048361491908
1997-02-25,353.95622187509815
1997-02-26,352.0822854485959
1997-02-27,350.83316849837314
1997-02-28,350.2776212540251
1997-03-03,349.4108513938278
1997-03-04,349.3377647116835
1997-03-05,350.1749512768516
1997-03-06,350.0813679013678
1997-03-07,350.6820828858295
1997-03-10,351.99282839188504
1997-03-11,352.48262257237997
1997-03-12,350.21663530919426
1997-03-13,347.78115078859366
1997-03-14,346.9726916270005
1997-03-17,345.5504263984304
1997-03-18,344.913805477996
1997-03-19,343.067938906622
1997-03-20,341.7364545151323
1997-03-21,342.42925559513844
1997-03-24,340.75685552537317
1997-03-25,341.3942021766634
1997-03-26,342.7182121877377
1997-03-27,341.79896654563964
1997-03-28,341.86001870304244
1997-03-31,339.0298130958249
1997-04-01,336.2215825347585
1997-04-02,335.13931950866146
1997-04-03,333.6360274324011
1997-04-04,334.2702831567147
1997-04-07,333.5981013769188
1997-04-08,333.4707241234765
1997-04-09,333.06028513199533
1997-04-10,331.6361273180546
1997-04-11,328.9851878125782
1997-04-14,327.383904219793
1997-04-15,328.05751343065305
1997-04-16,328.70721583101715
1997-04-17,329.91623971597096
1997-04-18,331.7375133484369
1997-04-21,332.2935680206555
1997-04-22,331.8015982807496
1997-04-23,332.4413194525433
1997-04-24,332.22125110049427
1997-04-25,330.5915150800208
1997-04-28,329.80109316910875
1997-04-29,331.4266903735818
1997-04-30,333.1555619854598
1997-05-01,335.5084123282752
1997-05-02,338.82578177959124
1997-05-05,342.4478885177309
1997-05-06,344.68116614721055
1997-05-07,344.61150756202153
1997-05-08,345.0882645633003
1997-05-09,347.0699496939173
1997-05-12,349.65169208497684
1997-05-13,350.2137394926768
1997-05-14,351.1901564641348
1997-05-15,352.74607886269786
1997-05-16,354.0934005242551
1997-05-19,354.1659116817034
1997-05-20,356.4707054905529
1997-05-21,357.18647953821784
1997-05-22,356.67871489737894
1997-05-23,359.02549477527987
1997-05-26,358.85831426044786
1997-05-27,358.578501637109
1997-05-28,360.0970644636879
1997-05-29,360.10811137275994
1997-05-30,360.38993488757444
1997-06-02,361.16448209612395
1997-06-03,361.8537232141134
1997-06-04,361.7550212206583
1997-06-05,363.1966661294852
1997-06-06,364.3090075141762
1997-06-09,366.99168585124664
1997-06-10,366.74415901288415
1997-06-11,367.65786657739227
1997-06-12,367.0829587336607
1997-06-13,367.3699930447756
1997-06-16,368.830506495383
1997-06-17,368.87773451155414
1997-06-18,368.9836302595146
1997-06-19,370.4043744790804
1997-06-20,369.7294932138074
1997-06-23,368.6006353187584
1997-06-24,369.42201937336534
1997-06-25,370.4020421738065
1997-06-26,370.2739142316053
1997-06-27,370.4191045823117
1997-06-30,372.91252453845755
1997-07-01,372.3163263249375
1997-07-02,372.86992710292026
1997-07-03,374.95426074237497
1997-07-04,374.65476268905877
1997-07-07,375.2403155756108
1997-07-08,375.36674131288834
1997-07-09,374.4468672267959
1997-07-10,375.24811779066107
1997-07-11,376.13521317378473
1997-07-14,376.04022860620285
1997-07-15,375.2367405207546
1997-07-16,376.9061210823696
1997-07-17,376.40249134334823
1997-07-18,375.4386166973441
1997-07-21,373.80442933239635
1997-07-22,374.3967012130975
1997-07-23,374.81163218755455
1997-07-24,374.70441587867776
1997-07-25,374.35407007721597
1997-07-28,373.772158795322
1997-07-29,374.2806679091193
1997-07-30,375.4212451611689
1997-07-31,376.18157876658233
1997-08-01,374.92932799689504
1997-08-04,374.20386993343794
