Date,ACWI ex EMU SMALL CAP
2007-05-31,1000.0
2007-06-01,1006.536213341509
2007-06-04,1010.0967443497274
2007-06-05,1006.3334952681371
2007-06-06,997.3284566979967
2007-06-07,982.4833764552188
2007-06-08,983.5047400848089
2007-06-11,984.3257565894161
2007-06-12,976.3858351806114
2007-06-13,981.9151382838638
2007-06-14,990.0323515929625
2007-06-15,999.958229332747
2007-06-18,1001.260990268395
2007-06-19,1001.882742933613
2007-06-20,995.9174572764656
2007-06-21,996.6726923656275
2007-06-22,992.1960805641628
2007-06-25,985.6765856017298
2007-06-26,982.7608160229281
2007-06-27,986.19152601967
2007-06-28,992.5750138990609
2007-06-29,993.5142949896281
2007-07-02,1005.0614743480688
2007-07-03,1010.5709848864212
2007-07-04,1012.606713669471
2007-07-05,1014.215400806525
2007-07-06,1017.8343044853438
2007-07-09,1021.2268481159849
2007-07-10,1012.2916072451875
2007-07-11,1013.4080556211543
2007-07-12,1024.9965035072653
2007-07-13,1029.430779799558
2007-07-16,1025.4670548128584
2007-07-17,1025.1074067648378
2007-07-18,1022.1201562291594
2007-07-19,1028.3785746881113
2007-07-20,1022.4998594460159
2007-07-23,1021.129586454865
2007-07-24,1005.7777299943057
2007-07-25,1001.5953989448651
2007-07-26,980.325518457136
2007-07-27,962.4091318665052
2007-07-30,969.3944254697885
2007-07-31,970.1607276584056
2007-08-01,961.3018038108906
2007-08-02,966.4523390595252
2007-08-03,950.0109572011628
2007-08-06,950.3479478978539
2007-08-07,953.8736667436032
2007-08-08,969.846268481199
2007-08-09,956.8738325494894
2007-08-10,946.8247354529703
2007-08-13,946.7171478973294
2007-08-14,931.0246209508346
2007-08-15,911.9587531004262
2007-08-16,900.0916212501168
2007-08-17,908.2390385567667
2007-08-20,919.1102973887341
2007-08-21,922.1707752054187
2007-08-22,935.4591973107296
2007-08-23,938.1674549511642
2007-08-24,947.2352066958971
2007-08-27,945.0881979768664
2007-08-28,928.7543481931609
2007-08-29,938.7129090636276
2007-08-30,940.2476477139596
2007-08-31,955.4771193216193
2007-09-03,957.6209780988461
2007-09-04,963.6870283290988
2007-09-05,954.0794676050439
2007-09-06,956.9491205640035
2007-09-07,947.406301782185
2007-09-10,938.1485450720058
2007-09-11,949.130208699166
2007-09-12,948.6503133054257
2007-09-13,949.1356849888623
2007-09-14,950.5559258865285
2007-09-17,942.5023569437773
2007-09-18,957.881331200939
2007-09-19,973.4920876898419
2007-09-20,971.4790753899048
2007-09-21,973.5783126484704
2007-09-24,970.9058655675108
2007-09-25,968.7440435796535
2007-09-26,975.638417404754
2007-09-27,985.7216980703321
2007-09-28,985.4324916910944
2007-10-01,996.9636386795129
2007-10-02,1003.7540265245766
2007-10-03,1002.6266051294878
2007-10-04,1002.8261775104899
2007-10-05,1016.100041830013
2007-10-08,1011.8435251509763
2007-10-09,1017.9687285676362
2007-10-10,1020.6640346198924
2007-10-11,1020.1962950971434
2007-10-12,1020.232515729266
2007-10-15,1014.8511018659677
2007-10-16,1004.558165341835
2007-10-17,1006.165586930012
2007-10-18,1009.9316392184414
2007-10-19,991.4773171960283
2007-10-22,986.602317860751
2007-10-23,1000.101270822913
2007-10-24,996.2776629337388
2007-10-25,996.8324182718428
2007-10-26,1010.3240734587935
2007-10-29,1016.6327429387719
2007-10-30,1012.9698711827097
2007-10-31,1027.6938736879645
2007-11-01,1008.4066057392711
2007-11-02,1004.1256244801582
2007-11-05,994.5063738444295
2007-11-06,1005.659910261339
2007-11-07,989.1809128924391
2007-11-08,984.2679190080715
2007-11-09,973.5240540460619
2007-11-12,954.112786430011
2007-11-13,967.7452837384042
2007-11-14,972.0856682591459
2007-11-15,959.9819046689104
2007-11-16,954.3269005606094
2007-11-19,935.4522326040758
2007-11-20,934.9989072994039
2007-11-21,918.9215312473245
2007-11-22,918.1609888908108
2007-11-23,928.4612956096742
2007-11-26,921.6553666316743
2007-11-27,924.1764383860117
2007-11-28,943.8658935488844
2007-11-29,947.7827538467544
2007-11-30,954.2557698184569
2007-12-03,950.5952595262752
2007-12-04,942.5989136243458
2007-12-05,951.3090288701657
2007-12-06,965.2313167710251
2007-12-07,968.2207579064665
2007-12-10,972.2671015297044
2007-12-11,957.065333858201
2007-12-12,958.5597844958862
2007-12-13,948.3277893275124
2007-12-14,934.1230083885532
2007-12-17,911.4840337138306
2007-12-18,917.6219834709036
2007-12-19,917.9078070433437
2007-12-20,922.2534377374371
2007-12-21,936.7025118657148
2007-12-24,944.5257426324911
2007-12-25,945.7058447224929
2007-12-26,949.377395868191
2007-12-27,940.6061460889925
2007-12-28,942.2826059411271
2007-12-31,941.4230668855927
2008-01-01,941.7192777583853
2008-01-02,935.7623484817498
2008-01-03,929.3538429618193
2008-01-04,907.9169794764938
2008-01-07,900.8366270457858
